Date,DB
1996-11-18,45.324428999999995
1996-11-19,45.682251
1996-11-20,45.324428999999995
1996-11-21,45.801525
1996-11-22,45.205154
1996-11-25,45.324428999999995
1996-11-26,45.562977000000004
1996-11-27,44.608779999999996
1996-11-29,45.443703
1996-12-02,44.847328000000005
1996-12-03,44.489502
1996-12-04,44.489502
1996-12-05,45.443703
1996-12-06,44.131679999999996
1996-12-09,44.728054
1996-12-10,44.489502
1996-12-11,45.085876
1996-12-12,44.608779999999996
1996-12-13,44.608779999999996
1996-12-16,44.250954
1996-12-17,44.012405
1996-12-18,43.893131
1996-12-19,43.893131
1996-12-20,43.535305
1996-12-23,43.416031
1996-12-24,43.058205
1996-12-26,43.177483
1996-12-27,43.535305
1996-12-30,44.370228000000004
1996-12-31,44.131679999999996
1997-01-02,44.131679999999996
1997-01-03,43.773853
1997-01-06,44.131679999999996
1997-01-07,43.893131
1997-01-08,45.085876
1997-01-09,45.920803
1997-01-10,45.801525
1997-01-13,45.801525
1997-01-14,46.040077000000004
1997-01-15,45.682251
1997-01-16,46.3979
1997-01-17,47.232826
1997-01-20,47.829197
1997-01-21,47.948475
1997-01-22,48.664124
1997-01-23,49.141220000000004
1997-01-24,49.021946
1997-01-27,49.141220000000004
1997-01-28,48.544846
1997-01-29,47.709922999999996
1997-01-30,47.948475
1997-01-31,47.829197
1997-02-03,48.783398
1997-02-04,48.544846
1997-02-05,48.783398
1997-02-06,48.664124
1997-02-07,48.187022999999996
1997-02-10,48.664124
1997-02-11,48.067749
1997-02-12,47.709922999999996
1997-02-13,48.425571000000005
1997-02-14,48.664124
1997-02-18,49.976147
1997-02-19,49.499046
1997-02-20,49.379771999999996
1997-02-21,49.021946
1997-02-24,48.902671999999995
1997-02-25,49.976147
1997-02-26,49.856869
1997-02-27,49.856869
1997-02-28,49.618320000000004
1997-03-03,50.095421
1997-03-04,50.333969
1997-03-05,50.572517
1997-03-06,51.168892
1997-03-07,51.168892
1997-03-10,52.242367
1997-03-11,52.719467
1997-03-12,52.003819
1997-03-13,51.168892
1997-03-14,52.480915
1997-03-17,52.123093
1997-03-18,51.645992
1997-03-19,51.526718
1997-03-20,50.095421
1997-03-21,49.856869
1997-03-24,49.856869
1997-03-25,51.765266
1997-03-26,52.719467
1997-03-27,52.838741000000006
1997-03-31,52.361641
1997-04-01,51.168892
1997-04-02,50.811069
1997-04-03,50.930344
1997-04-04,50.691795
1997-04-07,51.049618
1997-04-08,50.811069
1997-04-09,50.691795
1997-04-10,49.856869
1997-04-11,48.783398
1997-04-14,48.425571000000005
1997-04-15,48.664124
1997-04-16,48.664124
1997-04-17,49.499046
1997-04-18,49.856869
1997-04-21,49.499046
1997-04-22,49.976147
1997-04-23,50.214695
