Date,MDP
1980-03-17,1.40625
1980-03-18,1.40625
1980-03-19,1.40625
1980-03-20,1.40625
1980-03-21,1.40625
1980-03-24,1.40625
1980-03-25,1.40625
1980-03-26,1.401042
1980-03-27,1.333333
1980-03-28,1.333333
1980-03-31,1.364583
1980-04-01,1.375
1980-04-02,1.375
1980-04-03,1.395833
1980-04-07,1.375
1980-04-08,1.395833
1980-04-09,1.375
1980-04-10,1.385417
1980-04-11,1.395833
1980-04-14,1.395833
1980-04-15,1.427083
1980-04-16,1.515625
1980-04-17,1.453125
1980-04-18,1.458333
1980-04-21,1.458333
1980-04-22,1.4375
1980-04-23,1.4375
1980-04-24,1.4375
1980-04-25,1.427083
1980-04-28,1.447917
1980-04-29,1.447917
1980-04-30,1.4375
1980-05-01,1.442708
1980-05-02,1.416667
1980-05-05,1.442708
1980-05-06,1.458333
1980-05-07,1.458333
1980-05-08,1.479167
1980-05-09,1.463542
1980-05-12,1.510417
1980-05-13,1.510417
1980-05-14,1.557292
1980-05-15,1.557292
1980-05-16,1.572917
1980-05-19,1.572917
1980-05-20,1.572917
1980-05-21,1.59375
1980-05-22,1.625
1980-05-23,1.583333
1980-05-27,1.583333
1980-05-28,1.572917
1980-05-29,1.572917
1980-05-30,1.59375
1980-06-02,1.59375
1980-06-03,1.59375
1980-06-04,1.59375
1980-06-05,1.609375
1980-06-06,1.614583
1980-06-09,1.614583
1980-06-10,1.625
1980-06-11,1.604167
1980-06-12,1.598958
1980-06-13,1.604167
1980-06-16,1.604167
1980-06-17,1.583333
1980-06-18,1.5625
1980-06-19,1.552083
1980-06-20,1.552083
1980-06-23,1.541667
1980-06-24,1.541667
1980-06-25,1.458333
1980-06-26,1.520833
1980-06-27,1.520833
1980-06-30,1.520833
1980-07-01,1.520833
1980-07-02,1.546875
1980-07-03,1.557292
1980-07-07,1.557292
1980-07-08,1.5625
1980-07-09,1.552083
1980-07-10,1.572917
1980-07-11,1.572917
1980-07-14,1.572917
1980-07-15,1.583333
1980-07-16,1.5625
1980-07-17,1.5625
1980-07-18,1.583333
1980-07-21,1.59375
1980-07-22,1.619792
1980-07-23,1.598958
1980-07-24,1.614583
1980-07-25,1.614583
1980-07-28,1.625
1980-07-29,1.625
1980-07-30,1.666667
1980-07-31,1.682292
1980-08-01,1.661458
1980-08-04,1.666667
1980-08-05,1.677083
1980-08-06,1.677083
1980-08-07,1.708333
1980-08-08,1.703125
1980-08-11,1.708333
1980-08-12,1.708333
1980-08-13,1.708333
1980-08-14,1.723958
1980-08-15,1.770833
1980-08-18,1.71875
1980-08-19,1.692708
1980-08-20,1.677083
1980-08-21,1.677083
1980-08-22,1.703125
1980-08-25,1.6875
1980-08-26,1.666667
1980-08-27,1.65625
1980-08-28,1.65625
1980-08-29,1.645833
1980-09-02,1.645833
1980-09-03,1.666667
1980-09-04,1.682292
1980-09-05,1.682292
1980-09-08,1.671875
1980-09-09,1.671875
1980-09-10,1.671875
1980-09-11,1.666667
1980-09-12,1.703125
1980-09-15,1.703125
1980-09-16,1.71875
1980-09-17,1.71875
1980-09-18,1.71875
1980-09-19,1.729167
1980-09-22,1.739583
1980-09-23,1.729167
1980-09-24,1.75
1980-09-25,1.770833
1980-09-26,1.75
1980-09-29,1.729167
1980-09-30,1.734375
1980-10-01,1.729167
1980-10-02,1.71875
1980-10-03,1.71875
1980-10-06,1.708333
1980-10-07,1.723958
1980-10-08,1.682292
1980-10-09,1.666667
1980-10-10,1.65625
1980-10-13,1.65625
1980-10-14,1.6875
1980-10-15,1.734375
1980-10-16,1.791667
1980-10-17,1.864583
1980-10-20,1.875
1980-10-21,1.875
1980-10-22,1.875
1980-10-23,1.890625
1980-10-24,1.880208
1980-10-27,1.880208
1980-10-28,1.880208
1980-10-29,1.859375
1980-10-30,1.854167
1980-10-31,1.875
1980-11-03,1.875
1980-11-05,1.90625
1980-11-06,1.90625
1980-11-07,1.916667
1980-11-10,1.989583
1980-11-11,2.036458
1980-11-12,2.114583
1980-11-13,2.223958
1980-11-14,2.229167
1980-11-17,2.182292
1980-11-18,2.197917
1980-11-19,2.208333
1980-11-20,2.21875
1980-11-21,2.213542
1980-11-24,2.145833
1980-11-25,2.1875
1980-11-26,2.15625
1980-11-28,2.145833
1980-12-01,2.151042
1980-12-02,2.125
1980-12-03,2.130208
1980-12-04,2.1875
1980-12-05,2.21875
1980-12-08,2.239583
1980-12-09,2.182292
1980-12-10,2.114583
1980-12-11,2.052083
1980-12-12,2.052083
1980-12-15,2.067708
1980-12-16,2.046875
1980-12-17,2.046875
1980-12-18,2.046875
1980-12-19,2.041667
1980-12-22,2.0625
1980-12-23,2.057292
1980-12-24,2.046875
1980-12-26,2.046875
1980-12-29,2.072917
1980-12-30,2.25
1980-12-31,2.28125
1981-01-02,2.307292
1981-01-05,2.291667
1981-01-06,2.270833
1981-01-07,2.270833
1981-01-08,2.25
1981-01-09,2.203125
1981-01-12,2.125
1981-01-13,2.125
1981-01-14,2.083333
1981-01-15,2.21875
1981-01-16,2.166667
1981-01-19,2.104167
1981-01-20,2.072917
1981-01-21,2.057292
1981-01-22,2.041667
1981-01-23,2.015625
1981-01-26,2.0
1981-01-27,1.994792
1981-01-28,2.010417
1981-01-29,2.020833
1981-01-30,2.052083
1981-02-02,2.0625
