Date,FUL
1974-01-23,0.385417
1974-01-24,0.375
1974-01-25,0.375
1974-01-28,0.369792
1974-01-29,0.354167
1974-01-30,0.348958
1974-01-31,0.348958
1974-02-01,0.348958
1974-02-04,0.34375
1974-02-05,0.34375
1974-02-06,0.333333
1974-02-07,0.333333
1974-02-08,0.333333
1974-02-11,0.317708
1974-02-12,0.3125
1974-02-13,0.322917
1974-02-14,0.322917
1974-02-15,0.322917
1974-02-19,0.333333
1974-02-20,0.333333
1974-02-21,0.354167
1974-02-22,0.354167
1974-02-25,0.354167
1974-02-26,0.354167
1974-02-27,0.354167
1974-02-28,0.364583
1974-03-01,0.375
1974-03-04,0.375
1974-03-05,0.375
1974-03-06,0.395833
1974-03-07,0.401042
1974-03-08,0.40625
1974-03-11,0.416667
1974-03-12,0.421875
1974-03-13,0.421875
1974-03-14,0.479167
1974-03-15,0.479167
1974-03-18,0.46875
1974-03-19,0.432292
1974-03-20,0.4375
1974-03-21,0.463542
1974-03-22,0.484375
1974-03-25,0.489583
1974-03-26,0.489583
1974-03-27,0.479167
1974-03-28,0.479167
1974-03-29,0.479167
1974-04-01,0.479167
1974-04-02,0.458333
1974-04-03,0.458333
1974-04-04,0.458333
1974-04-05,0.458333
1974-04-08,0.458333
1974-04-09,0.458333
1974-04-10,0.447917
1974-04-11,0.4375
1974-04-15,0.4375
1974-04-16,0.432292
1974-04-17,0.432292
1974-04-18,0.442708
1974-04-19,0.442708
1974-04-22,0.442708
1974-04-23,0.432292
1974-04-24,0.432292
1974-04-25,0.390625
1974-04-26,0.385417
1974-04-29,0.385417
1974-04-30,0.385417
1974-05-01,0.380208
1974-05-02,0.380208
1974-05-03,0.380208
1974-05-06,0.375
1974-05-07,0.375
1974-05-08,0.385417
1974-05-09,0.385417
1974-05-10,0.385417
1974-05-13,0.385417
1974-05-14,0.385417
1974-05-15,0.385417
1974-05-16,0.385417
1974-05-17,0.364583
1974-05-20,0.364583
1974-05-21,0.348958
1974-05-22,0.348958
1974-05-23,0.338542
1974-05-24,0.34375
1974-05-28,0.34375
1974-05-29,0.322917
1974-05-30,0.333333
1974-05-31,0.333333
1974-06-03,0.34375
1974-06-04,0.354167
1974-06-05,0.380208
1974-06-06,0.380208
1974-06-07,0.401042
1974-06-10,0.395833
1974-06-11,0.390625
1974-06-12,0.390625
1974-06-13,0.390625
1974-06-14,0.427083
1974-06-17,0.416667
1974-06-18,0.416667
1974-06-19,0.411458
1974-06-20,0.40625
1974-06-21,0.395833
1974-06-24,0.395833
1974-06-25,0.40625
1974-06-26,0.401042
1974-06-27,0.40625
1974-06-28,0.416667
1974-07-01,0.416667
1974-07-02,0.395833
1974-07-03,0.395833
1974-07-05,0.395833
1974-07-08,0.395833
1974-07-09,0.390625
1974-07-10,0.390625
1974-07-11,0.385417
1974-07-12,0.385417
1974-07-15,0.385417
1974-07-16,0.385417
1974-07-17,0.385417
1974-07-18,0.385417
1974-07-19,0.385417
1974-07-22,0.385417
1974-07-23,0.380208
1974-07-24,0.380208
1974-07-25,0.385417
1974-07-26,0.385417
1974-07-29,0.380208
1974-07-30,0.375
1974-07-31,0.369792
1974-08-01,0.369792
1974-08-02,0.364583
1974-08-05,0.364583
1974-08-06,0.354167
1974-08-07,0.359375
1974-08-08,0.364583
1974-08-09,0.369792
1974-08-12,0.364583
1974-08-13,0.364583
1974-08-14,0.364583
1974-08-15,0.364583
1974-08-16,0.364583
1974-08-19,0.348958
1974-08-20,0.34375
1974-08-21,0.354167
1974-08-22,0.34375
1974-08-23,0.34375
1974-08-26,0.34375
1974-08-27,0.34375
1974-08-28,0.34375
1974-08-29,0.338542
1974-08-30,0.338542
1974-09-03,0.338542
1974-09-04,0.338542
1974-09-05,0.338542
1974-09-06,0.34375
1974-09-09,0.348958
1974-09-10,0.348958
1974-09-11,0.348958
1974-09-12,0.348958
1974-09-13,0.34375
1974-09-16,0.34375
1974-09-17,0.348958
1974-09-18,0.34375
1974-09-19,0.34375
1974-09-20,0.34375
1974-09-23,0.338542
1974-09-24,0.338542
1974-09-25,0.348958
1974-09-26,0.359375
1974-09-27,0.369792
1974-09-30,0.369792
1974-10-01,0.364583
1974-10-02,0.364583
1974-10-03,0.369792
1974-10-04,0.375
1974-10-07,0.380208
1974-10-08,0.380208
1974-10-09,0.385417
1974-10-10,0.385417
1974-10-11,0.385417
1974-10-14,0.390625
1974-10-15,0.385417
1974-10-16,0.380208
1974-10-17,0.380208
1974-10-18,0.380208
1974-10-21,0.380208
1974-10-22,0.375
1974-10-23,0.369792
1974-10-24,0.364583
1974-10-25,0.359375
1974-10-28,0.359375
1974-10-29,0.375
1974-10-30,0.385417
1974-10-31,0.416667
1974-11-01,0.395833
1974-11-04,0.401042
1974-11-05,0.390625
1974-11-06,0.385417
1974-11-07,0.395833
1974-11-08,0.395833
1974-11-11,0.390625
1974-11-12,0.390625
1974-11-13,0.385417
1974-11-14,0.385417
1974-11-15,0.385417
1974-11-18,0.385417
1974-11-19,0.369792
1974-11-20,0.359375
1974-11-21,0.359375
1974-11-22,0.364583
1974-11-25,0.364583
1974-11-26,0.364583
1974-11-27,0.364583
1974-11-29,0.364583
1974-12-02,0.333333
1974-12-03,0.322917
1974-12-04,0.322917
1974-12-05,0.322917
1974-12-06,0.317708
1974-12-09,0.317708
1974-12-10,0.317708
1974-12-11,0.322917
1974-12-12,0.317708
1974-12-13,0.3125
1974-12-16,0.286458
1974-12-17,0.270833
1974-12-18,0.270833
1974-12-19,0.270833
1974-12-20,0.270833
1974-12-23,0.270833
1974-12-24,0.270833
1974-12-26,0.270833
1974-12-27,0.265625
1974-12-30,0.270833
1974-12-31,0.291667
1975-01-02,0.302083
1975-01-03,0.3125
1975-01-06,0.307292
1975-01-07,0.302083
1975-01-08,0.307292
1975-01-09,0.359375
1975-01-10,0.354167
1975-01-13,0.354167
1975-01-14,0.369792
1975-01-15,0.364583
1975-01-16,0.364583
1975-01-17,0.328125
1975-01-20,0.333333
1975-01-21,0.348958
1975-01-22,0.348958
1975-01-23,0.359375
1975-01-24,0.359375
1975-01-27,0.385417
1975-01-28,0.401042
1975-01-29,0.385417
1975-01-30,0.395833
1975-01-31,0.395833
1975-02-03,0.395833
1975-02-04,0.390625
1975-02-05,0.395833
1975-02-06,0.416667
1975-02-07,0.416667
1975-02-10,0.416667
1975-02-11,0.416667
1975-02-12,0.416667
1975-02-13,0.421875
1975-02-14,0.421875
1975-02-18,0.427083
1975-02-19,0.427083
1975-02-20,0.421875
1975-02-21,0.421875
1975-02-24,0.401042
1975-02-25,0.385417
1975-02-26,0.390625
1975-02-27,0.395833
1975-02-28,0.385417
1975-03-03,0.385417
1975-03-04,0.395833
1975-03-05,0.395833
1975-03-06,0.401042
1975-03-07,0.411458
1975-03-10,0.411458
1975-03-11,0.411458
1975-03-12,0.401042
1975-03-13,0.395833
1975-03-14,0.401042
1975-03-17,0.416667
1975-03-18,0.453125
1975-03-19,0.453125
1975-03-20,0.458333
1975-03-21,0.463542
1975-03-24,0.463542
1975-03-25,0.463542
1975-03-26,0.46875
1975-03-27,0.458333
1975-03-31,0.442708
1975-04-01,0.4375
1975-04-02,0.432292
1975-04-03,0.432292
1975-04-04,0.432292
1975-04-07,0.427083
1975-04-08,0.427083
1975-04-09,0.432292
1975-04-10,0.4375
1975-04-11,0.4375
1975-04-14,0.447917
1975-04-15,0.473958
1975-04-16,0.46875
1975-04-17,0.453125
1975-04-18,0.4375
1975-04-21,0.427083
1975-04-22,0.40625
1975-04-23,0.401042
1975-04-24,0.40625
1975-04-25,0.40625
1975-04-28,0.40625
1975-04-29,0.40625
1975-04-30,0.416667
1975-05-01,0.4375
1975-05-02,0.4375
1975-05-05,0.442708
1975-05-06,0.447917
1975-05-07,0.458333
1975-05-08,0.473958
1975-05-09,0.515625
1975-05-12,0.567708
1975-05-13,0.5625
1975-05-14,0.536458
1975-05-15,0.541667
1975-05-16,0.541667
1975-05-19,0.541667
1975-05-20,0.53125
1975-05-21,0.5
1975-05-22,0.5
1975-05-23,0.505208
1975-05-27,0.510417
1975-05-28,0.526042
1975-05-29,0.526042
1975-05-30,0.541667
1975-06-02,0.546875
1975-06-03,0.552083
1975-06-04,0.578125
1975-06-05,0.567708
1975-06-06,0.541667
1975-06-09,0.541667
1975-06-10,0.541667
1975-06-11,0.557292
1975-06-12,0.5625
1975-06-13,0.578125
1975-06-16,0.588542
1975-06-17,0.588542
1975-06-18,0.588542
1975-06-19,0.583333
1975-06-20,0.578125
1975-06-23,0.578125
1975-06-24,0.583333
1975-06-25,0.59375
1975-06-26,0.59375
1975-06-27,0.578125
1975-06-30,0.578125
1975-07-01,0.489583
1975-07-02,0.46875
1975-07-03,0.46875
1975-07-07,0.479167
1975-07-08,0.5
1975-07-09,0.510417
1975-07-10,0.515625
1975-07-11,0.515625
1975-07-14,0.515625
1975-07-15,0.515625
1975-07-16,0.510417
1975-07-17,0.510417
1975-07-18,0.510417
1975-07-21,0.510417
1975-07-22,0.510417
1975-07-23,0.510417
1975-07-24,0.479167
1975-07-25,0.46875
1975-07-28,0.453125
1975-07-29,0.432292
1975-07-30,0.4375
1975-07-31,0.442708
1975-08-01,0.442708
1975-08-04,0.442708
1975-08-05,0.4375
1975-08-06,0.4375
1975-08-07,0.442708
1975-08-08,0.453125
1975-08-11,0.46875
1975-08-12,0.489583
1975-08-13,0.541667
1975-08-14,0.510417
1975-08-15,0.520833
1975-08-18,0.520833
1975-08-19,0.510417
1975-08-20,0.5
1975-08-21,0.5
1975-08-22,0.5
1975-08-25,0.5
1975-08-26,0.5
1975-08-27,0.5
1975-08-28,0.505208
1975-08-29,0.515625
1975-09-02,0.515625
1975-09-03,0.510417
1975-09-04,0.541667
1975-09-05,0.536458
1975-09-08,0.536458
1975-09-09,0.536458
1975-09-10,0.53125
1975-09-11,0.526042
1975-09-12,0.526042
1975-09-15,0.526042
1975-09-16,0.520833
1975-09-17,0.515625
1975-09-18,0.515625
1975-09-19,0.515625
1975-09-22,0.515625
1975-09-23,0.526042
1975-09-24,0.526042
1975-09-25,0.520833
1975-09-26,0.447917
1975-09-29,0.432292
1975-09-30,0.458333
1975-10-01,0.479167
1975-10-02,0.479167
1975-10-03,0.515625
1975-10-06,0.536458
1975-10-07,0.541667
1975-10-08,0.541667
1975-10-09,0.541667
1975-10-10,0.541667
1975-10-13,0.541667
1975-10-14,0.526042
1975-10-15,0.526042
1975-10-16,0.489583
1975-10-17,0.489583
1975-10-20,0.489583
1975-10-21,0.489583
1975-10-22,0.473958
1975-10-23,0.479167
1975-10-24,0.479167
1975-10-27,0.46875
1975-10-28,0.463542
1975-10-29,0.46875
1975-10-30,0.479167
1975-10-31,0.479167
1975-11-03,0.489583
1975-11-04,0.489583
1975-11-05,0.5
1975-11-06,0.5
1975-11-07,0.505208
1975-11-10,0.5
1975-11-11,0.489583
1975-11-12,0.494792
1975-11-13,0.489583
1975-11-14,0.510417
1975-11-17,0.510417
1975-11-18,0.494792
1975-11-19,0.489583
1975-11-20,0.489583
1975-11-21,0.489583
1975-11-24,0.489583
1975-11-25,0.489583
1975-11-26,0.494792
1975-11-28,0.489583
1975-12-01,0.5
1975-12-02,0.494792
1975-12-03,0.489583
1975-12-04,0.479167
1975-12-05,0.473958
1975-12-08,0.453125
1975-12-09,0.453125
1975-12-10,0.453125
1975-12-11,0.453125
1975-12-12,0.4375
1975-12-15,0.4375
1975-12-16,0.4375
1975-12-17,0.4375
1975-12-18,0.4375
1975-12-19,0.4375
1975-12-22,0.4375
1975-12-23,0.4375
1975-12-24,0.4375
1975-12-26,0.453125
1975-12-29,0.4375
1975-12-30,0.4375
1975-12-31,0.4375
1976-01-02,0.442708
1976-01-05,0.447917
1976-01-06,0.515625
1976-01-07,0.520833
1976-01-08,0.526042
1976-01-09,0.526042
1976-01-12,0.53125
1976-01-13,0.520833
1976-01-14,0.520833
1976-01-15,0.520833
1976-01-16,0.526042
1976-01-19,0.526042
1976-01-20,0.536458
1976-01-21,0.541667
1976-01-22,0.541667
1976-01-23,0.552083
1976-01-26,0.609375
1976-01-27,0.651042
1976-01-28,0.661458
1976-01-29,0.666667
1976-01-30,0.671875
1976-02-02,0.666667
1976-02-03,0.640625
1976-02-04,0.645833
1976-02-05,0.630208
1976-02-06,0.614583
1976-02-09,0.609375
1976-02-10,0.609375
1976-02-11,0.619792
1976-02-12,0.619792
1976-02-13,0.630208
1976-02-17,0.635417
1976-02-18,0.645833
1976-02-19,0.666667
1976-02-20,0.671875
1976-02-23,0.666667
1976-02-24,0.671875
1976-02-25,0.671875
1976-02-26,0.671875
1976-02-27,0.635417
1976-03-01,0.630208
1976-03-02,0.630208
1976-03-03,0.619792
1976-03-04,0.614583
1976-03-05,0.619792
1976-03-08,0.619792
1976-03-09,0.619792
1976-03-10,0.619792
1976-03-11,0.619792
1976-03-12,0.619792
1976-03-15,0.619792
1976-03-16,0.604167
1976-03-17,0.604167
1976-03-18,0.604167
1976-03-19,0.604167
1976-03-22,0.604167
1976-03-23,0.604167
1976-03-24,0.604167
1976-03-25,0.609375
1976-03-26,0.619792
1976-03-29,0.614583
1976-03-30,0.640625
1976-03-31,0.651042
1976-04-01,0.651042
1976-04-02,0.6875
1976-04-05,0.6875
1976-04-06,0.677083
1976-04-07,0.651042
1976-04-08,0.635417
1976-04-09,0.619792
1976-04-12,0.614583
1976-04-13,0.614583
1976-04-14,0.609375
1976-04-15,0.583333
1976-04-19,0.588542
1976-04-20,0.609375
1976-04-21,0.604167
1976-04-22,0.635417
1976-04-23,0.625
1976-04-26,0.625
1976-04-27,0.625
1976-04-28,0.614583
1976-04-29,0.614583
1976-04-30,0.614583
1976-05-03,0.614583
1976-05-04,0.614583
1976-05-05,0.614583
1976-05-06,0.614583
1976-05-07,0.59375
1976-05-10,0.59375
1976-05-11,0.59375
1976-05-12,0.604167
1976-05-13,0.604167
1976-05-14,0.604167
1976-05-17,0.604167
1976-05-18,0.604167
1976-05-19,0.635417
1976-05-20,0.635417
1976-05-21,0.645833
1976-05-24,0.65625
1976-05-25,0.645833
1976-05-26,0.645833
1976-05-27,0.635417
1976-05-28,0.635417
1976-06-01,0.635417
1976-06-02,0.635417
1976-06-03,0.635417
1976-06-04,0.635417
1976-06-07,0.645833
1976-06-08,0.645833
1976-06-09,0.645833
1976-06-10,0.635417
1976-06-11,0.635417
1976-06-14,0.635417
1976-06-15,0.625
1976-06-16,0.625
1976-06-17,0.625
1976-06-18,0.625
1976-06-21,0.614583
1976-06-22,0.614583
1976-06-23,0.604167
1976-06-24,0.614583
1976-06-25,0.614583
1976-06-28,0.614583
1976-06-29,0.614583
1976-06-30,0.65625
1976-07-01,0.65625
1976-07-02,0.65625
1976-07-06,0.666667
1976-07-07,0.666667
1976-07-08,0.666667
1976-07-09,0.666667
1976-07-12,0.6875
1976-07-13,0.677083
1976-07-14,0.65625
1976-07-15,0.65625
1976-07-16,0.635417
1976-07-19,0.635417
1976-07-20,0.635417
1976-07-21,0.635417
1976-07-22,0.635417
1976-07-23,0.635417
1976-07-26,0.625
1976-07-27,0.625
1976-07-28,0.625
1976-07-29,0.697917
1976-07-30,0.6875
1976-08-02,0.708333
1976-08-03,0.71875
1976-08-04,0.729167
1976-08-05,0.729167
1976-08-06,0.729167
1976-08-09,0.71875
1976-08-10,0.708333
1976-08-11,0.697917
1976-08-12,0.697917
1976-08-13,0.697917
1976-08-16,0.697917
1976-08-17,0.708333
1976-08-18,0.708333
1976-08-19,0.697917
1976-08-20,0.697917
1976-08-23,0.6875
1976-08-24,0.666667
1976-08-25,0.666667
1976-08-26,0.666667
1976-08-27,0.65625
1976-08-30,0.65625
1976-08-31,0.666667
1976-09-01,0.666667
1976-09-02,0.65625
1976-09-03,0.65625
1976-09-07,0.65625
1976-09-08,0.65625
1976-09-09,0.645833
1976-09-10,0.65625
1976-09-13,0.65625
1976-09-14,0.65625
1976-09-15,0.708333
1976-09-16,0.739583
1976-09-17,0.71875
1976-09-20,0.729167
1976-09-21,0.729167
1976-09-22,0.760417
1976-09-23,0.739583
1976-09-24,0.739583
1976-09-27,0.739583
1976-09-28,0.739583
1976-09-29,0.739583
1976-09-30,0.708333
1976-10-01,0.6875
1976-10-04,0.6875
1976-10-05,0.708333
1976-10-06,0.6875
1976-10-07,0.697917
1976-10-08,0.697917
1976-10-11,0.6875
1976-10-12,0.677083
1976-10-13,0.677083
1976-10-14,0.677083
1976-10-15,0.65625
1976-10-18,0.65625
1976-10-19,0.625
1976-10-20,0.625
1976-10-21,0.625
1976-10-22,0.625
1976-10-25,0.625
1976-10-26,0.614583
1976-10-27,0.59375
1976-10-28,0.59375
1976-10-29,0.59375
1976-11-01,0.59375
1976-11-03,0.59375
1976-11-04,0.604167
1976-11-05,0.583333
1976-11-08,0.583333
1976-11-09,0.583333
1976-11-10,0.583333
1976-11-11,0.572917
1976-11-12,0.572917
1976-11-15,0.552083
1976-11-16,0.583333
1976-11-17,0.59375
1976-11-18,0.614583
1976-11-19,0.604167
1976-11-22,0.604167
1976-11-23,0.59375
1976-11-24,0.604167
1976-11-26,0.604167
1976-11-29,0.59375
1976-11-30,0.604167
1976-12-01,0.635417
1976-12-02,0.645833
1976-12-03,0.635417
1976-12-06,0.645833
1976-12-07,0.645833
1976-12-08,0.65625
1976-12-09,0.65625
1976-12-10,0.645833
1976-12-13,0.65625
1976-12-14,0.65625
1976-12-15,0.666667
1976-12-16,0.65625
1976-12-17,0.65625
1976-12-20,0.65625
1976-12-21,0.645833
1976-12-22,0.645833
1976-12-23,0.677083
1976-12-27,0.697917
1976-12-28,0.697917
1976-12-29,0.6875
1976-12-30,0.677083
1976-12-31,0.677083
1977-01-03,0.677083
1977-01-04,0.677083
1977-01-05,0.666667
1977-01-06,0.666667
1977-01-07,0.65625
1977-01-10,0.645833
1977-01-11,0.614583
1977-01-12,0.614583
1977-01-13,0.645833
1977-01-14,0.645833
1977-01-17,0.645833
1977-01-18,0.645833
1977-01-19,0.65625
1977-01-20,0.666667
1977-01-21,0.666667
1977-01-24,0.677083
1977-01-25,0.708333
1977-01-26,0.71875
1977-01-27,0.708333
1977-01-28,0.739583
1977-01-31,0.71875
1977-02-01,0.71875
1977-02-02,0.71875
1977-02-03,0.71875
1977-02-04,0.71875
1977-02-07,0.708333
1977-02-08,0.708333
1977-02-09,0.697917
1977-02-10,0.677083
1977-02-11,0.677083
1977-02-14,0.677083
1977-02-15,0.677083
1977-02-16,0.677083
1977-02-17,0.677083
1977-02-18,0.677083
1977-02-22,0.65625
1977-02-23,0.65625
1977-02-24,0.645833
1977-02-25,0.645833
1977-02-28,0.645833
1977-03-01,0.697917
1977-03-02,0.6875
1977-03-03,0.697917
1977-03-04,0.697917
1977-03-07,0.697917
1977-03-08,0.708333
1977-03-09,0.729167
1977-03-10,0.729167
1977-03-11,0.729167
1977-03-14,0.729167
1977-03-15,0.729167
1977-03-16,0.729167
1977-03-17,0.729167
1977-03-18,0.739583
1977-03-21,0.739583
1977-03-22,0.71875
1977-03-23,0.708333
1977-03-24,0.697917
1977-03-25,0.697917
1977-03-28,0.708333
1977-03-29,0.697917
1977-03-30,0.6875
1977-03-31,0.677083
1977-04-01,0.677083
1977-04-04,0.677083
1977-04-05,0.666667
1977-04-06,0.666667
1977-04-07,0.677083
1977-04-11,0.6875
1977-04-12,0.697917
1977-04-13,0.6875
1977-04-14,0.697917
