Date,AU
1998-08-05,21.375
1998-08-06,21.75
1998-08-07,22.0
1998-08-10,22.25
1998-08-11,21.5
1998-08-12,20.75
1998-08-13,20.0
1998-08-14,20.3125
1998-08-17,20.375
1998-08-18,20.3125
1998-08-19,19.75
1998-08-20,19.75
1998-08-21,19.9375
1998-08-24,19.75
1998-08-25,18.875
1998-08-26,17.5625
1998-08-27,16.8125
1998-08-28,16.3125
1998-08-31,16.25
1998-09-01,18.6875
1998-09-02,18.5
1998-09-03,20.625
1998-09-04,21.75
1998-09-08,21.0
1998-09-09,20.9375
1998-09-10,23.375
1998-09-11,22.625
1998-09-14,22.0
1998-09-15,22.25
1998-09-16,21.0625
1998-09-17,22.5
1998-09-18,22.125
1998-09-21,22.1875
1998-09-22,21.5625
1998-09-23,21.25
1998-09-24,23.6875
1998-09-25,25.125
1998-09-28,26.25
1998-09-29,26.625
1998-09-30,26.875
1998-10-01,29.125
1998-10-02,29.25
1998-10-05,27.0
1998-10-06,27.75
1998-10-07,30.0625
1998-10-08,30.125
1998-10-09,28.0625
1998-10-12,25.5
1998-10-13,25.125
1998-10-14,24.9375
1998-10-15,25.1875
1998-10-16,26.0625
1998-10-19,25.25
1998-10-20,25.5
1998-10-21,25.5
1998-10-22,24.625
1998-10-23,24.625
1998-10-26,24.5
1998-10-27,25.875
1998-10-28,25.5625
1998-10-29,25.5625
1998-10-30,25.0
1998-11-02,24.625
1998-11-03,24.0
1998-11-04,24.4375
1998-11-05,24.5625
1998-11-06,24.125
1998-11-09,24.0
1998-11-10,23.6875
1998-11-11,23.0
1998-11-12,23.9375
1998-11-13,23.8125
1998-11-16,24.0
1998-11-17,24.0625
1998-11-18,25.0
1998-11-19,24.875
1998-11-20,24.4375
1998-11-23,24.1875
1998-11-24,24.125
1998-11-25,24.375
1998-11-27,24.3125
1998-11-30,22.5625
1998-12-01,22.0
1998-12-02,21.3125
1998-12-03,21.0625
1998-12-04,19.625
1998-12-07,20.3125
1998-12-08,19.5625
1998-12-09,19.8125
1998-12-10,20.75
1998-12-11,19.875
1998-12-14,19.9375
1998-12-15,20.125
1998-12-16,21.0625
1998-12-17,20.625
1998-12-18,20.4375
1998-12-21,19.6875
