Date,CPWR
2017-06-21,8.0
2017-06-22,8.0
2017-06-23,8.0
2017-06-26,8.0
2017-06-27,8.0
2017-06-28,7.05
2017-06-29,7.0
2017-06-30,7.0
2017-07-03,7.0
2017-07-05,7.0
2017-07-06,7.0
2017-07-07,7.0
2017-07-10,6.75
2017-07-11,6.72
2017-07-12,6.65
2017-07-13,6.65
2017-07-14,6.65
2017-07-17,6.25
2017-07-18,3.0
2017-07-19,3.0
2017-07-20,4.65
2017-07-21,4.48
2017-07-24,4.0
2017-07-25,3.95
2017-07-26,3.01
2017-07-27,3.01
2017-07-28,3.0
2017-07-31,2.98
2017-08-01,2.98
2017-08-02,3.44
2017-08-03,3.25
2017-08-04,3.25
2017-08-07,3.25
2017-08-08,3.25
2017-08-09,2.5
2017-08-10,2.5
2017-08-11,2.5
2017-08-14,2.4
2017-08-15,2.5
2017-08-16,2.5
2017-08-17,2.5
2017-08-18,2.59
2017-08-21,2.59
2017-08-22,2.59
2017-08-23,2.5
2017-08-24,2.5
2017-08-25,2.55
2017-08-28,2.48
2017-08-29,2.43
2017-08-30,2.43
2017-08-31,2.43
2017-09-01,2.29
2017-09-05,2.0
2017-09-06,2.0
2017-09-07,2.0
2017-09-08,2.0
2017-09-11,2.11
2017-09-12,2.25
2017-09-13,2.25
2017-09-14,2.25
2017-09-15,2.25
2017-09-18,2.25
2017-09-19,2.3
2017-09-20,2.4
2017-09-21,2.5
2017-09-22,1.0
2017-09-25,1.0
2017-09-26,1.0
2017-09-27,2.4
2017-09-28,2.4
2017-09-29,1.2
2017-10-02,2.0
2017-10-03,2.0
2017-10-04,2.0
2017-10-05,2.0
2017-10-06,2.0
2017-10-09,2.0
2017-10-10,2.25
2017-10-11,2.25
2017-10-12,2.2
2017-10-13,2.2
2017-10-16,2.25
2017-10-17,2.25
2017-10-18,2.25
2017-10-19,2.25
2017-10-20,2.25
2017-10-23,2.25
2017-10-24,2.25
2017-10-25,2.25
2017-10-26,2.25
2017-10-27,2.25
2017-10-30,2.1
2017-10-31,2.0
2017-11-01,2.0
2017-11-02,2.0
2017-11-03,2.0
2017-11-06,2.0
2017-11-07,2.0
2017-11-08,1.9
2017-11-09,1.9
2017-11-10,1.9
2017-11-13,1.9
2017-11-14,1.9
2017-11-15,1.95
2017-11-16,1.5
2017-11-17,1.5
2017-11-20,0.2
2017-11-21,0.17
2017-11-22,0.3
2017-11-24,0.85
2017-11-27,0.5
2017-11-28,0.46
2017-11-29,0.52
2017-11-30,0.57
2017-12-01,0.5
2017-12-04,0.449
2017-12-05,0.36
2017-12-06,0.35
2017-12-07,0.39
2017-12-08,0.4
2017-12-11,0.3
2017-12-12,0.32
2017-12-13,0.32
2017-12-14,0.31
2017-12-15,0.38
2017-12-18,0.37
2017-12-19,0.33
2017-12-20,0.31
2017-12-21,0.31
2017-12-22,0.34
2017-12-26,0.32
2017-12-27,0.3
2017-12-28,0.3
2017-12-29,0.32
2018-01-02,0.27
2018-01-03,0.3
2018-01-04,0.27
2018-01-05,0.26
2018-01-08,0.26
2018-01-09,0.3
2018-01-10,0.27
2018-01-11,0.271
2018-01-12,0.271
2018-01-16,0.32
2018-01-17,0.32
2018-01-18,0.32
2018-01-19,0.33
2018-01-22,0.35
2018-01-23,0.352
2018-01-24,0.35
2018-01-25,0.434
2018-01-26,0.426
2018-01-29,0.5
2018-01-30,0.519
2018-01-31,0.38
2018-02-01,0.49
2018-02-02,0.48
2018-02-05,0.43
2018-02-06,0.41
2018-02-07,0.38
2018-02-08,0.31
2018-02-09,0.3
2018-02-12,0.27
2018-02-13,0.258
2018-02-14,0.256
2018-02-15,0.26
2018-02-16,0.265
2018-02-20,0.26
2018-02-21,0.249
2018-02-22,0.21
2018-02-23,0.23
2018-02-26,0.21
2018-02-27,0.222
2018-02-28,0.222
2018-03-01,0.205
2018-03-02,0.202
2018-03-05,0.204
2018-03-06,0.18
2018-03-07,0.2
2018-03-08,0.18
2018-03-09,0.188
2018-03-12,0.187
2018-03-13,0.175
2018-03-14,0.15
2018-03-15,0.14
2018-03-16,0.134
2018-03-19,0.12
