Date,UN
1980-03-17,0.875
1980-03-18,0.879167
1980-03-19,0.879167
1980-03-20,0.879167
1980-03-21,0.870833
1980-03-24,0.870833
1980-03-25,0.870833
1980-03-26,0.8375
1980-03-27,0.816667
1980-03-28,0.8
1980-03-31,0.820833
1980-04-01,0.8125
1980-04-02,0.816667
1980-04-03,0.808333
1980-04-07,0.816667
1980-04-08,0.822917
1980-04-09,0.841667
1980-04-10,0.841667
1980-04-11,0.8625
1980-04-14,0.875
1980-04-15,0.891667
1980-04-16,0.916667
1980-04-17,0.933333
1980-04-18,0.925
1980-04-21,0.929167
1980-04-22,0.941667
1980-04-23,0.95
1980-04-24,0.933333
1980-04-25,0.925
1980-04-28,0.9625
1980-04-29,0.9625
1980-04-30,0.975
1980-05-01,0.966667
1980-05-02,0.941667
1980-05-05,0.933333
1980-05-06,0.933333
1980-05-07,0.941667
1980-05-08,0.941667
1980-05-09,0.9375
1980-05-12,0.929167
1980-05-13,0.945833
1980-05-14,0.945833
1980-05-15,0.95
1980-05-16,0.95
1980-05-19,0.952083
1980-05-20,0.952083
1980-05-21,0.958333
1980-05-22,0.958333
1980-05-23,0.908333
1980-05-27,0.908333
1980-05-28,0.908333
1980-05-29,0.933333
1980-05-30,0.933333
1980-06-02,0.933333
1980-06-03,0.945833
1980-06-04,0.945833
1980-06-05,0.941667
1980-06-06,0.94375
1980-06-09,0.94375
1980-06-10,0.975
1980-06-11,0.979167
1980-06-12,0.985417
1980-06-13,0.985417
1980-06-16,1.008333
1980-06-17,1.0
1980-06-18,1.008333
1980-06-19,1.008333
1980-06-20,1.008333
1980-06-23,1.008333
1980-06-24,1.004167
1980-06-25,1.004167
1980-06-26,1.004167
1980-06-27,1.0125
1980-06-30,1.016667
1980-07-01,1.002083
1980-07-02,1.002083
1980-07-03,1.0375
1980-07-07,1.0375
1980-07-08,1.0625
1980-07-09,1.079167
1980-07-10,1.079167
1980-07-11,1.079167
1980-07-14,1.072917
1980-07-15,1.070833
1980-07-16,1.070833
1980-07-17,1.072917
1980-07-18,1.070833
1980-07-21,1.070833
1980-07-22,1.070833
1980-07-23,1.070833
1980-07-24,1.070833
1980-07-25,1.079167
1980-07-28,1.079167
1980-07-29,1.079167
1980-07-30,1.079167
1980-07-31,1.054167
1980-08-01,1.0375
1980-08-04,1.033333
1980-08-05,1.033333
1980-08-06,1.033333
1980-08-07,1.033333
1980-08-08,1.033333
1980-08-11,1.033333
1980-08-12,1.04375
1980-08-13,1.035417
1980-08-14,1.029167
1980-08-15,1.05
1980-08-18,1.045833
1980-08-19,1.045833
1980-08-20,1.045833
1980-08-21,1.045833
1980-08-22,1.045833
1980-08-25,1.045833
1980-08-26,1.05
1980-08-27,1.05
1980-08-28,1.0375
1980-08-29,1.0125
1980-09-02,1.0125
1980-09-03,1.05
1980-09-04,1.05
1980-09-05,1.05
1980-09-08,1.04375
1980-09-09,1.04375
1980-09-10,1.045833
1980-09-11,1.045833
1980-09-12,1.045833
1980-09-15,1.045833
1980-09-16,1.045833
1980-09-17,1.058333
1980-09-18,1.054167
1980-09-19,1.079167
1980-09-22,1.0625
1980-09-23,1.0625
1980-09-24,1.060417
1980-09-25,1.060417
1980-09-26,1.05
1980-09-29,1.047917
1980-09-30,1.047917
1980-10-01,1.045833
1980-10-02,1.052083
1980-10-03,1.04375
1980-10-06,1.054167
1980-10-07,1.05625
1980-10-08,1.05
1980-10-09,1.060417
1980-10-10,1.045833
1980-10-13,1.05
1980-10-14,1.05
1980-10-15,1.045833
1980-10-16,1.039583
1980-10-17,1.0375
1980-10-20,1.039583
1980-10-21,1.039583
1980-10-22,1.039583
1980-10-23,1.039583
1980-10-24,1.022917
1980-10-27,1.022917
1980-10-28,1.016667
1980-10-29,1.00625
1980-10-30,1.00625
