Date,PSN
2020-03-30,32.07
2020-03-31,31.959999
2020-04-01,30.23
2020-04-02,30.040001
2020-04-03,30.809998999999998
2020-04-06,33.740002000000004
2020-04-07,33.25
2020-04-08,34.259997999999996
2020-04-09,35.990002000000004
2020-04-13,36.0
2020-04-14,36.220001
2020-04-15,35.630001
2020-04-16,36.16
2020-04-17,36.529999
2020-04-20,35.98
2020-04-21,33.889998999999996
2020-04-22,34.810001
2020-04-23,34.610001000000004
2020-04-24,35.419998
2020-04-27,37.189999
2020-04-28,37.98
2020-04-29,39.290001000000004
2020-04-30,37.400002
2020-05-01,35.84
2020-05-04,36.299999
2020-05-05,37.389998999999996
2020-05-06,35.990002000000004
2020-05-07,37.57
2020-05-08,38.82
