Date,TGP
2005-05-05,24.299999
2005-05-06,25.51
2005-05-09,26.15
2005-05-10,25.65
2005-05-11,25.73
2005-05-12,25.549999
2005-05-13,25.5
2005-05-16,25.5
2005-05-17,26.35
2005-05-18,26.1
2005-05-19,25.91
2005-05-20,26.129998999999998
2005-05-23,25.85
2005-05-24,25.92
2005-05-25,25.92
2005-05-26,26.0
2005-05-27,26.299999
2005-05-31,26.370001000000002
2005-06-01,26.5
2005-06-02,26.59
2005-06-03,26.6
2005-06-06,26.59
2005-06-07,26.4
2005-06-08,26.02
2005-06-09,26.08
2005-06-10,25.85
2005-06-13,25.370001000000002
2005-06-14,25.58
2005-06-15,25.799999
2005-06-16,27.0
2005-06-17,27.17
2005-06-20,27.540001
2005-06-21,27.67
2005-06-22,27.92
2005-06-23,27.809998999999998
2005-06-24,28.139999
2005-06-27,28.4
2005-06-28,28.450001
2005-06-29,27.879998999999998
2005-06-30,28.200001
2005-07-01,28.4
2005-07-05,28.35
2005-07-06,28.34
2005-07-07,28.200001
2005-07-08,28.4
2005-07-11,29.35
2005-07-12,30.5
2005-07-13,30.58
2005-07-14,29.700001
2005-07-15,28.77
2005-07-18,28.120001000000002
2005-07-19,28.59
2005-07-20,29.0
2005-07-21,29.5
2005-07-22,29.700001
2005-07-25,30.98
2005-07-26,31.950001
2005-07-27,32.450001
2005-07-28,33.099998
2005-07-29,32.919998
2005-08-01,32.990002000000004
2005-08-02,34.5
2005-08-03,34.700001
2005-08-04,33.349998
2005-08-05,32.299999
2005-08-08,31.639999
2005-08-09,30.48
2005-08-10,31.48
2005-08-11,31.43
2005-08-12,32.009997999999996
2005-08-15,31.700001
2005-08-16,30.35
2005-08-17,29.5
2005-08-18,30.4
2005-08-19,31.59
2005-08-22,32.130001
2005-08-23,32.150002
2005-08-24,31.75
2005-08-25,31.6
2005-08-26,30.629998999999998
2005-08-29,30.98
2005-08-30,31.0
2005-08-31,31.85
2005-09-01,32.0
2005-09-02,32.700001
2005-09-06,32.25
2005-09-07,32.290001000000004
2005-09-08,31.99
2005-09-09,31.9
2005-09-12,31.48
2005-09-13,31.700001
2005-09-14,31.049999
2005-09-15,30.0
2005-09-16,30.030001000000002
2005-09-19,30.85
2005-09-20,30.65
2005-09-21,30.15
2005-09-22,30.709999
2005-09-23,30.65
2005-09-26,30.5
2005-09-27,30.16
2005-09-28,30.91
2005-09-29,31.5
2005-09-30,31.5
2005-10-03,31.66
2005-10-04,31.0
2005-10-05,30.549999
2005-10-06,30.01
2005-10-07,30.25
2005-10-10,30.6
2005-10-11,30.370001000000002
2005-10-12,29.74
2005-10-13,29.209999
2005-10-14,28.91
2005-10-17,29.25
2005-10-18,29.0
2005-10-19,28.1
2005-10-20,27.99
2005-10-21,28.059998999999998
2005-10-24,28.0
2005-10-25,27.75
2005-10-26,28.24
2005-10-27,28.0
2005-10-28,28.5
2005-10-31,29.91
2005-11-01,29.959999
2005-11-02,30.299999
2005-11-03,29.299999
2005-11-04,29.74
2005-11-07,28.799999
2005-11-08,28.450001
2005-11-09,28.82
2005-11-10,29.540001
2005-11-11,30.110001
2005-11-14,29.9
2005-11-15,29.65
2005-11-16,27.690001000000002
2005-11-17,27.4
2005-11-18,27.4
2005-11-21,27.540001
2005-11-22,27.74
2005-11-23,28.049999
2005-11-25,28.030001000000002
2005-11-28,28.129998999999998
2005-11-29,28.1
2005-11-30,28.030001000000002
2005-12-01,28.049999
2005-12-02,28.24
2005-12-05,28.5
2005-12-06,28.25
2005-12-07,28.4
2005-12-08,28.299999
2005-12-09,28.389999
2005-12-12,28.299999
2005-12-13,28.18
2005-12-14,29.0
2005-12-15,29.68
2005-12-16,29.91
2005-12-19,29.290001
2005-12-20,29.299999
2005-12-21,29.25
2005-12-22,29.32
2005-12-23,29.17
2005-12-27,28.49
