Date,WPX
2011-12-12,19.25
2011-12-13,18.5
2011-12-14,18.07
2011-12-15,18.01
2011-12-16,17.58
2011-12-19,17.25
2011-12-20,17.5
2011-12-21,17.5
2011-12-22,17.620001000000002
2011-12-23,18.26
2011-12-27,18.49
2011-12-28,18.4
2011-12-29,18.0
2011-12-30,18.17
2012-01-03,18.1
2012-01-04,17.719998999999998
2012-01-05,17.52
2012-01-06,17.280001000000002
2012-01-09,16.67
2012-01-10,16.98
2012-01-11,16.51
2012-01-12,15.66
2012-01-13,15.66
2012-01-17,15.49
2012-01-18,15.35
2012-01-19,14.83
2012-01-20,14.75
2012-01-23,15.09
2012-01-24,15.31
2012-01-25,16.18
2012-01-26,15.69
2012-01-27,16.049999
2012-01-30,16.379998999999998
2012-01-31,16.48
2012-02-01,16.52
2012-02-02,16.5
2012-02-03,16.450001
2012-02-06,16.67
2012-02-07,17.309998999999998
2012-02-08,18.129998999999998
2012-02-09,17.809998999999998
2012-02-10,17.540001
2012-02-13,17.540001
2012-02-14,17.58
2012-02-15,18.0
2012-02-16,18.52
2012-02-17,18.870001000000002
2012-02-21,19.040001
2012-02-22,18.42
2012-02-23,19.040001
2012-02-24,18.82
2012-02-27,18.68
2012-02-28,18.6
2012-02-29,18.16
2012-03-01,18.34
2012-03-02,17.83
2012-03-05,18.33
2012-03-06,18.219998999999998
2012-03-07,18.34
2012-03-08,18.85
2012-03-09,18.67
2012-03-12,18.41
2012-03-13,19.280001000000002
2012-03-14,19.219998999999998
2012-03-15,19.219998999999998
2012-03-16,19.48
2012-03-19,19.67
2012-03-20,18.940001000000002
2012-03-21,19.200001
2012-03-22,18.690001000000002
2012-03-23,19.030001000000002
2012-03-26,19.24
2012-03-27,19.58
2012-03-28,18.799999
2012-03-29,18.16
2012-03-30,18.01
2012-04-02,18.450001
2012-04-03,18.610001
2012-04-04,18.219998999999998
2012-04-05,17.51
2012-04-09,16.99
2012-04-10,16.530001000000002
2012-04-11,16.02
2012-04-12,16.33
2012-04-13,15.95
2012-04-16,15.74
2012-04-17,16.049999
2012-04-18,15.54
2012-04-19,15.58
2012-04-20,15.5
2012-04-23,15.43
2012-04-24,15.64
2012-04-25,16.09
2012-04-26,16.860001
2012-04-27,17.200001
2012-04-30,17.57
2012-05-01,17.690001000000002
2012-05-02,17.139999
2012-05-03,16.719998999999998
2012-05-04,16.629998999999998
2012-05-07,16.85
2012-05-08,17.0
2012-05-09,17.540001
2012-05-10,17.52
2012-05-11,17.43
2012-05-14,17.15
2012-05-15,16.629998999999998
2012-05-16,16.540001
2012-05-17,15.82
2012-05-18,15.37
2012-05-21,15.99
2012-05-22,15.85
2012-05-23,16.540001
2012-05-24,15.96
2012-05-25,15.93
2012-05-29,16.049999
2012-05-30,15.04
2012-05-31,14.67
2012-06-01,14.1
2012-06-04,14.14
2012-06-05,14.39
2012-06-06,14.81
2012-06-07,14.11
2012-06-08,14.02
2012-06-11,13.86
2012-06-12,14.27
2012-06-13,13.37
2012-06-14,13.97
2012-06-15,14.79
2012-06-18,14.79
2012-06-19,15.4
2012-06-20,14.93
2012-06-21,14.82
2012-06-22,15.24
2012-06-25,14.7
2012-06-26,14.85
2012-06-27,16.030001000000002
2012-06-28,16.09
2012-06-29,16.18
2012-07-02,15.9
2012-07-03,15.69
2012-07-05,15.28
2012-07-06,15.64
2012-07-09,15.01
2012-07-10,14.28
2012-07-11,14.73
2012-07-12,14.5
2012-07-13,14.97
2012-07-16,14.64
2012-07-17,14.78
2012-07-18,14.79
2012-07-19,15.28
2012-07-20,15.54
2012-07-23,15.09
2012-07-24,14.76
2012-07-25,14.76
2012-07-26,15.05
2012-07-27,15.15
2012-07-30,16.09
2012-07-31,15.95
2012-08-01,15.93
2012-08-02,14.72
2012-08-03,15.06
2012-08-06,15.17
2012-08-07,15.32
2012-08-08,15.17
2012-08-09,15.61
2012-08-10,15.43
2012-08-13,14.9
2012-08-14,14.95
2012-08-15,14.58
2012-08-16,14.59
2012-08-17,14.7
2012-08-20,14.58
2012-08-21,14.7
2012-08-22,14.55
2012-08-23,14.34
2012-08-24,14.82
2012-08-27,14.99
2012-08-28,15.2
2012-08-29,15.49
2012-08-30,15.36
2012-08-31,15.6
2012-09-04,15.85
2012-09-05,15.81
2012-09-06,16.360001
2012-09-07,16.450001
2012-09-10,16.17
2012-09-11,16.6
2012-09-12,16.860001
2012-09-13,17.07
2012-09-14,17.48
2012-09-17,17.43
2012-09-18,16.65
2012-09-19,17.01
2012-09-20,17.0
2012-09-21,17.17
2012-09-24,16.74
2012-09-25,16.42
2012-09-26,16.299999
2012-09-27,16.73
2012-09-28,16.59
2012-10-01,17.139999
2012-10-02,17.0
2012-10-03,16.6
2012-10-04,16.969998999999998
2012-10-05,17.09
2012-10-08,17.18
2012-10-09,17.82
2012-10-10,17.370001000000002
2012-10-11,18.1
2012-10-12,17.860001
2012-10-15,17.440001000000002
2012-10-16,17.700001
2012-10-17,17.57
2012-10-18,17.870001000000002
2012-10-19,17.690001000000002
2012-10-22,17.299999
2012-10-23,16.969998999999998
2012-10-24,16.76
2012-10-25,16.950001
2012-10-26,17.02
2012-10-31,16.940001000000002
2012-11-01,16.17
2012-11-02,15.88
2012-11-05,16.030001000000002
2012-11-06,15.87
2012-11-07,15.17
2012-11-08,15.08
2012-11-09,15.2
2012-11-12,15.25
2012-11-13,15.29
2012-11-14,15.11
2012-11-15,15.14
2012-11-16,15.37
2012-11-19,15.99
2012-11-20,16.01
2012-11-21,16.25
2012-11-23,16.540001
2012-11-26,16.02
2012-11-27,15.94
2012-11-28,16.0
2012-11-29,15.91
2012-11-30,15.79
2012-12-03,15.69
2012-12-04,15.41
2012-12-05,15.73
2012-12-06,15.76
2012-12-07,15.61
2012-12-10,15.34
2012-12-11,15.58
2012-12-12,15.64
2012-12-13,15.41
2012-12-14,15.49
2012-12-17,15.71
2012-12-18,15.77
2012-12-19,15.52
2012-12-20,15.43
2012-12-21,15.23
2012-12-24,15.0
2012-12-26,15.16
2012-12-27,14.81
2012-12-28,14.74
2012-12-31,14.88
2013-01-02,15.22
2013-01-03,15.57
2013-01-04,15.73
2013-01-07,15.89
2013-01-08,15.11
2013-01-09,14.67
2013-01-10,14.68
2013-01-11,14.86
2013-01-14,14.7
2013-01-15,14.79
2013-01-16,14.28
2013-01-17,14.47
2013-01-18,14.58
2013-01-22,14.82
2013-01-23,14.99
2013-01-24,14.63
2013-01-25,14.73
2013-01-28,14.56
2013-01-29,14.72
2013-01-30,14.95
2013-01-31,15.03
2013-02-01,15.08
2013-02-04,14.79
2013-02-05,15.2
2013-02-06,15.48
2013-02-07,15.24
2013-02-08,15.63
2013-02-11,15.27
2013-02-12,15.22
2013-02-13,15.39
2013-02-14,15.22
2013-02-15,14.76
2013-02-19,15.05
2013-02-20,14.9
2013-02-21,14.61
2013-02-22,14.9
2013-02-25,14.26
2013-02-26,14.34
2013-02-27,14.5
2013-02-28,14.19
2013-03-01,14.33
2013-03-04,14.41
2013-03-05,14.73
2013-03-06,15.14
2013-03-07,15.83
2013-03-08,16.25
2013-03-11,16.27
2013-03-12,16.120001000000002
2013-03-13,16.0
2013-03-14,16.790001
2013-03-15,16.85
2013-03-18,16.639999
2013-03-19,16.51
2013-03-20,16.459999
2013-03-21,15.95
2013-03-22,16.200001
2013-03-25,16.129998999999998
2013-03-26,16.389999
2013-03-27,16.24
2013-03-28,16.02
2013-04-01,15.82
2013-04-02,15.5
2013-04-03,15.0
2013-04-04,15.35
2013-04-05,16.15
2013-04-08,17.01
2013-04-09,17.1
