Date,TRGP
2010-12-07,24.700001
2010-12-08,25.65
2010-12-09,25.57
2010-12-10,25.639999
2010-12-13,26.52
2010-12-14,26.540001
2010-12-15,26.059998999999998
2010-12-16,26.809998999999998
2010-12-17,27.309998999999998
2010-12-20,27.530001000000002
2010-12-21,27.049999
2010-12-22,26.879998999999998
2010-12-23,26.860001
2010-12-27,26.51
2010-12-28,26.799999
2010-12-29,27.15
2010-12-30,27.030001000000002
2010-12-31,26.809998999999998
2011-01-03,27.0
2011-01-04,27.16
2011-01-05,27.34
2011-01-06,27.99
2011-01-07,27.799999
2011-01-10,27.4
2011-01-11,27.59
2011-01-12,28.35
2011-01-13,28.030001000000002
2011-01-14,28.309998999999998
2011-01-18,29.34
2011-01-19,28.870001000000002
2011-01-20,29.41
2011-01-21,29.41
2011-01-24,30.1
2011-01-25,30.190001000000002
2011-01-26,30.4
2011-01-27,30.389999
2011-01-28,30.58
2011-01-31,30.73
2011-02-01,30.65
2011-02-02,30.16
2011-02-03,29.379998999999998
2011-02-04,30.02
2011-02-07,30.0
2011-02-08,31.200001
2011-02-09,31.360001
2011-02-10,30.98
2011-02-11,31.02
2011-02-14,31.440001000000002
2011-02-15,31.879998999999998
2011-02-16,32.220001
2011-02-17,32.099998
2011-02-18,32.34
2011-02-22,31.91
2011-02-23,31.940001000000002
2011-02-24,32.040001000000004
2011-02-25,32.599998
2011-02-28,32.77
2011-03-01,32.599998
2011-03-02,32.98
2011-03-03,32.73
2011-03-04,33.220001
2011-03-07,33.950001
2011-03-08,33.580002
2011-03-09,33.169998
2011-03-10,32.200001
2011-03-11,32.349998
2011-03-14,32.049999
2011-03-15,31.940001000000002
2011-03-16,32.200001
2011-03-17,33.349998
2011-03-18,34.82
2011-03-21,35.490002000000004
2011-03-22,36.25
2011-03-23,34.959998999999996
2011-03-24,34.75
2011-03-25,35.349998
2011-03-28,35.18
2011-03-29,35.360001000000004
2011-03-30,35.5
2011-03-31,36.240002000000004
2011-04-01,36.040001000000004
2011-04-04,33.880001
2011-04-05,33.950001
2011-04-06,33.77
2011-04-07,33.599998
2011-04-08,33.490002000000004
2011-04-11,33.060001
2011-04-12,32.779999
2011-04-13,33.529999
2011-04-14,33.27
2011-04-15,33.77
2011-04-18,33.740002000000004
2011-04-19,32.73
2011-04-20,35.0
2011-04-21,34.639998999999996
2011-04-25,34.540001000000004
2011-04-26,35.52
2011-04-27,35.98
2011-04-28,35.75
2011-04-29,35.02
2011-05-02,34.34
2011-05-03,34.34
2011-05-04,33.75
2011-05-05,33.09
2011-05-06,33.959998999999996
2011-05-09,34.830002
2011-05-10,34.450001
2011-05-11,33.599998
2011-05-12,33.16
2011-05-13,33.150002
2011-05-16,32.5
2011-05-17,32.009997999999996
2011-05-18,32.07
2011-05-19,32.330002
2011-05-20,32.040001000000004
2011-05-23,32.18
2011-05-24,32.459998999999996
2011-05-25,33.200001
2011-05-26,33.41
2011-05-27,34.400002
2011-05-31,34.919998
2011-06-01,34.189999
2011-06-02,33.200001
2011-06-03,33.200001
2011-06-06,32.59
2011-06-07,32.369999
2011-06-08,32.669998
2011-06-09,33.59
2011-06-10,33.349998
2011-06-13,32.23
2011-06-14,32.290001000000004
2011-06-15,31.299999
2011-06-16,30.66
2011-06-17,30.57
2011-06-20,30.709999
2011-06-21,31.049999
2011-06-22,30.85
2011-06-23,31.34
2011-06-24,31.49
2011-06-27,31.58
2011-06-28,32.700001
2011-06-29,33.34
2011-06-30,33.459998999999996
2011-07-01,33.029999
2011-07-05,32.950001
2011-07-06,32.91
2011-07-07,33.790001000000004
2011-07-08,34.23
2011-07-11,33.48
2011-07-12,33.240002000000004
2011-07-13,33.240002000000004
2011-07-14,33.450001
2011-07-15,33.939999
2011-07-18,34.029999
2011-07-19,34.02
2011-07-20,33.560001
2011-07-21,33.91
2011-07-22,34.189999
2011-07-25,33.790001000000004
2011-07-26,33.5
2011-07-27,33.549999
2011-07-28,34.360001000000004
2011-07-29,33.759997999999996
2011-08-01,34.549999
2011-08-02,33.639998999999996
2011-08-03,33.5
2011-08-04,31.23
2011-08-05,30.73
2011-08-08,26.68
2011-08-09,30.120001000000002
2011-08-10,30.440001000000002
2011-08-11,32.540001000000004
2011-08-12,31.98
2011-08-15,32.689999
2011-08-16,31.82
2011-08-17,31.92
2011-08-18,30.35
2011-08-19,30.200001
2011-08-22,28.84
2011-08-23,29.110001
2011-08-24,29.15
2011-08-25,28.93
2011-08-26,29.120001000000002
2011-08-29,29.42
2011-08-30,29.540001
2011-08-31,29.84
2011-09-01,30.139999
2011-09-02,30.6
2011-09-06,30.549999
2011-09-07,30.6
2011-09-08,30.799999
2011-09-09,30.16
2011-09-12,30.51
2011-09-13,31.51
2011-09-14,31.559998999999998
2011-09-15,31.49
2011-09-16,31.58
2011-09-19,31.84
2011-09-20,31.49
2011-09-21,30.83
2011-09-22,30.139999
2011-09-23,30.290001
2011-09-26,30.24
2011-09-27,30.67
2011-09-28,30.4
2011-09-29,30.23
2011-09-30,29.75
2011-10-03,28.110001
2011-10-04,28.83
2011-10-05,29.73
2011-10-06,29.870001000000002
2011-10-07,30.07
2011-10-10,31.309998999999998
2011-10-11,31.49
2011-10-12,32.119999
2011-10-13,31.67
2011-10-14,32.189999
2011-10-17,32.16
2011-10-18,32.630001
2011-10-19,33.040001000000004
2011-10-20,32.48
2011-10-21,32.900002
2011-10-24,33.02
2011-10-25,32.540001000000004
2011-10-26,32.75
2011-10-27,34.41
2011-10-28,34.080002
2011-10-31,33.740002000000004
2011-11-01,33.240002000000004
2011-11-02,33.290001000000004
2011-11-03,33.98
2011-11-04,34.209998999999996
2011-11-07,34.259997999999996
2011-11-08,34.84
2011-11-09,33.09
2011-11-10,34.150002
2011-11-11,33.900002
2011-11-14,34.119999
2011-11-15,34.259997999999996
2011-11-16,34.0
2011-11-17,33.560001
2011-11-18,33.34
2011-11-21,33.009997999999996
2011-11-22,33.169998
2011-11-23,32.810001
2011-11-25,32.77
2011-11-28,33.299999
2011-11-29,33.369999
2011-11-30,34.57
2011-12-01,35.23
2011-12-02,37.369999
2011-12-05,38.220001
2011-12-06,38.41
2011-12-07,38.59
2011-12-08,37.5
2011-12-09,38.66
2011-12-12,38.549999
2011-12-13,38.700001
2011-12-14,37.950001
2011-12-15,37.77
2011-12-16,39.360001000000004
2011-12-19,38.57
2011-12-20,39.009997999999996
2011-12-21,40.02
2011-12-22,39.490002000000004
2011-12-23,40.099998
2011-12-27,41.049999
2011-12-28,40.07
2011-12-29,40.52
2011-12-30,40.689999
2012-01-03,41.139998999999996
2012-01-04,41.0
2012-01-05,41.119999
2012-01-06,40.790001000000004
2012-01-09,39.77
2012-01-10,39.970001
2012-01-11,39.790001000000004
2012-01-12,39.619999
2012-01-13,40.48
2012-01-17,41.27
2012-01-18,41.98
2012-01-19,41.650002
2012-01-20,41.369999
2012-01-23,41.23
2012-01-24,40.799999
2012-01-25,41.060001
2012-01-26,41.400002
2012-01-27,41.32
2012-01-30,41.25
2012-01-31,41.439999
2012-02-01,42.349998
2012-02-02,42.880001
2012-02-03,43.59
2012-02-06,43.48
2012-02-07,43.810001
2012-02-08,43.740002000000004
2012-02-09,43.52
2012-02-10,43.23
2012-02-13,43.23
2012-02-14,43.200001
2012-02-15,42.740002000000004
2012-02-16,43.200001
2012-02-17,43.490002000000004
2012-02-21,43.939999
2012-02-22,43.970001
2012-02-23,44.849998
2012-02-24,45.950001
2012-02-27,46.91
2012-02-28,45.759997999999996
2012-02-29,44.43
2012-03-01,44.380001
2012-03-02,44.200001
2012-03-05,44.779999
2012-03-06,44.209998999999996
2012-03-07,44.880001
2012-03-08,44.779999
2012-03-09,44.810001
2012-03-12,45.040001000000004
2012-03-13,45.709998999999996
2012-03-14,44.380001
2012-03-15,44.779999
2012-03-16,44.810001
2012-03-19,46.16
2012-03-20,45.369999
2012-03-21,45.41
2012-03-22,44.84
2012-03-23,45.41
2012-03-26,45.709998999999996
2012-03-27,45.490002000000004
2012-03-28,44.84
2012-03-29,44.73
2012-03-30,45.450001
2012-04-02,45.43
2012-04-03,45.580002
2012-04-04,45.490002000000004
2012-04-05,45.900002
2012-04-09,45.060001
2012-04-10,44.0
2012-04-11,44.68
2012-04-12,45.23
2012-04-13,45.0
2012-04-16,45.040001000000004
2012-04-17,45.220001
2012-04-18,45.389998999999996
2012-04-19,45.98
2012-04-20,46.200001
2012-04-23,46.869999
2012-04-24,47.220001
2012-04-25,47.290001000000004
2012-04-26,47.509997999999996
2012-04-27,47.669998
2012-04-30,48.09
2012-05-01,48.48
2012-05-02,49.209998999999996
2012-05-03,48.299999
2012-05-04,48.310001
2012-05-07,48.290001000000004
2012-05-08,48.610001000000004
2012-05-09,47.919998
2012-05-10,48.27
2012-05-11,47.919998
2012-05-14,46.240002000000004
2012-05-15,44.950001
2012-05-16,45.330002
2012-05-17,44.310001
2012-05-18,43.490002000000004
2012-05-21,43.990002000000004
2012-05-22,43.950001
2012-05-23,44.0
2012-05-24,43.599998
2012-05-25,44.130001
2012-05-29,45.75
2012-05-30,45.02
2012-05-31,44.34
2012-06-01,42.529999
2012-06-04,41.549999
2012-06-05,42.560001
2012-06-06,44.110001000000004
2012-06-07,44.07
2012-06-08,43.450001
2012-06-11,43.060001
2012-06-12,43.330002
2012-06-13,43.150002
2012-06-14,43.299999
2012-06-15,42.630001
2012-06-18,43.169998
2012-06-19,44.549999
2012-06-20,44.18
2012-06-21,42.32
2012-06-22,41.869999
2012-06-25,40.540001000000004
2012-06-26,41.369999
2012-06-27,42.349998
2012-06-28,42.0
2012-06-29,42.700001
2012-07-02,42.23
2012-07-03,42.900002
2012-07-05,42.990002000000004
2012-07-06,42.369999
2012-07-09,42.709998999999996
2012-07-10,42.43
2012-07-11,42.740002000000004
2012-07-12,43.060001
2012-07-13,45.0
2012-07-16,45.73
2012-07-17,45.799999
2012-07-18,45.5
2012-07-19,45.119999
2012-07-20,44.830002
2012-07-23,43.990002000000004
2012-07-24,43.830002
2012-07-25,43.880001
2012-07-26,43.860001000000004
2012-07-27,44.509997999999996
2012-07-30,44.200001
2012-07-31,44.049999
2012-08-01,44.259997999999996
2012-08-02,43.849998
2012-08-03,44.009997999999996
2012-08-06,44.540001000000004
2012-08-07,44.549999
2012-08-08,44.490002000000004
