Date,JCP
1973-02-21,23.46875
1973-02-22,23.5625
1973-02-23,23.3125
1973-02-26,23.0
1973-02-27,22.75
1973-02-28,22.84375
1973-03-01,22.90625
1973-03-02,23.375
1973-03-05,23.875
1973-03-06,25.0
1973-03-07,24.875
1973-03-08,24.375
1973-03-09,24.40625
1973-03-12,24.40625
1973-03-13,24.3125
1973-03-14,24.0
1973-03-15,23.875
1973-03-16,23.71875
1973-03-19,23.5625
1973-03-20,23.34375
1973-03-21,23.125
1973-03-22,22.25
1973-03-23,21.6875
1973-03-26,22.03125
1973-03-27,22.75
1973-03-28,23.0
1973-03-29,23.40625
1973-03-30,22.96875
1973-04-02,22.28125
1973-04-03,22.0
1973-04-04,21.9375
1973-04-05,21.84375
1973-04-06,21.96875
1973-04-09,22.1875
1973-04-10,21.9375
1973-04-11,22.0625
1973-04-12,22.28125
1973-04-13,22.0625
1973-04-16,21.34375
1973-04-17,20.78125
1973-04-18,20.75
1973-04-19,20.9375
1973-04-23,21.0625
1973-04-24,20.4375
1973-04-25,20.03125
1973-04-26,20.3125
1973-04-27,20.0
1973-04-30,20.0
1973-05-01,19.9375
1973-05-02,20.5
1973-05-03,20.6875
1973-05-04,21.5
1973-05-07,21.0625
1973-05-08,20.75
1973-05-09,21.0
1973-05-10,21.03125
1973-05-11,20.8125
1973-05-14,20.15625
1973-05-15,19.96875
1973-05-16,19.90625
1973-05-17,19.6875
1973-05-18,19.4375
1973-05-21,19.8125
1973-05-22,19.9375
1973-05-23,19.96875
1973-05-24,20.75
1973-05-25,20.625
1973-05-29,20.40625
1973-05-30,20.125
1973-05-31,20.21875
1973-06-01,20.3125
1973-06-04,20.0
1973-06-05,20.53125
1973-06-06,20.4375
1973-06-07,20.625
1973-06-08,20.75
1973-06-11,20.59375
1973-06-12,21.03125
1973-06-13,20.9375
1973-06-14,20.5625
1973-06-15,20.46875
1973-06-18,20.0625
1973-06-19,19.90625
1973-06-20,19.90625
1973-06-21,19.8125
1973-06-22,19.84375
1973-06-25,19.46875
1973-06-26,19.59375
1973-06-27,19.5625
1973-06-28,19.5625
1973-06-29,19.34375
1973-07-02,19.09375
1973-07-03,18.6875
