Date,CNSWF
2007-04-30,22.01
2007-05-01,22.01
2007-05-02,22.01
2007-05-03,22.790001
2007-05-04,22.790001
2007-05-07,22.790001
2007-05-08,22.790001
2007-05-09,22.790001
2007-05-10,22.790001
2007-05-11,22.790001
2007-05-14,22.790001
2007-05-15,22.790001
2007-05-16,22.790001
2007-05-17,22.790001
2007-05-18,22.790001
2007-05-21,22.790001
2007-05-22,22.790001
2007-05-23,22.790001
2007-05-24,22.790001
2007-05-25,22.790001
2007-05-29,22.790001
2007-05-30,22.790001
2007-05-31,22.790001
2007-06-01,22.700001
2007-06-04,22.700001
2007-06-05,22.620001000000002
2007-06-06,22.620001000000002
2007-06-07,22.620001000000002
2007-06-08,22.780001000000002
2007-06-11,22.780001000000002
2007-06-12,22.780001000000002
2007-06-13,22.780001000000002
2007-06-14,22.6
2007-06-15,22.6
2007-06-18,22.6
2007-06-19,22.6
2007-06-20,22.6
2007-06-21,22.6
2007-06-22,22.6
2007-06-25,22.6
2007-06-26,22.6
2007-06-27,22.6
2007-06-28,22.6
2007-06-29,22.6
2007-07-02,22.6
2007-07-03,22.6
2007-07-05,22.66
2007-07-06,22.66
2007-07-09,22.66
2007-07-10,22.66
2007-07-11,22.66
2007-07-12,22.66
2007-07-13,22.66
2007-07-16,22.66
2007-07-17,22.66
2007-07-18,22.66
2007-07-19,22.66
2007-07-20,22.66
2007-07-23,22.66
2007-07-24,22.66
2007-07-25,22.66
2007-07-26,22.66
2007-07-27,22.66
2007-07-30,22.66
2007-07-31,22.66
2007-08-01,22.66
2007-08-02,22.66
2007-08-03,22.66
2007-08-06,22.66
2007-08-07,22.66
2007-08-08,22.66
2007-08-09,22.66
2007-08-10,22.66
2007-08-13,22.66
2007-08-14,22.66
2007-08-15,22.66
2007-08-16,22.66
2007-08-17,22.66
2007-08-20,22.66
2007-08-21,22.66
2007-08-22,22.66
2007-08-23,22.66
2007-08-24,22.66
2007-08-27,22.66
2007-08-28,22.66
2007-08-29,22.66
2007-08-30,22.66
2007-08-31,22.66
2007-09-04,22.66
2007-09-05,22.66
2007-09-06,22.66
2007-09-07,22.66
2007-09-10,22.66
2007-09-11,22.66
2007-09-12,22.66
2007-09-13,22.66
2007-09-14,22.66
2007-09-17,22.66
2007-09-18,22.66
2007-09-19,22.66
2007-09-20,22.66
2007-09-21,22.66
2007-09-24,22.66
2007-09-25,22.66
2007-09-26,22.66
2007-09-27,22.66
2007-09-28,22.66
2007-10-01,22.66
2007-10-02,22.66
2007-10-03,22.66
2007-10-04,22.66
2007-10-05,25.09
2007-10-08,25.09
2007-10-09,25.09
2007-10-10,25.09
2007-10-11,25.09
2007-10-12,25.09
2007-10-15,25.09
2007-10-16,25.09
2007-10-17,25.09
2007-10-18,25.09
2007-10-19,25.09
2007-10-22,25.09
2007-10-23,25.09
2007-10-24,25.32
2007-10-25,25.32
2007-10-26,25.32
2007-10-29,25.32
2007-10-30,25.32
2007-10-31,25.32
2007-11-01,25.32
2007-11-02,25.32
2007-11-05,25.32
2007-11-06,25.32
2007-11-07,25.32
2007-11-08,25.32
2007-11-09,25.32
2007-11-12,25.32
2007-11-13,25.32
2007-11-14,25.32
2007-11-15,25.32
2007-11-16,25.32
2007-11-19,25.32
2007-11-20,25.32
2007-11-21,25.32
2007-11-23,25.32
2007-11-26,25.32
2007-11-27,25.32
2007-11-28,25.32
2007-11-29,25.32
2007-11-30,25.32
2007-12-03,25.32
2007-12-04,25.32
2007-12-05,25.32
2007-12-06,25.32
2007-12-07,25.32
2007-12-10,25.32
2007-12-11,25.32
2007-12-12,25.32
2007-12-13,25.32
2007-12-14,25.32
2007-12-17,25.32
2007-12-18,25.32
2007-12-19,25.32
2007-12-20,25.32
2007-12-21,25.32
2007-12-24,25.32
2007-12-26,25.32
2007-12-27,25.32
2007-12-28,25.32
2007-12-31,25.32
2008-01-02,25.07
2008-01-03,25.07
2008-01-04,25.07
2008-01-07,24.1
2008-01-08,24.02
2008-01-09,24.02
2008-01-10,24.02
2008-01-11,24.02
2008-01-14,24.02
2008-01-15,24.02
2008-01-16,24.02
2008-01-17,24.02
2008-01-18,24.02
2008-01-22,24.02
2008-01-23,24.02
2008-01-24,24.02
2008-01-25,24.02
2008-01-28,24.02
2008-01-29,24.02
2008-01-30,24.02
2008-01-31,24.02
2008-02-01,24.02
2008-02-04,24.02
2008-02-05,24.02
2008-02-06,24.02
2008-02-07,24.02
2008-02-08,24.02
2008-02-11,24.02
2008-02-12,24.02
2008-02-13,24.02
2008-02-14,24.02
2008-02-15,24.02
2008-02-19,24.02
2008-02-20,24.02
2008-02-21,24.02
2008-02-22,24.02
2008-02-25,24.02
2008-02-26,24.02
2008-02-27,24.02
2008-02-28,24.02
2008-02-29,24.02
2008-03-03,24.02
2008-03-04,24.02
2008-03-05,24.02
2008-03-06,24.02
2008-03-07,24.02
2008-03-10,25.58
2008-03-11,25.58
2008-03-12,25.58
2008-03-13,25.58
2008-03-14,25.58
2008-03-17,25.58
2008-03-18,25.58
2008-03-19,25.58
2008-03-20,25.58
2008-03-24,25.58
2008-03-25,25.58
2008-03-26,25.58
2008-03-27,25.58
2008-03-28,25.58
2008-03-31,25.58
2008-04-01,22.040001
2008-04-02,22.040001
2008-04-03,22.040001
2008-04-04,22.040001
2008-04-07,22.040001
2008-04-08,22.040001
2008-04-09,22.040001
2008-04-10,22.040001
2008-04-11,22.040001
2008-04-14,22.040001
2008-04-15,22.040001
2008-04-16,22.040001
2008-04-17,22.040001
2008-04-18,22.040001
