Date,RSYS
2012-06-18,6.3
2012-06-19,6.46
2012-06-20,6.46
2012-06-21,6.32
2012-06-22,6.46
2012-06-25,6.35
2012-06-26,6.35
2012-06-27,6.21
2012-06-28,5.94
2012-06-29,6.28
2012-07-02,6.3
2012-07-03,6.46
2012-07-05,6.27
2012-07-06,6.08
2012-07-09,6.04
2012-07-10,5.94
2012-07-11,5.79
2012-07-12,5.7
2012-07-13,5.71
2012-07-16,5.48
2012-07-17,5.36
2012-07-18,5.44
2012-07-19,5.48
2012-07-20,5.42
2012-07-23,5.25
2012-07-24,5.17
2012-07-25,5.22
2012-07-26,5.26
2012-07-27,3.56
2012-07-30,3.34
2012-07-31,3.41
2012-08-01,3.4
2012-08-02,3.38
2012-08-03,3.67
2012-08-06,3.75
2012-08-07,3.8
2012-08-08,3.74
2012-08-09,3.71
2012-08-10,3.69
2012-08-13,3.57
2012-08-14,3.44
2012-08-15,3.48
2012-08-16,3.56
2012-08-17,3.64
2012-08-20,3.67
2012-08-21,3.66
2012-08-22,3.75
2012-08-23,3.66
2012-08-24,3.75
2012-08-27,3.68
2012-08-28,3.71
2012-08-29,3.76
2012-08-30,3.68
2012-08-31,3.65
2012-09-04,3.67
2012-09-05,3.57
2012-09-06,3.69
2012-09-07,3.64
2012-09-10,3.76
2012-09-11,3.7
2012-09-12,3.71
2012-09-13,3.69
2012-09-14,3.73
2012-09-17,3.69
2012-09-18,3.75
2012-09-19,3.64
2012-09-20,3.57
2012-09-21,3.53
2012-09-24,3.68
2012-09-25,3.56
2012-09-26,3.61
2012-09-27,3.71
2012-09-28,3.6
2012-10-01,3.43
2012-10-02,3.15
2012-10-03,2.96
2012-10-04,2.97
2012-10-05,3.16
2012-10-08,3.24
2012-10-09,3.12
2012-10-10,3.07
2012-10-11,3.04
2012-10-12,3.05
2012-10-15,3.02
2012-10-16,3.04
2012-10-17,3.2
2012-10-18,3.04
2012-10-19,3.02
2012-10-22,3.04
2012-10-23,2.97
2012-10-24,3.01
2012-10-25,2.98
2012-10-26,2.94
2012-10-31,2.84
2012-11-01,2.84
2012-11-02,2.76
2012-11-05,2.8
2012-11-06,2.81
2012-11-07,2.79
2012-11-08,2.84
2012-11-09,2.79
2012-11-12,2.69
2012-11-13,2.64
2012-11-14,2.52
2012-11-15,2.35
2012-11-16,2.35
2012-11-19,2.25
2012-11-20,2.09
2012-11-21,2.09
2012-11-23,2.07
2012-11-26,2.19
2012-11-27,2.19
2012-11-28,2.16
2012-11-29,2.19
2012-11-30,2.25
2012-12-03,2.2
2012-12-04,2.4
2012-12-05,2.58
2012-12-06,2.75
2012-12-07,2.63
2012-12-10,2.69
2012-12-11,2.85
2012-12-12,2.72
2012-12-13,2.71
2012-12-14,2.87
2012-12-17,2.91
2012-12-18,2.84
2012-12-19,2.8
2012-12-20,2.59
2012-12-21,2.56
2012-12-24,2.63
2012-12-26,2.74
2012-12-27,2.79
2012-12-28,2.83
2012-12-31,2.98
2013-01-02,3.08
2013-01-03,3.08
2013-01-04,3.08
2013-01-07,2.9402
2013-01-08,2.84
2013-01-09,3.02
2013-01-10,3.13
2013-01-11,3.3
2013-01-14,3.3
2013-01-15,3.74
2013-01-16,3.74
2013-01-17,3.73
2013-01-18,3.7
2013-01-22,3.76
2013-01-23,3.76
2013-01-24,3.76
2013-01-25,3.81
2013-01-28,3.86
2013-01-29,3.85
2013-01-30,3.8
2013-01-31,3.9
2013-02-01,3.95
2013-02-04,3.81
2013-02-05,3.77
2013-02-06,3.91
2013-02-07,3.85
2013-02-08,3.95
2013-02-11,4.1
2013-02-12,4.01
2013-02-13,4.02
2013-02-14,4.05
2013-02-15,4.07
2013-02-19,4.11
2013-02-20,4.06
2013-02-21,4.12
2013-02-22,4.13
2013-02-25,4.04
2013-02-26,4.01
2013-02-27,4.08
2013-02-28,4.19
