Date,SFI
2010-12-14,0.254
2010-12-15,0.253
2010-12-16,0.245
2010-12-17,0.242
2010-12-20,0.242
2010-12-21,0.234
2010-12-22,0.233
2010-12-23,0.223
2010-12-27,0.219
2010-12-28,0.214
2010-12-29,0.255
2010-12-30,0.256
2010-12-31,
2011-01-03,0.251
2011-01-04,0.253
2011-01-05,0.262
2011-01-06,0.26
2011-01-07,0.261
2011-01-10,0.257
2011-01-11,0.257
2011-01-12,0.251
2011-01-13,0.243
2011-01-14,0.234
2011-01-18,0.217
2011-01-19,0.218
2011-01-20,0.214
2011-01-21,0.218
2011-01-24,0.211
2011-01-25,0.207
2011-01-26,0.21
2011-01-27,0.208
2011-01-28,0.208
2011-01-31,0.211
2011-02-01,0.21
2011-02-02,0.207
2011-02-03,0.207
2011-02-04,0.21
2011-02-07,0.22
2011-02-08,0.223
2011-02-09,0.215
2011-02-10,0.211
2011-02-11,0.217
2011-02-14,0.215
2011-02-15,0.214
2011-02-16,0.213
2011-02-17,0.223
2011-02-18,0.215
2011-02-22,0.204
2011-02-23,0.198
2011-02-24,0.199
2011-02-25,0.203
2011-02-28,0.22
2011-03-01,0.206
2011-03-02,0.207
2011-03-03,0.201
2011-03-04,0.196
2011-03-07,0.203
2011-03-08,0.206
2011-03-09,0.2
2011-03-10,0.192
2011-03-11,0.192
2011-03-14,0.188
2011-03-15,0.182
2011-03-16,0.185
2011-03-17,0.177
2011-03-18,0.173
2011-03-21,0.165
2011-03-22,0.161
2011-03-23,0.161
2011-03-24,0.145
2011-03-25,0.15
2011-03-28,0.158
2011-03-29,0.166
2011-03-30,0.143
2011-03-31,0.148
2011-04-01,0.149
2011-04-04,0.153
2011-04-05,0.153
2011-04-06,0.152
2011-04-07,0.151
2011-04-08,0.155
2011-04-11,0.158
2011-04-12,0.16
2011-04-13,0.164
2011-04-14,0.171
2011-04-15,0.17
2011-04-18,0.177
2011-04-19,0.173
2011-04-20,0.181
2011-04-21,0.179
2011-04-25,
2011-04-26,0.18
2011-04-27,0.186
2011-04-28,0.178
2011-04-29,0.175
2011-05-02,0.174
2011-05-03,0.183
2011-05-04,0.177
2011-05-05,0.176
2011-05-06,0.18
2011-05-09,0.18
2011-05-10,0.179
2011-05-11,0.173
2011-05-12,0.184
2011-05-13,0.193
2011-05-16,0.195
2011-05-17,0.182
2011-05-18,0.184
2011-05-19,0.185
2011-05-20,0.178
2011-05-23,0.172
2011-05-24,0.173
2011-05-25,0.168
2011-05-26,0.166
2011-05-27,0.158
2011-05-31,0.159
2011-06-01,0.161
2011-06-02,0.16
2011-06-03,0.158
2011-06-06,0.158
2011-06-07,0.143
2011-06-08,0.146
2011-06-09,0.141
2011-06-10,0.135
2011-06-13,0.142
2011-06-14,0.139
2011-06-15,0.137
2011-06-16,0.136
2011-06-17,0.13
2011-06-20,0.128
2011-06-21,0.116
2011-06-22,0.116
2011-06-23,0.11
2011-06-24,0.117
2011-06-27,0.119
2011-06-28,0.119
2011-06-29,0.118
2011-06-30,0.119
2011-07-01,0.122
2011-07-05,0.123
2011-07-06,0.122
2011-07-07,0.122
2011-07-08,0.126
2011-07-11,0.122
2011-07-12,0.115
2011-07-13,0.12
2011-07-14,0.109
2011-07-15,0.11
2011-07-18,0.114
2011-07-19,0.104
2011-07-20,0.105
2011-07-21,0.106
2011-07-22,0.105
2011-07-25,0.1
2011-07-26,0.103
2011-07-27,0.103
2011-07-28,0.101
2011-07-29,0.102
2011-08-01,0.062
2011-08-02,0.058
2011-08-03,0.062
2011-08-04,0.061
2011-08-05,0.057
2011-08-08,0.054
2011-08-09,0.052
2011-08-10,0.056
2011-08-11,0.061
2011-08-12,0.059
2011-08-15,0.065
2011-08-16,0.065
2011-08-17,0.055
2011-08-18,0.056
2011-08-19,0.055
2011-08-22,0.053
2011-08-23,0.049
2011-08-24,0.05
2011-08-25,0.053
2011-08-26,0.053
2011-08-29,0.058
2011-08-30,0.06
2011-08-31,0.06
2011-09-01,0.059
2011-09-02,0.065
2011-09-06,
2011-09-07,0.068
2011-09-08,0.069
2011-09-09,0.073
2011-09-12,0.076
2011-09-13,0.081
2011-09-14,0.078
2011-09-15,0.078
2011-09-16,0.077
2011-09-19,0.078
2011-09-20,0.081
2011-09-21,0.083
2011-09-22,0.084
2011-09-23,0.07
2011-09-26,0.076
2011-09-27,0.075
2011-09-28,0.071
2011-09-29,0.069
2011-09-30,0.052
2011-10-03,0.047
2011-10-04,0.047
2011-10-05,0.04
2011-10-06,0.046
2011-10-07,0.049
2011-10-10,0.049
2011-10-11,0.055
2011-10-12,0.057
2011-10-13,0.062
2011-10-14,0.061
2011-10-17,0.059
2011-10-18,0.051
2011-10-19,0.057
2011-10-20,0.05
2011-10-21,0.051
2011-10-24,0.054
2011-10-25,0.05
2011-10-26,0.052
2011-10-27,0.057
2011-10-28,0.053
2011-10-31,0.057
2011-11-01,0.058
2011-11-02,0.054
2011-11-03,0.055
2011-11-04,0.056
2011-11-07,0.055
2011-11-08,0.057
2011-11-09,0.056
2011-11-10,0.056
2011-11-11,0.054
2011-11-14,0.054
2011-11-15,0.054
2011-11-16,0.05
2011-11-17,0.05
2011-11-18,0.05
2011-11-21,0.047
2011-11-22,0.05
2011-11-23,0.049
2011-11-25,0.046
2011-11-28,0.049
2011-11-29,0.049
2011-11-30,0.044
2011-12-01,0.047
2011-12-02,0.045
2011-12-05,0.047
2011-12-06,0.052
2011-12-07,0.046
2011-12-08,0.046
2011-12-09,0.043
2011-12-12,0.044
2011-12-13,0.045
2011-12-14,0.045
2011-12-15,0.041
2011-12-16,0.045
2011-12-19,0.043
2011-12-20,0.045
2011-12-21,0.042
2011-12-22,0.044
2011-12-23,0.044
2011-12-27,0.044
2011-12-28,0.044
2011-12-29,0.045
2011-12-30,0.045
2012-01-03,0.045
2012-01-04,0.062
2012-01-05,0.062
2012-01-06,0.062
2012-01-09,0.042
2012-01-10,0.045
2012-01-11,0.047
2012-01-12,0.046
2012-01-13,0.046
2012-01-17,0.035
2012-01-18,0.036
2012-01-19,0.037
2012-01-20,0.034
2012-01-23,0.034
2012-01-24,0.034
2012-01-25,0.034
2012-01-26,0.033
2012-01-27,0.037
2012-01-30,0.036
2012-01-31,0.036
2012-02-01,0.038
2012-02-02,0.037
2012-02-03,0.041
2012-02-06,0.042
2012-02-07,0.039
2012-02-08,0.047
2012-02-09,0.047
2012-02-10,0.043
2012-02-13,0.042
2012-02-14,0.044
2012-02-15,0.044
2012-02-16,0.042
2012-02-17,0.045
2012-02-21,0.053
2012-02-22,0.056
2012-02-23,0.052
2012-02-24,0.054
2012-02-27,0.048
2012-02-28,0.048
2012-02-29,0.053
2012-03-01,0.053
2012-03-02,0.052
2012-03-05,0.051
2012-03-06,0.046
2012-03-07,0.047
2012-03-08,0.047
2012-03-09,0.047
2012-03-12,0.047
2012-03-13,0.047
2012-03-14,0.048
2012-03-15,0.047
2012-03-16,0.046
2012-03-19,0.042
2012-03-20,0.042
2012-03-21,0.04
2012-03-22,0.04
2012-03-23,0.041
2012-03-26,0.037
2012-03-27,0.038
2012-03-28,0.036
2012-03-29,0.037
2012-03-30,0.036
2012-04-02,0.034
2012-04-03,0.034
2012-04-04,0.036
2012-04-05,0.034
2012-04-09,0.034
2012-04-10,0.033
2012-04-11,0.038
2012-04-12,0.035
