Date,HCC
2017-04-13,18.0
2017-04-17,19.0
2017-04-18,18.459999
2017-04-19,18.299999
2017-04-20,18.58
2017-04-21,18.41
2017-04-24,18.709999
2017-04-25,18.280001000000002
2017-04-26,18.450001
2017-04-27,18.0
2017-04-28,18.08
2017-05-01,18.0
2017-05-02,18.360001
2017-05-03,18.0
2017-05-04,17.52
2017-05-05,17.58
2017-05-08,17.440001000000002
2017-05-09,16.9
2017-05-10,17.24
2017-05-11,17.15
2017-05-12,17.0
2017-05-15,17.459999
2017-05-16,16.99
2017-05-17,17.049999
2017-05-18,17.139999
2017-05-19,17.76
2017-05-22,18.200001
2017-05-23,17.9
2017-05-24,17.73
2017-05-25,17.33
2017-05-26,17.120001000000002
2017-05-30,17.34
2017-05-31,17.09
2017-06-01,17.75
2017-06-02,17.209999
2017-06-05,17.33
2017-06-06,17.48
2017-06-07,17.030001000000002
2017-06-08,17.440001000000002
2017-06-09,17.48
2017-06-12,17.450001
2017-06-13,17.16
2017-06-14,17.299999
2017-06-15,16.790001
2017-06-16,15.86
2017-06-19,15.75
2017-06-20,15.5
2017-06-21,15.49
2017-06-22,16.129998999999998
2017-06-23,16.26
2017-06-26,16.190001000000002
2017-06-27,16.280001000000002
2017-06-28,16.950001
2017-06-29,17.08
2017-06-30,17.129998999999998
2017-07-03,17.32
2017-07-05,17.780001000000002
2017-07-06,17.73
2017-07-07,17.66
2017-07-10,17.93
2017-07-11,18.58
2017-07-12,18.82
2017-07-13,18.75
2017-07-14,18.77
2017-07-17,19.629998999999998
2017-07-18,19.74
2017-07-19,19.549999
2017-07-20,19.42
2017-07-21,19.309998999999998
2017-07-24,19.0
2017-07-25,19.950001
2017-07-26,20.4
2017-07-27,20.68
2017-07-28,21.24
2017-07-31,21.860001
2017-08-01,22.25
2017-08-02,22.57
2017-08-03,21.860001
2017-08-04,24.040001
2017-08-07,24.66
2017-08-08,24.42
2017-08-09,24.42
2017-08-10,23.73
2017-08-11,23.17
2017-08-14,24.290001
2017-08-15,23.969998999999998
2017-08-16,24.620001000000002
2017-08-17,24.17
