Date,LILAK
2016-05-16,42.02
2016-05-17,42.790001000000004
2016-05-18,42.509997999999996
2016-05-19,41.82
2016-05-20,41.810001
2016-05-23,41.759997999999996
2016-05-24,42.299999
2016-05-25,42.540001000000004
2016-05-26,42.240002000000004
2016-05-27,42.98
2016-05-31,42.709998999999996
2016-06-01,42.700001
2016-06-02,40.41
2016-06-03,37.84
2016-06-06,37.610001000000004
2016-06-07,37.860001000000004
2016-06-08,37.939999
2016-06-09,38.209998999999996
2016-06-10,38.029999
2016-06-13,37.209998999999996
2016-06-14,37.369999
2016-06-15,37.380001
2016-06-16,37.48
2016-06-17,37.41
2016-06-20,36.349998
2016-06-21,35.400002
2016-06-22,34.400002
2016-06-23,35.735001000000004
2016-06-24,33.869999
2016-06-27,32.709998999999996
2016-06-28,32.07
2016-06-29,32.779999
2016-06-30,32.490002000000004
2016-07-01,32.889998999999996
2016-07-05,32.060001
2016-07-06,33.099998
2016-07-07,34.650002
2016-07-08,35.700001
2016-07-11,35.34
2016-07-12,35.02
2016-07-13,34.490002000000004
2016-07-14,34.73
2016-07-15,34.709998999999996
2016-07-18,34.799999
2016-07-19,34.900002
2016-07-20,35.889998999999996
2016-07-21,36.669998
2016-07-22,36.66
2016-07-25,36.0
2016-07-26,36.299999
2016-07-27,35.48
2016-07-28,35.220001
2016-07-29,35.0
2016-08-01,35.240002000000004
2016-08-02,34.950001
2016-08-03,35.509997999999996
2016-08-04,35.380001
2016-08-05,33.139998999999996
2016-08-08,29.24
2016-08-09,29.719998999999998
2016-08-10,29.459999
2016-08-11,29.780001000000002
2016-08-12,29.51
2016-08-15,29.709999
2016-08-16,29.92
2016-08-17,29.469998999999998
2016-08-18,28.459999
2016-08-19,28.0
2016-08-22,28.42
2016-08-23,27.65
2016-08-24,27.23
2016-08-25,27.83
2016-08-26,27.52
2016-08-29,27.959999
2016-08-30,28.09
2016-08-31,28.559998999999998
2016-09-01,28.280001000000002
2016-09-02,28.99
2016-09-06,29.26
2016-09-07,29.85
2016-09-08,29.809998999999998
2016-09-09,29.379998999999998
2016-09-12,29.68
2016-09-13,29.209999
2016-09-14,29.389999
2016-09-15,29.809998999999998
2016-09-16,29.17
2016-09-19,29.59
2016-09-20,29.52
2016-09-21,29.02
2016-09-22,28.889999
2016-09-23,28.67
2016-09-26,28.4
2016-09-27,28.280001000000002
2016-09-28,28.440001000000002
2016-09-29,28.24
2016-09-30,28.049999
2016-10-03,28.360001
2016-10-04,28.58
2016-10-05,28.74
2016-10-06,28.299999
2016-10-07,28.280001000000002
2016-10-10,28.389999
2016-10-11,28.17
2016-10-12,28.23
2016-10-13,28.08
2016-10-14,27.879998999999998
2016-10-17,27.77
2016-10-18,27.879998999999998
2016-10-19,27.99
2016-10-20,27.700001
2016-10-21,27.66
2016-10-24,27.549999
2016-10-25,27.280001000000002
2016-10-26,26.91
2016-10-27,26.870001000000002
2016-10-28,26.99
2016-10-31,27.639999
2016-11-01,27.370001000000002
2016-11-02,26.98
2016-11-03,26.49
2016-11-04,19.370001000000002
2016-11-07,19.92
2016-11-08,20.18
2016-11-09,20.25
2016-11-10,19.91
2016-11-11,19.780001000000002
2016-11-14,19.879998999999998
2016-11-15,19.629998999999998
2016-11-16,19.57
2016-11-17,19.709999
2016-11-18,20.469998999999998
2016-11-21,21.379998999999998
2016-11-22,21.24
2016-11-23,21.51
2016-11-25,21.940001000000002
2016-11-28,21.940001000000002
2016-11-29,21.52
2016-11-30,21.17
