Date,MEG
2018-03-15,4.75
2018-03-16,4.9
2018-03-19,4.83
2018-03-20,4.72
2018-03-21,4.64
2018-03-22,4.76
2018-03-23,4.66
2018-03-26,4.53
2018-03-27,4.63
2018-03-28,4.69
2018-03-29,4.69
2018-04-02,4.79
2018-04-03,4.6
2018-04-04,4.65
2018-04-05,4.6
2018-04-06,4.52
2018-04-09,4.52
2018-04-10,4.5
2018-04-11,4.6
2018-04-12,4.7
2018-04-13,4.65
2018-04-16,4.63
2018-04-17,4.4
2018-04-18,4.5
2018-04-19,4.28
2018-04-20,4.4
2018-04-23,4.3
2018-04-24,4.25
2018-04-25,4.25
2018-04-26,4.31
2018-04-27,4.38
2018-04-30,4.5
2018-05-01,4.5
2018-05-02,4.52
2018-05-03,4.36
2018-05-04,4.31
2018-05-07,4.25
2018-05-08,4.25
2018-05-09,4.29
2018-05-10,4.27
2018-05-11,4.32
2018-05-14,4.32
2018-05-15,4.65
2018-05-16,4.75
2018-05-17,4.66
2018-05-18,4.53
2018-05-21,4.59
2018-05-22,4.68
2018-05-23,4.74
2018-05-24,4.82
2018-05-25,4.71
2018-05-29,4.8
2018-05-30,4.55
2018-05-31,4.86
2018-06-01,4.9
2018-06-04,4.92
2018-06-05,4.9
2018-06-06,4.87
2018-06-07,4.9
2018-06-08,4.9
2018-06-11,4.78
2018-06-12,4.78
2018-06-13,4.7
2018-06-14,4.56
2018-06-15,
2018-06-18,4.63
2018-06-19,4.58
2018-06-20,4.6
2018-06-21,4.43
2018-06-22,4.45
2018-06-25,4.41
2018-06-26,4.3
2018-06-27,4.41
2018-06-28,4.25
2018-06-29,4.28
2018-07-02,4.3
2018-07-03,4.4
2018-07-05,4.35
2018-07-06,4.4
2018-07-09,4.4
2018-07-10,4.41
2018-07-11,4.47
2018-07-12,4.65
2018-07-13,4.67
2018-07-16,4.54
2018-07-17,4.49
2018-07-18,4.67
2018-07-19,4.58
2018-07-20,4.6
2018-07-23,4.7
2018-07-24,4.69
