Date,PANW
2013-06-18,41.599998
2013-06-19,42.060001
2013-06-20,41.860001000000004
2013-06-21,41.049999
2013-06-24,39.560001
2013-06-25,41.57
2013-06-26,42.080002
2013-06-27,44.380001
2013-06-28,42.16
2013-07-01,42.220001
2013-07-02,41.150002
2013-07-03,42.900002
2013-07-05,42.290001000000004
2013-07-08,42.84
2013-07-09,43.09
2013-07-10,44.220001
2013-07-11,46.77
2013-07-12,46.43
2013-07-15,46.810001
2013-07-16,46.509997999999996
2013-07-17,47.34
2013-07-18,48.689999
2013-07-19,49.810001
2013-07-22,49.549999
2013-07-23,48.540001000000004
2013-07-24,48.540001000000004
2013-07-25,49.860001000000004
2013-07-26,49.290001000000004
2013-07-29,48.740002000000004
2013-07-30,48.77
2013-07-31,48.939999
2013-08-01,49.16
2013-08-02,49.310001
2013-08-05,50.040001000000004
2013-08-06,49.389998999999996
2013-08-07,48.060001
2013-08-08,49.509997999999996
2013-08-09,49.150002
2013-08-12,49.23
2013-08-13,49.110001000000004
2013-08-14,49.830002
2013-08-15,48.77
2013-08-16,47.82
2013-08-19,47.939999
2013-08-20,47.869999
2013-08-21,47.669998
2013-08-22,47.759997999999996
2013-08-23,47.700001
2013-08-26,47.610001000000004
2013-08-27,47.349998
2013-08-28,47.299999
2013-08-29,47.73
2013-08-30,48.02
2013-09-03,46.509997999999996
2013-09-04,46.009997999999996
2013-09-05,45.52
2013-09-06,44.799999
2013-09-09,46.84
2013-09-10,47.939999
2013-09-11,46.48
2013-09-12,47.27
2013-09-13,47.709998999999996
2013-09-16,47.48
2013-09-17,48.060001
2013-09-18,47.540001000000004
2013-09-19,47.98
2013-09-20,48.990002000000004
2013-09-23,47.459998999999996
2013-09-24,46.59
2013-09-25,46.290001000000004
2013-09-26,46.610001000000004
2013-09-27,46.560001
2013-09-30,45.82
2013-10-01,45.060001
2013-10-02,46.529999
2013-10-03,46.669998
2013-10-04,47.919998
2013-10-07,47.830002
2013-10-08,46.32
2013-10-09,45.669998
2013-10-10,45.330002
2013-10-11,45.560001
2013-10-14,45.5
2013-10-15,43.93
2013-10-16,43.169998
2013-10-17,43.27
2013-10-18,43.25
2013-10-21,43.950001
2013-10-22,43.369999
2013-10-23,43.919998
2013-10-24,44.700001
2013-10-25,43.849998
2013-10-28,42.720001
2013-10-29,43.5
2013-10-30,43.049999
2013-10-31,42.16
2013-11-01,41.93
2013-11-04,42.439999
2013-11-05,41.529999
2013-11-06,41.810001
2013-11-07,41.290001000000004
2013-11-08,40.990002000000004
2013-11-11,41.869999
2013-11-12,41.279999
2013-11-13,41.450001
2013-11-14,42.200001
2013-11-15,45.709998999999996
2013-11-18,44.450001
2013-11-19,43.91
2013-11-20,43.98
2013-11-21,44.919998
2013-11-22,45.299999
