Date,CBWBF
2010-01-05,21.07
2010-01-06,20.530001000000002
2010-01-07,20.530001000000002
2010-01-08,20.530001000000002
2010-01-11,20.530001000000002
2010-01-12,20.530001000000002
2010-01-13,20.530001000000002
2010-01-14,20.530001000000002
2010-01-15,20.530001000000002
2010-01-19,20.530001000000002
2010-01-20,20.530001000000002
2010-01-21,20.530001000000002
2010-01-22,19.26
2010-01-25,19.26
2010-01-26,19.379998999999998
2010-01-27,19.379998999999998
2010-01-28,19.17
2010-01-29,19.17
2010-02-01,19.17
2010-02-02,19.17
2010-02-03,19.17
2010-02-04,19.17
2010-02-05,19.17
2010-02-08,18.85
2010-02-09,18.85
2010-02-10,18.85
2010-02-11,18.85
2010-02-12,18.85
2010-02-16,19.950001
2010-02-17,19.950001
2010-02-18,19.950001
2010-02-19,19.65
2010-02-22,19.65
2010-02-23,19.65
2010-02-24,19.65
2010-02-25,19.65
2010-02-26,19.65
2010-03-01,19.65
2010-03-02,20.66
2010-03-03,20.66
2010-03-04,20.66
2010-03-05,22.030001000000002
2010-03-08,22.030001000000002
2010-03-09,22.559998999999998
2010-03-10,22.52
2010-03-11,23.0
2010-03-12,23.41
2010-03-15,23.809998999999998
2010-03-16,24.049999
2010-03-17,24.23
2010-03-18,24.23
2010-03-19,23.860001
2010-03-22,23.860001
2010-03-23,23.860001
2010-03-24,23.860001
2010-03-25,23.83
2010-03-26,23.75
2010-03-29,23.709999
2010-03-30,23.82
2010-03-31,23.809998999999998
2010-04-01,23.809998999999998
2010-04-05,24.26
2010-04-06,24.26
2010-04-07,24.26
2010-04-08,24.26
2010-04-09,24.26
2010-04-12,24.68
2010-04-13,24.59
2010-04-14,25.370001000000002
2010-04-15,25.58
2010-04-16,24.780001000000002
2010-04-19,24.629998999999998
2010-04-20,25.17
2010-04-21,25.129998999999998
2010-04-22,25.129998999999998
2010-04-23,24.940001000000002
2010-04-26,24.809998999999998
2010-04-27,24.809998999999998
2010-04-28,24.809998999999998
2010-04-29,24.809998999999998
2010-04-30,24.809998999999998
2010-05-03,23.370001000000002
2010-05-04,22.540001
2010-05-05,22.530001000000002
2010-05-06,21.66
2010-05-07,21.4
2010-05-10,22.91
2010-05-11,22.91
2010-05-12,22.799999
2010-05-13,22.75
2010-05-14,22.75
2010-05-17,22.34
2010-05-18,22.34
2010-05-19,22.34
2010-05-20,22.34
2010-05-21,20.98
2010-05-24,20.98
2010-05-25,19.959999
2010-05-26,19.959999
2010-05-27,21.530001000000002
2010-05-28,21.530001000000002
2010-06-01,21.530001000000002
2010-06-02,21.530001000000002
2010-06-03,22.940001000000002
2010-06-04,22.58
2010-06-07,22.58
2010-06-08,22.58
2010-06-09,22.360001
2010-06-10,22.5
2010-06-11,23.370001000000002
2010-06-14,23.370001000000002
2010-06-15,24.040001
2010-06-16,24.040001
2010-06-17,24.040001
2010-06-18,24.040001
2010-06-21,24.34
2010-06-22,24.34
2010-06-23,24.34
2010-06-24,24.34
2010-06-25,24.34
2010-06-28,24.34
2010-06-29,22.379998999999998
2010-06-30,22.379998999999998
2010-07-01,22.379998999999998
2010-07-02,22.379998999999998
2010-07-06,22.120001000000002
2010-07-07,22.23
2010-07-08,22.23
2010-07-09,22.23
2010-07-12,23.290001
2010-07-13,23.709999
2010-07-14,23.82
2010-07-15,23.82
2010-07-16,23.07
