Date,TMS
2011-01-05,14193.200195
2011-01-06,13512.400391
2011-01-07,14140.900391
2011-01-10,
2011-01-11,14402.700195
2011-01-12,14612.200195
2011-01-13,14664.599609
2011-01-14,13983.700195
2011-01-18,14402.700195
2011-01-19,14402.700195
2011-01-20,14664.599609
2011-01-21,14664.599609
2011-01-24,14821.700195
2011-01-25,14664.599609
2011-01-26,14664.599609
2011-01-27,13931.400391
2011-01-28,14612.200195
2011-01-31,
2011-02-01,
2011-02-02,
2011-02-03,
2011-02-04,
2011-02-07,
2011-02-08,14612.200195
2011-02-09,14140.900391
2011-02-10,14402.700195
2011-02-11,14402.700195
2011-02-14,14402.700195
2011-02-15,14402.700195
2011-02-16,14140.900391
2011-02-17,14402.700195
2011-02-18,13721.900391
2011-02-22,13355.299805
2011-02-23,13983.700195
2011-02-24,14140.900391
2011-02-25,14140.900391
2011-02-28,14140.900391
2011-03-01,13617.099609
2011-03-02,13879.0
2011-03-03,13879.0
2011-03-04,13879.0
2011-03-07,13983.700195
2011-03-08,13931.400391
2011-03-09,13931.400391
2011-03-10,14036.099609
2011-03-11,13879.0
2011-03-14,13617.099609
2011-03-15,13617.099609
2011-03-16,13617.099609
2011-03-17,13512.400391
2011-03-18,13407.599609
2011-03-21,13617.099609
2011-03-22,13617.099609
2011-03-23,13617.099609
2011-03-24,13093.400391
2011-03-25,13093.400391
2011-03-28,13093.400391
2011-03-29,13093.400391
2011-03-30,13617.099609
2011-03-31,13617.099609
2011-04-01,13355.299805
2011-04-04,13564.799805
2011-04-05,13564.799805
2011-04-06,13564.799805
2011-04-07,13564.799805
2011-04-08,13093.400391
2011-04-11,
2011-04-12,
2011-04-13,13093.400391
2011-04-14,13564.799805
2011-04-15,13564.799805
2011-04-18,13302.900391
2011-04-19,12779.200195
2011-04-20,13198.099609
2011-04-21,13198.099609
2011-04-25,12674.400391
2011-04-26,12674.400391
2011-04-27,12831.5
2011-04-28,12936.299805
2011-04-29,13093.400391
2011-05-02,
2011-05-03,
2011-05-04,12988.599609
2011-05-05,12569.700195
2011-05-06,12831.5
2011-05-09,12203.0
2011-05-10,12203.0
2011-05-11,12622.0
2011-05-12,13093.400391
2011-05-13,12517.299805
2011-05-16,12831.5
2011-05-17,13093.400391
2011-05-18,12831.5
2011-05-19,12831.5
2011-05-20,12203.0
2011-05-23,12203.0
2011-05-24,11626.900391
2011-05-25,11050.799805
2011-05-26,10998.5
2011-05-27,10998.5
2011-05-31,10474.700195
2011-06-01,10474.700195
2011-06-02,10998.5
2011-06-03,10998.5
2011-06-06,10474.700195
2011-06-07,10998.5
2011-06-08,11522.200195
2011-06-09,10946.099609
2011-06-10,11207.900391
2011-06-13,11522.200195
2011-06-14,11731.700195
2011-06-15,11155.599609
2011-06-16,10789.0
2011-06-17,11155.599609
2011-06-20,11155.599609
2011-06-21,11155.599609
2011-06-22,11155.599609
2011-06-23,10631.799805
2011-06-24,10998.5
2011-06-27,10998.5
2011-06-28,11260.299805
2011-06-29,11522.200195
2011-06-30,12098.299805
2011-07-01,
2011-07-05,12569.700195
2011-07-06,12988.599609
2011-07-07,12360.200195
2011-07-08,11784.099609
2011-07-11,12045.900391
2011-07-12,11469.799805
2011-07-13,11522.200195
2011-07-14,11522.200195
2011-07-15,11469.799805
2011-07-18,11469.799805
2011-07-19,10946.099609
2011-07-20,11469.799805
2011-07-21,10946.099609
2011-07-22,11469.799805
2011-07-25,11469.799805
2011-07-26,11469.799805
2011-07-27,11522.200195
2011-07-28,10946.099609
2011-07-29,10474.700195
2011-08-01,10474.700195
2011-08-02,10998.5
2011-08-03,10998.5
2011-08-04,11522.200195
2011-08-05,
2011-08-08,
2011-08-09,10946.099609
2011-08-10,10422.299805
2011-08-11,10789.0
2011-08-12,10998.5
2011-08-15,11260.299805
2011-08-16,11522.200195
2011-08-17,11522.200195
2011-08-18,11522.200195
2011-08-19,11522.200195
2011-08-22,12045.900391
2011-08-23,
2011-08-24,11469.799805
2011-08-25,11469.799805
2011-08-26,10946.099609
2011-08-29,11417.400391
2011-08-30,11784.099609
2011-08-31,12045.900391
2011-09-01,11836.400391
2011-09-02,
2011-09-06,12307.799805
2011-09-07,11731.700195
2011-09-08,11155.599609
2011-09-09,11155.599609
2011-09-12,
2011-09-13,11260.299805
2011-09-14,10998.5
2011-09-15,10474.700195
2011-09-16,10474.700195
2011-09-19,10055.700195
2011-09-20,10527.099609
2011-09-21,10998.5
2011-09-22,11260.299805
2011-09-23,11469.799805
2011-09-26,10946.099609
2011-09-27,10422.299805
2011-09-28,9950.980469
2011-09-29,10317.599609
2011-09-30,9950.980469
2011-10-03,9479.620117
2011-10-04,9950.980469
2011-10-05,9531.990234
2011-10-06,10003.400391
2011-10-07,
2011-10-10,10055.700195
2011-10-11,9584.370117
2011-10-12,9584.370117
2011-10-13,9950.980469
2011-10-14,9479.620117
2011-10-17,9479.620117
2011-10-18,9165.379883
2011-10-19,9165.379883
2011-10-20,
2011-10-21,8746.389648
2011-10-24,8903.509766
2011-10-25,9322.5
2011-10-26,8903.509766
2011-10-27,8694.019531
2011-10-28,9113.0
2011-10-31,9427.25
2011-11-01,8955.879883
2011-11-02,9374.870117
2011-11-03,9793.860352
2011-11-04,10055.700195
2011-11-07,10474.700195
2011-11-08,9950.980469
2011-11-09,10422.299805
2011-11-10,9950.980469
2011-11-11,9479.620117
2011-11-14,9060.629883
2011-11-15,9479.620117
2011-11-16,9479.620117
2011-11-17,9479.620117
2011-11-18,9165.379883
2011-11-21,9584.370117
2011-11-22,9165.379883
2011-11-23,10003.400391
2011-11-25,9531.990234
2011-11-28,9060.629883
2011-11-29,8641.639648
2011-11-30,8222.650391
2011-12-01,7856.040039
2011-12-02,8222.650391
2011-12-05,8589.269531
2011-12-06,8170.279785
2011-12-07,7856.040039
2011-12-08,8222.650391
2011-12-09,8589.269531
2011-12-12,8851.139648
2011-12-13,9270.120117
2011-12-14,9689.110352
2011-12-15,10160.5
2011-12-16,10631.799805
2011-12-19,11155.599609
2011-12-20,11679.299805
2011-12-21,12045.900391
2011-12-22,12307.799805
2011-12-23,12831.5
2011-12-27,13617.099609
2011-12-28,13879.0
2011-12-29,14298.0
2011-12-30,14140.900391
2012-01-03,13460.0
2012-01-04,13407.599609
2012-01-05,12779.200195
2012-01-06,12150.700195
2012-01-09,11574.599609
2012-01-10,10998.5
2012-01-11,10474.700195
2012-01-12,10998.5
2012-01-13,10474.700195
2012-01-17,10422.299805
2012-01-18,9950.980469
2012-01-19,10422.299805
2012-01-20,10893.700195
2012-01-23,
2012-01-24,
2012-01-25,
2012-01-26,
2012-01-27,
2012-01-30,11417.400391
2012-01-31,11941.200195
2012-02-01,12517.299805
2012-02-02,12307.799805
2012-02-03,12307.799805
2012-02-06,12883.900391
2012-02-07,13407.599609
2012-02-08,13407.599609
2012-02-09,13983.700195
2012-02-10,13617.099609
2012-02-13,14245.599609
2012-02-14,14559.900391
2012-02-15,14978.799805
2012-02-16,14664.599609
2012-02-17,14926.5
2012-02-21,15188.299805
2012-02-22,15450.200195
2012-02-23,15450.200195
2012-02-24,15397.799805
2012-02-27,15397.799805
2012-02-28,14717.0
2012-02-29,14664.599609
2012-03-01,14664.599609
2012-03-02,14664.599609
2012-03-05,15345.5
2012-03-06,14664.599609
2012-03-07,13931.400391
2012-03-08,13355.299805
2012-03-09,13512.400391
2012-03-12,13512.400391
2012-03-13,13512.400391
2012-03-14,13512.400391
2012-03-15,13512.400391
2012-03-16,12883.900391
2012-03-19,12255.400391
2012-03-20,11679.299805
2012-03-21,12255.400391
2012-03-22,12569.700195
2012-03-23,13093.400391
2012-03-26,13617.099609
2012-03-27,14140.900391
2012-03-28,14140.900391
2012-03-29,14140.900391
2012-03-30,14140.900391
2012-04-02,
2012-04-03,13460.0
2012-04-04,13198.099609
2012-04-05,13826.599609
2012-04-09,13617.099609
2012-04-10,13460.0
2012-04-11,13617.099609
2012-04-12,13617.099609
2012-04-13,13617.099609
2012-04-16,13617.099609
2012-04-17,13617.099609
2012-04-18,13617.099609
2012-04-19,13617.099609
2012-04-20,13617.099609
2012-04-23,14140.900391
2012-04-24,13460.0
2012-04-25,13460.0
2012-04-26,13093.400391
2012-04-27,13093.400391
2012-04-30,
2012-05-01,
2012-05-02,13093.400391
2012-05-03,13093.400391
2012-05-04,13355.299805
2012-05-07,13302.900391
2012-05-08,13302.900391
2012-05-09,13617.099609
2012-05-10,14140.900391
2012-05-11,14455.099609
2012-05-14,13774.299805
2012-05-15,13617.099609
2012-05-16,14140.900391
2012-05-17,14140.900391
2012-05-18,14140.900391
2012-05-21,14140.900391
2012-05-22,14140.900391
2012-05-23,14140.900391
2012-05-24,14140.900391
2012-05-25,14140.900391
2012-05-29,14847.900391
2012-05-30,14847.900391
2012-05-31,14847.900391
2012-06-01,14792.900391
2012-06-04,14792.900391
2012-06-05,14792.900391
2012-06-06,14792.900391
2012-06-07,14792.900391
2012-06-08,14573.0
2012-06-11,14737.900391
2012-06-12,14737.900391
2012-06-13,14737.900391
2012-06-14,14737.900391
2012-06-15,14737.900391
2012-06-18,15397.799805
2012-06-19,15397.799805
2012-06-20,14847.900391
2012-06-21,14847.900391
2012-06-22,14847.900391
2012-06-25,15122.900391
2012-06-26,15122.900391
2012-06-27,15122.900391
2012-06-28,15122.900391
2012-06-29,15122.900391
2012-07-02,15122.900391
2012-07-03,15122.900391
2012-07-05,15122.900391
2012-07-06,15122.900391
2012-07-09,15122.900391
2012-07-10,15122.900391
2012-07-11,15122.900391
2012-07-12,15122.900391
2012-07-13,14957.900391
2012-07-16,15122.900391
2012-07-17,14573.0
2012-07-18,14573.0
2012-07-19,14573.0
2012-07-20,14573.0
2012-07-23,14573.0
2012-07-24,14847.900391
2012-07-25,14847.900391
2012-07-26,14847.900391
2012-07-27,14847.900391
2012-07-30,14847.900391
2012-07-31,14847.900391
2012-08-01,14627.900391
2012-08-02,14627.900391
2012-08-03,14792.900391
2012-08-06,14627.900391
2012-08-07,14627.900391
2012-08-08,14627.900391
2012-08-09,14792.900391
2012-08-10,14792.900391
2012-08-13,14847.900391
2012-08-14,14847.900391
2012-08-15,14133.0
2012-08-16,13473.099609
2012-08-17,14133.0
2012-08-20,14133.0
2012-08-21,14298.0
2012-08-22,14518.0
2012-08-23,14518.0
2012-08-24,14847.900391
2012-08-27,14847.900391
2012-08-28,14847.900391
2012-08-29,14847.900391
2012-08-30,14847.900391
2012-08-31,14847.900391
2012-09-04,14847.900391
2012-09-05,14298.0
2012-09-06,14847.900391
2012-09-07,14847.900391
2012-09-10,14133.0
2012-09-11,13473.099609
2012-09-12,13913.0
2012-09-13,13253.099609
2012-09-14,12593.200195
2012-09-17,12153.299805
2012-09-18,12153.299805
2012-09-19,12153.299805
2012-09-20,12153.299805
2012-09-21,12648.200195
2012-09-24,12648.200195
2012-09-25,12648.200195
2012-09-26,12043.299805
2012-09-27,11493.400391
2012-09-28,11493.400391
2012-10-01,12043.299805
2012-10-02,12043.299805
2012-10-03,12043.299805
2012-10-04,12208.299805
2012-10-05,12208.299805
2012-10-08,12208.299805
2012-10-09,12208.299805
2012-10-10,11603.400391
2012-10-11,11548.400391
2012-10-12,11548.400391
2012-10-15,11548.400391
2012-10-16,11548.400391
2012-10-17,10998.5
2012-10-18,11548.400391
2012-10-19,11658.400391
2012-10-22,11658.400391
2012-10-23,11108.400391
2012-10-24,11108.400391
2012-10-25,11658.400391
2012-10-26,11108.400391
2012-10-31,11603.400391
2012-11-01,11603.400391
2012-11-02,11548.400391
2012-11-05,11548.400391
2012-11-06,10998.5
2012-11-07,10448.5
2012-11-08,9953.599609
2012-11-09,10448.5
2012-11-12,10448.5
2012-11-13,10943.5
2012-11-14,10943.5
2012-11-15,10943.5
2012-11-16,10448.5
2012-11-19,9953.599609
2012-11-20,9953.599609
2012-11-21,9953.599609
2012-11-23,10723.5
2012-11-26,10723.5
2012-11-27,10723.5
2012-11-28,10723.5
2012-11-29,10723.5
2012-11-30,10613.5
2012-12-03,10613.5
2012-12-04,10613.5
2012-12-05,10613.5
