Date,SAVE
2011-05-26,11.55
2011-05-27,11.48
2011-05-31,11.8
2011-06-01,11.59
2011-06-02,11.9
2011-06-03,11.96
2011-06-06,11.99
2011-06-07,12.02
2011-06-08,12.09
2011-06-09,12.17
2011-06-10,12.04
2011-06-13,12.03
2011-06-14,12.0
2011-06-15,12.0
2011-06-16,11.89
2011-06-17,11.9
2011-06-20,12.0
2011-06-21,12.05
2011-06-22,12.03
2011-06-23,12.05
2011-06-24,12.0
2011-06-27,12.0
2011-06-28,12.3
2011-06-29,12.26
2011-06-30,11.99
2011-07-01,12.4
2011-07-05,12.15
2011-07-06,13.17
2011-07-07,12.9
2011-07-08,13.71
2011-07-11,13.41
2011-07-12,13.54
2011-07-13,14.09
2011-07-14,14.29
2011-07-15,14.23
2011-07-18,13.66
2011-07-19,14.0
2011-07-20,13.39
2011-07-21,13.8
2011-07-22,13.52
2011-07-25,13.14
2011-07-26,12.77
2011-07-27,12.64
2011-07-28,13.24
2011-07-29,13.1
2011-08-01,13.03
2011-08-02,12.94
2011-08-03,13.24
2011-08-04,12.61
2011-08-05,12.61
2011-08-08,11.31
2011-08-09,11.61
2011-08-10,10.98
2011-08-11,11.92
2011-08-12,11.62
2011-08-15,12.09
2011-08-16,12.13
2011-08-17,12.11
2011-08-18,11.01
2011-08-19,10.55
2011-08-22,10.44
2011-08-23,11.64
2011-08-24,11.91
2011-08-25,11.57
2011-08-26,12.14
2011-08-29,12.44
2011-08-30,12.07
2011-08-31,12.08
2011-09-01,11.95
2011-09-02,11.74
2011-09-06,11.67
2011-09-07,11.88
2011-09-08,11.49
2011-09-09,11.37
2011-09-12,11.16
2011-09-13,11.46
2011-09-14,12.41
2011-09-15,12.77
2011-09-16,12.77
2011-09-19,12.55
2011-09-20,11.95
2011-09-21,11.57
2011-09-22,11.24
2011-09-23,11.63
2011-09-26,11.88
2011-09-27,12.2
2011-09-28,12.13
2011-09-29,12.73
2011-09-30,12.5
2011-10-03,11.7
2011-10-04,12.43
2011-10-05,12.73
2011-10-06,13.14
2011-10-07,13.1
2011-10-10,13.43
2011-10-11,13.71
2011-10-12,14.52
