Date,AFSI
2012-06-18,12.2603
2012-06-19,12.5289
2012-06-20,12.4669
2012-06-21,12.3471
2012-06-22,11.9669
2012-06-25,11.7975
2012-06-26,11.8843
2012-06-27,12.0579
2012-06-28,12.0868
2012-06-29,12.2769
2012-07-02,12.2893
2012-07-03,12.4504
2012-07-05,12.2727
2012-07-06,12.2727
2012-07-09,12.2769
2012-07-10,12.2645
2012-07-11,12.3595
2012-07-12,12.4339
2012-07-13,12.595
2012-07-16,12.3926
2012-07-17,12.3967
2012-07-18,12.4463
2012-07-19,12.3388
2012-07-20,12.1901
2012-07-23,12.0372
2012-07-24,12.0702
2012-07-25,12.2149
2012-07-26,12.314
2012-07-27,12.4587
2012-07-30,12.4215
2012-07-31,12.3099
2012-08-01,12.0083
2012-08-02,12.0537
2012-08-03,12.2025
2012-08-06,12.343
2012-08-07,12.1033
2012-08-08,12.0289
2012-08-09,12.0041
2012-08-10,12.0744
2012-08-13,12.0331
2012-08-14,11.9174
2012-08-15,12.0702
2012-08-16,12.3017
2012-08-17,12.2397
2012-08-20,12.2397
2012-08-21,12.0702
2012-08-22,11.9545
2012-08-23,11.8967
2012-08-24,11.8182
2012-08-27,11.9298
2012-08-28,11.8719
2012-08-29,11.9008
2012-08-30,11.8409
2012-08-31,11.85
2012-09-04,11.8886
2012-09-05,11.8955
2012-09-06,12.1136
2012-09-07,12.2818
2012-09-10,12.2591
2012-09-11,12.2591
2012-09-12,12.2045
2012-09-13,12.2227
2012-09-14,12.2409
2012-09-17,12.0682
2012-09-18,12.0318
2012-09-19,11.8864
2012-09-20,11.8
2012-09-21,11.75
2012-09-24,11.7545
2012-09-25,11.5727
2012-09-26,11.4682
2012-09-27,11.6182
2012-09-28,11.6455
2012-10-01,11.4909
2012-10-02,11.4591
2012-10-03,11.5045
2012-10-04,11.6
2012-10-05,11.7409
2012-10-08,11.45
2012-10-09,11.2773
2012-10-10,11.2045
2012-10-11,11.1773
2012-10-12,11.1773
2012-10-15,11.1591
2012-10-16,11.1864
2012-10-17,11.4909
2012-10-18,11.4409
2012-10-19,11.2045
2012-10-22,11.1727
2012-10-23,11.1591
2012-10-24,11.0773
2012-10-25,11.1773
2012-10-26,11.1227
2012-10-31,11.0
2012-11-01,10.9682
2012-11-02,10.9364
2012-11-05,10.9591
2012-11-06,12.5136
2012-11-07,12.1318
2012-11-08,12.0545
2012-11-09,12.0909
2012-11-12,12.1591
2012-11-13,12.0818
2012-11-14,12.0273
2012-11-15,11.9636
2012-11-16,12.1997
2012-11-19,12.3855
2012-11-20,12.5636
2012-11-21,12.6909
2012-11-23,12.6727
2012-11-26,12.8727
2012-11-27,12.6818
2012-11-28,12.8273
2012-11-29,12.8318
2012-11-30,13.1
2012-12-03,13.0364
2012-12-04,12.9182
2012-12-05,13.1591
2012-12-06,13.0682
2012-12-07,12.9
2012-12-10,12.7818
2012-12-11,12.8773
2012-12-12,12.8727
2012-12-13,12.9455
2012-12-14,12.8727
2012-12-17,13.0909
2012-12-18,12.9318
2012-12-19,12.8
2012-12-20,13.0591
2012-12-21,13.0273
2012-12-24,13.0545
2012-12-26,13.0136
2012-12-27,12.9636
2012-12-28,12.841
2012-12-31,13.0409
2013-01-02,13.3955
2013-01-03,13.3545
2013-01-04,13.6409
2013-01-07,13.6364
2013-01-08,13.7182
2013-01-09,13.8045
2013-01-10,13.9727
2013-01-11,14.0955
2013-01-14,14.2364
2013-01-15,14.3409
2013-01-16,14.3
2013-01-17,14.3545
2013-01-18,14.4591
2013-01-22,14.8818
2013-01-23,15.1136
2013-01-24,15.0636
2013-01-25,15.1636
2013-01-28,15.1273
2013-01-29,15.15
2013-01-30,15.0818
2013-01-31,15.1091
2013-02-01,15.3818
2013-02-04,15.3091
2013-02-05,15.5
2013-02-06,15.7545
2013-02-07,15.7409
2013-02-08,15.7409
2013-02-11,15.6318
2013-02-12,15.6227
2013-02-13,15.8
2013-02-14,15.4318
2013-02-15,15.0136
2013-02-19,15.5182
2013-02-20,15.3091
2013-02-21,15.2
2013-02-22,15.2091
2013-02-25,14.8455
2013-02-26,14.9136
2013-02-27,15.1773
2013-02-28,15.1136
2013-03-01,15.3818
2013-03-04,15.5045
2013-03-05,15.7909
2013-03-06,15.7955
2013-03-07,16.0455
2013-03-08,16.254499
2013-03-11,15.9636
2013-03-12,15.7727
2013-03-13,16.040899
2013-03-14,16.3727
2013-03-15,16.1
2013-03-18,15.9591
2013-03-19,16.049999
2013-03-20,15.9864
2013-03-21,15.9409
2013-03-22,15.95
2013-03-25,15.8227
2013-03-26,15.8091
2013-03-27,15.6955
2013-03-28,15.75
2013-04-01,15.5682
2013-04-02,15.6136
2013-04-03,15.5273
2013-04-04,15.6273
2013-04-05,15.5136
2013-04-08,15.6455
2013-04-09,15.55
2013-04-10,15.6636
2013-04-11,15.5636
2013-04-12,15.6091
2013-04-15,15.15
2013-04-16,15.3
2013-04-17,14.9955
2013-04-18,14.75
2013-04-19,14.8591
2013-04-22,14.2227
2013-04-23,14.2273
2013-04-24,14.4273
2013-04-25,14.0818
2013-04-26,14.3545
2013-04-29,14.3409
2013-04-30,14.3909
2013-05-01,14.5955
2013-05-02,14.9545
2013-05-03,15.1045
2013-05-06,15.2273
2013-05-07,15.1364
2013-05-08,15.0227
2013-05-09,14.6818
2013-05-10,14.7273
2013-05-13,14.5136
