Date,MRK
1971-01-21,1.361111
1971-01-22,1.368056
1971-01-25,1.357639
1971-01-26,1.357639
1971-01-27,1.336806
1971-01-28,1.333333
1971-01-29,1.322917
1971-02-01,1.319444
1971-02-02,1.340278
1971-02-03,1.333333
1971-02-04,1.350694
1971-02-05,1.357639
1971-02-08,1.354167
1971-02-09,1.361111
1971-02-10,1.390625
1971-02-11,1.388889
1971-02-12,1.375
1971-02-16,1.361111
1971-02-17,1.364583
1971-02-18,1.366319
1971-02-19,1.348958
1971-02-22,1.324653
1971-02-23,1.336806
1971-02-24,1.322917
1971-02-25,1.336806
1971-02-26,1.336806
1971-03-01,1.338542
1971-03-02,1.326389
1971-03-03,1.322917
1971-03-04,1.329861
1971-03-05,1.326389
1971-03-08,1.324653
1971-03-09,1.319444
1971-03-10,1.319444
1971-03-11,1.322917
1971-03-12,1.331597
1971-03-15,1.354167
1971-03-16,1.375
1971-03-17,1.378472
1971-03-18,1.385417
1971-03-19,1.380208
1971-03-22,1.390625
1971-03-23,1.388889
1971-03-24,1.378472
1971-03-25,1.373264
1971-03-26,1.361111
1971-03-29,1.369792
1971-03-30,1.402778
1971-03-31,1.390625
1971-04-01,1.397569
1971-04-02,1.409722
1971-04-05,1.402778
1971-04-06,1.40625
1971-04-07,1.394097
1971-04-08,1.378472
1971-04-12,1.388889
1971-04-13,1.401042
1971-04-14,1.420139
1971-04-15,1.399306
1971-04-16,1.407986
1971-04-19,1.416667
1971-04-20,1.397569
1971-04-21,1.399306
1971-04-22,1.397569
1971-04-23,1.387153
1971-04-26,1.381944
1971-04-27,1.409722
1971-04-28,1.409722
1971-04-29,1.430556
1971-04-30,1.440972
1971-05-03,1.46875
1971-05-04,1.496528
1971-05-05,1.496528
1971-05-06,1.526042
1971-05-07,1.517361
1971-05-10,1.517361
1971-05-11,1.527778
1971-05-12,1.53125
1971-05-13,1.519097
1971-05-14,1.510417
1971-05-17,1.479167
1971-05-18,1.472222
1971-05-19,1.489583
1971-05-20,1.486111
1971-05-21,1.475694
1971-05-24,1.461806
1971-05-25,1.444444
1971-05-26,1.440972
1971-05-27,1.439236
1971-05-28,1.444444
1971-06-01,1.440972
1971-06-02,1.451389
1971-06-03,1.467014
1971-06-04,1.461806
1971-06-07,1.465278
1971-06-08,1.454861
1971-06-09,1.447917
1971-06-10,1.440972
1971-06-11,1.434028
1971-06-14,1.430556
1971-06-15,1.430556
1971-06-16,1.427083
1971-06-17,1.420139
1971-06-18,1.402778
1971-06-21,1.402778
1971-06-22,1.402778
1971-06-23,1.423611
1971-06-24,1.399306
1971-06-25,1.407986
1971-06-28,1.385417
1971-06-29,1.399306
1971-06-30,1.414931
1971-07-01,1.40625
1971-07-02,1.388889
1971-07-06,1.380208
1971-07-07,1.409722
1971-07-08,1.409722
1971-07-09,1.413194
1971-07-12,1.411458
1971-07-13,1.416667
1971-07-14,1.416667
1971-07-15,1.421875
1971-07-16,1.428819
1971-07-19,1.425347
1971-07-20,1.439236
1971-07-21,1.458333
1971-07-22,1.451389
1971-07-23,1.456597
1971-07-26,1.460069
1971-07-27,1.451389
1971-07-28,1.451389
1971-07-29,1.444444
1971-07-30,1.427083
1971-08-02,1.444444
1971-08-03,1.409722
1971-08-04,1.409722
1971-08-05,1.421875
1971-08-06,1.402778
1971-08-09,1.395833
1971-08-10,1.407986
1971-08-11,1.395833
1971-08-12,1.401042
1971-08-13,1.385417
1971-08-16,1.423611
1971-08-17,1.427083
1971-08-18,1.440972
1971-08-19,1.4375
1971-08-20,1.456597
1971-08-23,1.5
1971-08-24,1.496528
1971-08-25,1.517361
1971-08-26,1.524306
1971-08-27,1.527778
1971-08-30,1.512153
1971-08-31,1.487847
1971-09-01,1.513889
1971-09-02,1.526042
1971-09-03,1.583333
1971-09-07,1.5625
1971-09-08,1.548611
1971-09-09,1.541667
1971-09-10,1.527778
1971-09-13,1.515625
1971-09-14,1.506944
1971-09-15,1.524306
1971-09-16,1.541667
1971-09-17,1.5625
1971-09-20,1.5625
1971-09-21,1.564236
1971-09-22,1.548611
1971-09-23,1.552083
1971-09-24,1.553819
1971-09-27,1.532986
1971-09-28,1.545139
1971-09-29,1.541667
1971-09-30,1.559028
1971-10-01,1.555556
1971-10-04,1.555556
1971-10-05,1.560764
1971-10-06,1.586806
1971-10-07,1.59375
1971-10-08,1.602431
1971-10-11,1.600694
1971-10-12,1.600694
1971-10-13,1.621528
1971-10-14,1.619792
1971-10-15,1.604167
1971-10-18,1.5625
1971-10-19,1.583333
1971-10-20,1.541667
1971-10-21,1.545139
1971-10-22,1.541667
1971-10-25,1.541667
1971-10-26,1.527778
1971-10-27,1.534722
1971-10-28,1.559028
1971-10-29,1.595486
1971-11-01,1.572917
1971-11-02,1.569444
1971-11-03,1.588542
1971-11-04,1.590278
1971-11-05,1.604167
1971-11-08,1.602431
1971-11-09,1.623264
1971-11-10,1.638889
1971-11-11,1.579861
1971-11-12,1.548611
1971-11-15,1.560764
1971-11-16,1.552083
1971-11-17,1.590278
1971-11-18,1.600694
1971-11-19,1.600694
1971-11-22,1.5625
1971-11-23,1.545139
1971-11-24,1.541667
1971-11-26,1.579861
1971-11-29,1.611111
1971-11-30,1.637153
1971-12-01,1.640625
1971-12-02,1.6649310000000002
1971-12-03,1.6805560000000002
1971-12-06,1.6875
1971-12-07,1.689236
1971-12-08,1.704861
1971-12-09,1.6805560000000002
1971-12-10,1.692708
1971-12-13,1.6875
1971-12-14,1.6909720000000001
1971-12-15,1.708333
1971-12-16,1.7118060000000002
1971-12-17,1.760417
1971-12-20,1.8159720000000001
1971-12-21,1.8055560000000002
1971-12-22,1.770833
1971-12-23,1.7430560000000002
1971-12-27,1.729167
1971-12-28,1.7222220000000001
1971-12-29,1.701389
1971-12-30,1.7118060000000002
1971-12-31,1.7222220000000001
1972-01-03,1.739583
1972-01-04,1.7777779999999999
1972-01-05,1.798611
1972-01-06,1.7934029999999999
1972-01-07,1.795139
1972-01-10,1.786458
1972-01-11,1.802083
1972-01-12,1.791667
1972-01-13,1.770833
1972-01-14,1.776042
1972-01-17,1.7847220000000001
1972-01-18,1.791667
1972-01-19,1.7777779999999999
1972-01-20,1.7430560000000002
1972-01-21,1.7430560000000002
1972-01-24,1.7430560000000002
1972-01-25,1.7743060000000002
1972-01-26,1.770833
1972-01-27,1.798611
1972-01-28,1.8090279999999999
1972-01-31,1.8055560000000002
1972-02-01,1.810764
1972-02-02,1.861111
1972-02-03,1.8993060000000002
1972-02-04,1.90625
1972-02-07,1.864583
1972-02-08,1.8680560000000002
1972-02-09,1.895833
1972-02-10,1.8784720000000001
1972-02-11,1.8784720000000001
1972-02-14,1.861111
1972-02-15,1.875
1972-02-16,1.8715279999999999
1972-02-17,1.888889
1972-02-18,1.8836810000000002
1972-02-22,1.8506939999999998
1972-02-23,1.854167
1972-02-24,1.8819439999999998
1972-02-25,1.873264
1972-02-28,1.833333
1972-02-29,1.854167
1972-03-01,1.8628470000000001
1972-03-02,1.869792
1972-03-03,1.888889
1972-03-06,1.907986
1972-03-07,1.916667
1972-03-08,1.911458
1972-03-09,1.904514
1972-03-10,1.9027779999999999
1972-03-13,1.892361
1972-03-14,1.907986
1972-03-15,1.90625
1972-03-16,1.901042
1972-03-17,1.9131939999999998
1972-03-20,1.9305560000000002
1972-03-21,1.9340279999999999
1972-03-22,1.951389
1972-03-23,1.9444439999999998
1972-03-24,1.9305560000000002
1972-03-27,1.947917
1972-03-28,1.951389
1972-03-29,1.9340279999999999
1972-03-30,1.9288189999999998
1972-04-03,1.9444439999999998
1972-04-04,1.947917
1972-04-05,1.986111
1972-04-06,2.010417
1972-04-07,2.013889
1972-04-10,2.006944
1972-04-11,2.017361
1972-04-12,2.027778
1972-04-13,2.052083
1972-04-14,2.043403
1972-04-17,2.052083
1972-04-18,2.069444
1972-04-19,2.039931
1972-04-20,2.027778
1972-04-21,2.048611
1972-04-24,2.036458
1972-04-25,2.020833
1972-04-26,2.006944
1972-04-27,2.013889
1972-04-28,2.017361
1972-05-01,1.958333
1972-05-02,1.96875
1972-05-03,1.9375
1972-05-04,1.9288189999999998
1972-05-05,1.958333
1972-05-08,1.9444439999999998
1972-05-09,1.916667
1972-05-10,1.9340279999999999
1972-05-11,1.9340279999999999
1972-05-12,1.923611
1972-05-15,1.9305560000000002
1972-05-16,1.923611
1972-05-17,1.935764
1972-05-18,1.958333
1972-05-19,2.020833
1972-05-22,2.034722
1972-05-23,2.027778
1972-05-24,2.048611
1972-05-25,2.045139
1972-05-26,2.034722
1972-05-30,2.048611
1972-05-31,2.03125
1972-06-01,2.034722
1972-06-02,2.0
1972-06-05,1.989583
1972-06-06,1.9652779999999999
1972-06-07,1.96875
1972-06-08,1.982639
1972-06-09,1.9756939999999998
1972-06-12,1.951389
1972-06-13,1.9444439999999998
1972-06-14,1.954861
1972-06-15,1.9722220000000001
1972-06-16,1.9618060000000002
1972-06-19,1.954861
1972-06-20,1.9965279999999999
1972-06-21,2.038194
1972-06-22,2.027778
1972-06-23,2.034722
1972-06-26,2.055556
1972-06-27,2.069444
1972-06-28,2.128472
1972-06-29,2.166667
1972-06-30,2.159722
1972-07-03,2.152778
1972-07-05,2.236111
1972-07-06,2.267361
1972-07-07,2.305556
1972-07-10,2.270833
1972-07-11,2.236111
1972-07-12,2.215278
1972-07-13,2.145833
1972-07-14,2.1875
1972-07-17,2.159722
1972-07-18,2.166667
1972-07-19,2.152778
1972-07-20,2.142361
1972-07-21,2.149306
1972-07-24,2.15625
1972-07-25,2.194444
1972-07-26,2.28125
1972-07-27,2.295139
1972-07-28,2.333333
1972-07-31,2.347222
1972-08-01,2.34375
1972-08-02,2.34375
1972-08-03,2.375
1972-08-04,2.423611
1972-08-07,2.395833
1972-08-08,2.354167
1972-08-09,2.354167
1972-08-10,2.340278
1972-08-11,2.333333
1972-08-14,2.354167
1972-08-15,2.361111
1972-08-16,2.340278
1972-08-17,2.319444
1972-08-18,2.319444
1972-08-21,2.270833
1972-08-22,2.263889
1972-08-23,2.277778
1972-08-24,2.28125
1972-08-25,2.232639
1972-08-28,2.159722
1972-08-29,2.180556
1972-08-30,2.222222
1972-08-31,2.270833
1972-09-01,2.267361
1972-09-05,2.277778
1972-09-06,2.270833
1972-09-07,2.288194
1972-09-08,2.305556
1972-09-11,2.267361
1972-09-12,2.246528
1972-09-13,2.25
1972-09-14,2.263889
1972-09-15,2.243056
1972-09-18,2.263889
1972-09-19,2.256944
1972-09-20,2.25
1972-09-21,2.246528
1972-09-22,2.243056
1972-09-25,2.222222
1972-09-26,2.222222
1972-09-27,2.229167
1972-09-28,2.253472
1972-09-29,2.277778
1972-10-02,2.243056
1972-10-03,2.277778
1972-10-04,2.298611
1972-10-05,2.236111
1972-10-06,2.284722
1972-10-09,2.25
1972-10-10,2.256944
1972-10-11,2.246528
1972-10-12,2.270833
1972-10-13,2.263889
1972-10-16,2.25
1972-10-17,2.256944
1972-10-18,2.267361
1972-10-19,2.256944
1972-10-20,2.28125
1972-10-23,2.270833
1972-10-24,2.298611
1972-10-25,2.295139
1972-10-26,2.302083
1972-10-27,2.298611
1972-10-30,2.3125
1972-10-31,2.375
1972-11-01,2.416667
1972-11-02,2.458333
1972-11-03,2.486111
1972-11-06,2.447917
1972-11-08,2.440972
1972-11-09,2.454861
1972-11-10,2.430556
1972-11-13,2.388889
1972-11-14,2.378472
1972-11-15,2.416667
1972-11-16,2.388889
1972-11-17,2.388889
1972-11-20,2.375
1972-11-21,2.375
1972-11-22,2.388889
1972-11-24,2.385417
1972-11-27,2.354167
1972-11-28,2.354167
1972-11-29,2.347222
1972-11-30,2.357639
1972-12-01,2.402778
1972-12-04,2.423611
1972-12-05,2.427083
1972-12-06,2.447917
1972-12-07,2.472222
1972-12-08,2.479167
1972-12-11,2.444444
1972-12-12,2.451389
1972-12-13,2.475694
1972-12-14,2.479167
1972-12-15,2.479167
1972-12-18,2.479167
1972-12-19,2.482639
1972-12-20,2.472222
1972-12-21,2.423611
1972-12-22,2.4375
1972-12-26,2.458333
1972-12-27,2.461806
1972-12-29,2.475694
1973-01-02,2.513889
1973-01-03,2.541667
1973-01-04,2.555556
1973-01-05,2.597222
1973-01-08,2.625
1973-01-09,2.628472
1973-01-10,2.6875
1973-01-11,2.732639
1973-01-12,2.6875
1973-01-15,2.638889
1973-01-16,2.631944
1973-01-17,2.65625
1973-01-18,2.666667
1973-01-19,2.694444
1973-01-22,2.715278
1973-01-23,2.680556
1973-01-24,2.638889
1973-01-26,2.652778
1973-01-29,2.600694
1973-01-30,2.621528
1973-01-31,2.611111
1973-02-01,2.555556
1973-02-02,2.5
1973-02-05,2.548611
1973-02-06,2.569444
1973-02-07,2.586806
1973-02-08,2.579861
1973-02-09,2.631944
1973-02-12,2.65625
1973-02-13,2.711806
1973-02-14,2.680556
1973-02-15,2.6875
1973-02-16,2.680556
1973-02-20,2.71875
1973-02-21,2.6875
1973-02-22,2.694444
1973-02-23,2.680556
1973-02-26,2.621528
1973-02-27,2.611111
1973-02-28,2.569444
1973-03-01,2.520833
1973-03-02,2.569444
1973-03-05,2.579861
1973-03-06,2.694444
1973-03-07,2.708333
1973-03-08,2.701389
1973-03-09,2.722222
1973-03-12,2.743056
1973-03-13,2.791667
1973-03-14,2.763889
1973-03-15,2.743056
1973-03-16,2.732639
1973-03-19,2.701389
1973-03-20,2.645833
1973-03-21,2.559028
1973-03-22,2.534722
1973-03-23,2.597222
1973-03-26,2.611111
1973-03-27,2.663194
1973-03-28,2.6875
1973-03-29,2.708333
1973-03-30,2.65625
1973-04-02,2.5625
1973-04-03,2.548611
1973-04-04,2.583333
1973-04-05,2.583333
1973-04-06,2.607639
1973-04-09,2.625
1973-04-10,2.690972
1973-04-11,2.677083
1973-04-12,2.625
1973-04-13,2.631944
1973-04-16,2.597222
1973-04-17,2.611111
1973-04-18,2.663194
1973-04-19,2.6875
1973-04-23,2.708333
1973-04-24,2.638889
1973-04-25,2.583333
1973-04-26,2.559028
1973-04-27,2.451389
1973-04-30,2.451389
1973-05-01,2.458333
1973-05-02,2.583333
1973-05-03,2.597222
1973-05-04,2.638889
1973-05-07,2.597222
1973-05-08,2.635417
1973-05-09,2.597222
1973-05-10,2.555556
1973-05-11,2.472222
1973-05-14,2.447917
1973-05-15,2.479167
1973-05-16,2.5
1973-05-17,2.496528
1973-05-18,2.4375
1973-05-21,2.40625
1973-05-22,2.444444
1973-05-23,2.475694
