Date,NEW
2018-06-15,21.0
2018-06-18,28.799999
2018-06-19,30.0
2018-06-20,26.110001
2018-06-21,21.360001
2018-06-22,18.75
2018-06-25,20.43
2018-06-26,22.620001000000002
2018-06-27,20.82
2018-06-28,21.23
2018-06-29,21.4
2018-07-02,20.610001
2018-07-03,20.02
2018-07-05,19.01
2018-07-06,19.040001
2018-07-09,18.959999
2018-07-10,19.5
2018-07-11,19.01
2018-07-12,20.23
2018-07-13,20.24
2018-07-16,19.030001000000002
2018-07-17,19.02
2018-07-18,19.139999
2018-07-19,19.08
2018-07-20,18.93
2018-07-23,19.0
2018-07-24,19.389999
2018-07-25,19.85
2018-07-26,19.0
2018-07-27,18.93
2018-07-30,18.629998999999998
2018-07-31,16.780001000000002
2018-08-01,17.0
2018-08-02,16.43
2018-08-03,16.030001000000002
2018-08-06,15.8
2018-08-07,16.24
2018-08-08,15.76
2018-08-09,15.7
2018-08-10,15.48
2018-08-13,15.25
2018-08-14,14.67
2018-08-15,13.86
2018-08-16,14.18
2018-08-17,14.15
2018-08-20,14.07
2018-08-21,13.0
2018-08-22,15.9
2018-08-23,14.5
2018-08-24,14.5
2018-08-27,13.92
2018-08-28,14.0
2018-08-29,13.2
2018-08-30,13.01
2018-08-31,13.05
2018-09-04,12.48
2018-09-05,12.21
2018-09-06,11.75
2018-09-07,11.6
2018-09-10,11.02
2018-09-11,10.34
2018-09-12,10.2
2018-09-13,9.99
2018-09-14,9.75
2018-09-17,9.03
2018-09-18,8.3
2018-09-19,7.53
2018-09-20,8.31
2018-09-21,9.1
2018-09-24,9.36
2018-09-25,8.59
2018-09-26,8.25
2018-09-27,8.72
2018-09-28,8.74
2018-10-01,8.83
2018-10-02,8.86
2018-10-03,9.0
2018-10-04,9.0
2018-10-05,9.09
2018-10-08,8.6
2018-10-09,8.8
2018-10-10,8.0
2018-10-11,7.15
2018-10-12,7.74
2018-10-15,7.8
2018-10-16,8.42
2018-10-17,8.43
2018-10-18,8.36
2018-10-19,9.1
2018-10-22,9.25
2018-10-23,8.95
2018-10-24,8.55
2018-10-25,8.82
2018-10-26,8.7
2018-10-29,8.32
2018-10-30,7.38
2018-10-31,7.36
2018-11-01,7.57
2018-11-02,7.22
2018-11-05,7.0
2018-11-06,6.83
2018-11-07,7.14
2018-11-08,6.94
2018-11-09,6.99
2018-11-12,6.44
2018-11-13,6.26
2018-11-14,5.51
2018-11-15,5.8
2018-11-16,5.99
2018-11-19,5.55
2018-11-20,5.2
2018-11-21,5.71
2018-11-23,5.76
2018-11-26,6.15
2018-11-27,5.82
2018-11-28,5.92
2018-11-29,6.05
2018-11-30,6.15
2018-12-03,6.01
2018-12-04,5.76
2018-12-06,5.75
2018-12-07,5.7
2018-12-10,5.75
2018-12-11,5.68
2018-12-12,6.82
2018-12-13,6.58
2018-12-14,6.5
2018-12-17,6.35
2018-12-18,6.2
2018-12-19,6.25
2018-12-20,6.06
2018-12-21,5.85
2018-12-24,5.85
2018-12-26,5.81
2018-12-27,5.61
2018-12-28,5.7
2018-12-31,5.91
2019-01-02,6.03
2019-01-03,5.87
2019-01-04,6.02
2019-01-07,5.72
2019-01-08,5.8
2019-01-09,5.8
2019-01-10,5.69
2019-01-11,5.7
2019-01-14,5.64
2019-01-15,5.54
2019-01-16,5.25
2019-01-17,5.24
2019-01-18,5.2
2019-01-22,5.18
2019-01-23,5.32
2019-01-24,5.35
2019-01-25,5.55
2019-01-28,5.21
