Date,STBZ
2012-06-18,14.97
2012-06-19,14.98
2012-06-20,14.99
2012-06-21,14.94
2012-06-22,15.15
2012-06-25,14.91
2012-06-26,14.99
2012-06-27,15.0
2012-06-28,15.16
2012-06-29,15.16
2012-07-02,15.07
2012-07-03,15.28
2012-07-05,15.55
2012-07-06,15.43
2012-07-09,15.25
2012-07-10,15.33
2012-07-11,15.34
2012-07-12,15.37
2012-07-13,15.47
2012-07-16,15.39
2012-07-17,15.28
2012-07-18,15.24
2012-07-19,14.94
2012-07-20,14.53
2012-07-23,14.39
2012-07-24,14.65
2012-07-25,14.94
2012-07-26,14.88
2012-07-27,15.16
2012-07-30,15.81
2012-07-31,15.91
2012-08-01,15.98
2012-08-02,15.91
2012-08-03,16.190001000000002
2012-08-06,16.280001000000002
2012-08-07,16.25
2012-08-08,16.290001
2012-08-09,16.02
2012-08-10,16.16
2012-08-13,16.280001000000002
2012-08-14,16.15
2012-08-15,16.32
2012-08-16,16.379998999999998
2012-08-17,16.34
2012-08-20,16.4
2012-08-21,16.309998999999998
2012-08-22,16.33
2012-08-23,16.07
2012-08-24,15.88
2012-08-27,16.18
2012-08-28,16.309998999999998
2012-08-29,16.469998999999998
2012-08-30,16.07
2012-08-31,16.200001
2012-09-04,16.5
2012-09-05,16.299999
2012-09-06,16.5
2012-09-07,16.65
2012-09-10,16.59
2012-09-11,16.66
2012-09-12,16.709999
2012-09-13,16.780001000000002
2012-09-14,16.879998999999998
2012-09-17,16.540001
2012-09-18,16.940001000000002
2012-09-19,16.629998999999998
2012-09-20,16.299999
2012-09-21,16.25
2012-09-24,16.299999
2012-09-25,16.370001000000002
2012-09-26,16.559998999999998
2012-09-27,16.629998999999998
2012-09-28,16.49
2012-10-01,16.639999
2012-10-02,16.73
2012-10-03,16.370001000000002
2012-10-04,16.540001
2012-10-05,16.59
2012-10-08,16.620001000000002
2012-10-09,16.360001
2012-10-10,16.58
2012-10-11,16.75
2012-10-12,16.280001000000002
2012-10-15,16.59
2012-10-16,16.299999
2012-10-17,16.389999
2012-10-18,16.33
2012-10-19,16.1
2012-10-22,15.96
2012-10-23,15.95
2012-10-24,16.059998999999998
2012-10-25,16.120001000000002
2012-10-26,16.17
2012-10-31,15.1407
2012-11-01,15.23
2012-11-02,15.69
2012-11-05,15.77
2012-11-06,16.15
2012-11-07,15.65
2012-11-08,15.65
2012-11-09,15.65
