Date,SCBFF
2009-02-13,11.15
2009-02-17,10.2
2009-02-18,9.95
2009-02-19,10.02
2009-02-20,9.37
2009-02-23,9.4
2009-02-24,9.35
2009-02-25,9.75
2009-02-26,9.62
2009-02-27,9.7
2009-03-02,8.0
2009-03-03,8.75
2009-03-04,10.5
2009-03-05,9.75
2009-03-06,10.55
2009-03-09,10.24
2009-03-10,11.35
2009-03-11,11.22
2009-03-12,11.7
2009-03-13,12.25
2009-03-16,12.5
2009-03-17,12.35
2009-03-18,12.05
2009-03-19,13.45
2009-03-20,13.1
2009-03-23,13.36
2009-03-24,13.3
2009-03-25,12.45
2009-03-26,12.6
2009-03-27,12.58
2009-03-30,11.6
2009-03-31,12.2
2009-04-01,12.6
2009-04-02,15.65
2009-04-03,15.0
2009-04-06,14.5
2009-04-07,13.48
2009-04-08,13.75
2009-04-09,14.85
2009-04-13,14.7
2009-04-14,14.9
2009-04-15,15.05
2009-04-16,14.8
2009-04-17,15.2
2009-04-20,13.4
2009-04-21,13.8
2009-04-22,14.7
2009-04-23,14.45
2009-04-24,14.9
2009-04-27,14.1
2009-04-28,13.83
2009-04-29,14.55
2009-04-30,15.25
2009-05-01,15.6
2009-05-04,16.85
2009-05-05,17.4
2009-05-06,18.799999
2009-05-07,18.440001000000002
2009-05-08,20.200001
2009-05-11,17.85
2009-05-12,18.299999
2009-05-13,16.4
2009-05-14,18.450001
2009-05-15,18.110001
2009-05-18,19.799999
2009-05-19,20.200001
2009-05-20,19.450001
2009-05-21,19.4
2009-05-22,19.1
2009-05-26,19.93
2009-05-27,19.799999
2009-05-28,20.040001
2009-05-29,20.9
2009-06-01,21.0
2009-06-02,21.0
2009-06-03,20.49
2009-06-04,20.4
2009-06-05,19.85
2009-06-08,20.15
2009-06-09,19.799999
2009-06-10,20.15
2009-06-11,20.450001
2009-06-12,19.75
2009-06-15,18.549999
2009-06-16,19.15
2009-06-17,19.15
2009-06-18,19.549999
2009-06-19,20.15
2009-06-22,19.549999
2009-06-23,18.950001
2009-06-24,19.65
2009-06-25,19.65
2009-06-26,19.450001
2009-06-29,19.75
2009-06-30,19.049999
2009-07-01,19.1
2009-07-02,19.24
2009-07-06,18.799999
2009-07-07,19.0
2009-07-08,18.549999
2009-07-09,18.200001
2009-07-10,18.950001
2009-07-13,19.27
2009-07-14,19.030001000000002
2009-07-15,19.6
2009-07-16,20.1
