Date,HUM
1981-12-31,9.722222
1982-01-04,10.069445
1982-01-05,9.861111
1982-01-06,9.791667
1982-01-07,9.791667
1982-01-08,9.861111
1982-01-11,9.6875
1982-01-12,9.618055
1982-01-13,9.618055
1982-01-14,9.479167
1982-01-15,9.409722
1982-01-18,9.270833
1982-01-19,9.131945
1982-01-20,9.097222
1982-01-21,9.027778
1982-01-22,8.958333
1982-01-25,8.958333
1982-01-26,8.75
1982-01-27,8.784722
1982-01-28,9.513889
1982-01-29,9.895833
1982-02-01,9.479167
1982-02-02,9.53125
1982-02-03,9.739583
1982-02-04,9.375
1982-02-05,9.791667
1982-02-08,9.84375
1982-02-09,9.635417
1982-02-10,9.895833
1982-02-11,9.84375
1982-02-12,10.104167
1982-02-16,9.947917
1982-02-17,10.15625
1982-02-18,10.416667
1982-02-19,10.625
1982-02-22,10.208333
1982-02-23,10.208333
1982-02-24,10.416667
1982-02-25,10.416667
1982-02-26,10.208333
1982-03-01,10.364583
1982-03-02,10.3125
1982-03-03,10.104167
1982-03-04,9.895833
1982-03-05,9.635417
1982-03-08,9.010417
1982-03-09,9.583333
1982-03-10,9.375
1982-03-11,9.114583
1982-03-12,8.697917
1982-03-15,8.802083
1982-03-16,8.90625
1982-03-17,8.541667
1982-03-18,8.802083
1982-03-19,9.0625
1982-03-22,9.479167
1982-03-23,9.6875
1982-03-24,10.0
1982-03-25,10.0
1982-03-26,9.791667
1982-03-29,9.6875
1982-03-30,9.791667
1982-03-31,9.84375
1982-04-01,9.791667
1982-04-02,10.416667
1982-04-05,10.3125
1982-04-06,10.364583
1982-04-07,10.46875
1982-04-08,10.625
1982-04-12,10.46875
1982-04-13,10.625
1982-04-14,10.416667
1982-04-15,10.625
1982-04-16,11.041667
1982-04-19,10.729167
1982-04-20,10.572917
1982-04-21,10.416667
1982-04-22,10.520833
1982-04-23,10.677083
1982-04-26,11.09375
1982-04-27,11.041667
1982-04-28,10.989583
1982-04-29,10.78125
1982-04-30,10.78125
1982-05-03,10.9375
1982-05-04,10.885417
1982-05-05,10.78125
1982-05-06,10.78125
1982-05-07,10.729167
1982-05-10,10.572917
1982-05-11,10.625
1982-05-12,10.520833
1982-05-13,10.572917
1982-05-14,10.416667
1982-05-17,10.572917
1982-05-18,10.364583
1982-05-19,10.3125
1982-05-20,10.208333
1982-05-21,10.3125
1982-05-24,10.104167
1982-05-25,10.208333
1982-05-26,10.052083
1982-05-27,9.895833
1982-05-28,9.791667
1982-06-01,9.479167
1982-06-02,9.427083
1982-06-03,9.479167
1982-06-04,9.270833
1982-06-07,9.21875
1982-06-08,9.166667
1982-06-09,9.166667
1982-06-10,9.270833
