Date,IPI
2008-04-22,50.400002
2008-04-23,49.09
2008-04-24,48.59
2008-04-25,51.939999
2008-04-28,48.279999
2008-04-29,45.619999
2008-04-30,47.490002000000004
2008-05-01,45.080002
2008-05-02,44.759997999999996
2008-05-05,48.5
2008-05-06,49.790001000000004
2008-05-07,49.560001
2008-05-08,50.900002
2008-05-09,50.060001
2008-05-12,49.5
2008-05-13,48.07
2008-05-14,47.580002
2008-05-15,46.77
2008-05-16,49.490002000000004
2008-05-19,49.34
2008-05-20,48.880001
2008-05-21,47.119999
2008-05-22,46.830002
2008-05-23,46.560001
2008-05-27,45.220001
2008-05-28,46.169998
2008-05-29,46.400002
2008-05-30,49.16
2008-06-02,48.099998
2008-06-03,48.75
2008-06-04,48.34
2008-06-05,51.439999
2008-06-06,53.639998999999996
2008-06-09,57.25
2008-06-10,55.889998999999996
2008-06-11,58.470001
2008-06-12,57.849998
2008-06-13,60.0
2008-06-16,62.400002
2008-06-17,64.410004
2008-06-18,65.239998
2008-06-19,64.089996
2008-06-20,67.660004
2008-06-23,73.230003
2008-06-24,68.209999
2008-06-25,67.629997
2008-06-26,65.5
2008-06-27,63.130001
2008-06-30,65.779999
2008-07-01,63.48
2008-07-02,58.27
2008-07-03,55.939999
2008-07-07,53.139998999999996
2008-07-08,55.0
2008-07-09,56.470001
2008-07-10,54.919998
2008-07-11,56.200001
2008-07-14,60.209998999999996
2008-07-15,58.110001000000004
2008-07-16,60.119999
2008-07-17,57.32
2008-07-18,56.139998999999996
2008-07-21,59.82
2008-07-22,58.419998
2008-07-23,54.220001
2008-07-24,51.52
2008-07-25,52.139998999999996
2008-07-28,50.0
2008-07-29,52.450001
2008-07-30,58.48
2008-07-31,55.299999
2008-08-01,53.009997999999996
2008-08-04,47.970001
2008-08-05,45.049999
2008-08-06,47.459998999999996
2008-08-07,46.41
2008-08-08,44.07
2008-08-11,41.880001
2008-08-12,42.41
2008-08-13,46.73
2008-08-14,42.860001000000004
2008-08-15,41.639998999999996
2008-08-18,42.860001000000004
2008-08-19,43.830002
2008-08-20,46.0
2008-08-21,46.779999
2008-08-22,46.369999
2008-08-25,45.560001
2008-08-26,45.369999
2008-08-27,47.040001000000004
2008-08-28,46.599998
2008-08-29,47.360001000000004
2008-09-02,43.48
2008-09-03,40.279999
2008-09-04,36.810001
2008-09-05,38.790001000000004
2008-09-08,37.68
2008-09-09,31.93
2008-09-10,33.700001
2008-09-11,34.650002
2008-09-12,36.43
2008-09-15,32.049999
2008-09-16,34.0
2008-09-17,30.51
2008-09-18,31.969998999999998
2008-09-19,35.41
2008-09-22,35.59
2008-09-23,32.439999
2008-09-24,32.110001000000004
2008-09-25,31.6
2008-09-26,29.540001
2008-09-29,28.59
2008-09-30,30.139999
2008-10-01,29.65
2008-10-02,23.33
2008-10-03,23.75
2008-10-06,21.870001000000002
2008-10-07,20.58
2008-10-08,21.719998999999998
2008-10-09,21.15
2008-10-10,21.0
2008-10-13,24.51
2008-10-14,24.25
2008-10-15,19.66
2008-10-16,18.75
2008-10-17,18.02
2008-10-20,20.6
2008-10-21,19.110001
2008-10-22,16.77
2008-10-23,17.309998999999998
2008-10-24,16.57
2008-10-27,16.08
2008-10-28,17.040001
2008-10-29,18.27
2008-10-30,21.02
2008-10-31,21.74
2008-11-03,20.73
2008-11-04,23.6
2008-11-05,20.91
2008-11-06,19.459999
2008-11-07,20.379998999999998
2008-11-10,20.49
2008-11-11,19.459999
2008-11-12,15.38
2008-11-13,19.110001
2008-11-14,19.82
2008-11-17,17.49
2008-11-18,17.85
2008-11-19,16.51
2008-11-20,14.34
2008-11-21,15.98
2008-11-24,17.559998999999998
2008-11-25,17.9
2008-11-26,19.26
2008-11-28,19.200001
2008-12-01,16.530001000000002
2008-12-02,15.44
2008-12-03,15.66
2008-12-04,14.89
2008-12-05,15.66
2008-12-08,17.139999
2008-12-09,16.83
2008-12-10,18.24
2008-12-11,17.58
2008-12-12,18.85
2008-12-15,18.67
2008-12-16,19.799999
2008-12-17,20.77
2008-12-18,20.209999
2008-12-19,18.77
2008-12-22,17.41
2008-12-23,17.01
2008-12-24,17.049999
2008-12-26,18.07
2008-12-29,20.0
