Date,VIV
1998-11-16,28.4375
1998-11-17,31.25
1998-11-18,30.375
1998-11-19,28.125
1998-11-20,28.875
1998-11-23,28.625
1998-11-24,28.375
1998-11-25,28.125
1998-11-27,28.125
1998-11-30,26.75
1998-12-01,26.1875
1998-12-02,25.8125
1998-12-03,23.375
1998-12-04,24.5
1998-12-07,25.625
1998-12-08,24.625
1998-12-09,25.1875
1998-12-10,24.0625
1998-12-11,23.5
1998-12-14,22.125
1998-12-15,23.0
1998-12-16,22.25
1998-12-17,22.4375
1998-12-18,21.5
1998-12-21,22.25
1998-12-22,22.6875
1998-12-23,23.375
1998-12-24,23.125
1998-12-28,22.8125
1998-12-29,22.75
1998-12-30,21.5
1998-12-31,22.125
1999-01-04,22.375
1999-01-05,22.6875
1999-01-06,22.375
1999-01-07,21.5
1999-01-08,20.6875
1999-01-11,19.125
1999-01-12,17.5625
1999-01-13,16.125
1999-01-14,16.0
1999-01-15,20.25
1999-01-19,18.375
1999-01-20,19.5
1999-01-21,18.25
1999-01-22,16.75
1999-01-25,17.3125
1999-01-26,17.9375
1999-01-27,16.875
1999-01-28,17.5
1999-01-29,17.5625
1999-02-01,19.375
1999-02-02,20.0
1999-02-03,19.8125
1999-02-04,19.0
1999-02-05,18.8125
1999-02-08,18.8125
1999-02-09,17.75
1999-02-10,18.8125
1999-02-11,18.9375
1999-02-12,18.5
1999-02-16,18.8125
1999-02-17,18.1875
1999-02-18,17.8125
1999-02-19,17.5
1999-02-22,17.625
1999-02-23,16.9375
1999-02-24,16.8125
1999-02-25,16.4375
1999-02-26,16.5
1999-03-01,16.4375
1999-03-02,16.0625
1999-03-03,16.625
1999-03-04,17.0
1999-03-05,17.625
1999-03-08,18.25
1999-03-09,18.5
1999-03-10,19.0
1999-03-11,17.875
1999-03-12,17.0625
1999-03-15,19.25
1999-03-16,19.5625
1999-03-17,19.5625
1999-03-18,21.875
1999-03-19,21.3125
1999-03-22,20.75
1999-03-23,20.0625
1999-03-24,20.125
1999-03-25,21.875
1999-03-26,21.3125
1999-03-29,21.25
1999-03-30,20.8125
1999-03-31,20.625
1999-04-01,20.625
1999-04-05,21.1875
1999-04-06,22.125
1999-04-07,22.875
1999-04-08,24.1875
1999-04-09,24.3125
1999-04-12,25.25
1999-04-13,25.25
1999-04-14,25.375
1999-04-15,25.5
1999-04-16,25.0
1999-04-19,23.5
1999-04-20,22.625
1999-04-21,23.375
1999-04-22,23.3125
1999-04-23,22.25
1999-04-26,23.5
1999-04-27,23.125
1999-04-28,24.25
1999-04-29,24.5
1999-04-30,24.6875
1999-05-03,24.5
1999-05-04,24.125
1999-05-05,24.6875
1999-05-06,25.4375
1999-05-07,26.5
1999-05-10,27.0
1999-05-11,26.125
1999-05-12,25.875
1999-05-13,26.4375
1999-05-14,26.375
1999-05-17,26.375
1999-05-18,26.4375
1999-05-19,25.5
1999-05-20,25.5
1999-05-21,24.8125
1999-05-24,22.75
1999-05-25,21.9375
1999-05-26,23.375
1999-05-27,21.5625
1999-05-28,21.875
1999-06-01,21.75
1999-06-02,22.9375
1999-06-03,23.5
1999-06-04,23.6875
1999-06-07,24.125
1999-06-08,23.0625
1999-06-09,23.125
1999-06-10,23.5625
1999-06-11,23.5
1999-06-14,23.0
1999-06-15,23.0
1999-06-16,24.8125
1999-06-17,24.375
1999-06-18,24.125
1999-06-21,24.1875
1999-06-22,24.0
1999-06-23,23.25
1999-06-24,23.0625
1999-06-25,21.75
1999-06-28,22.125
1999-06-29,22.4375
1999-06-30,22.875
1999-07-01,22.9375
1999-07-02,23.25
1999-07-06,22.6875
1999-07-07,23.0
1999-07-08,21.125
1999-07-09,21.4375
1999-07-12,20.8125
1999-07-13,21.4375
1999-07-14,21.75
1999-07-15,21.6875
1999-07-16,21.125
1999-07-19,21.125
1999-07-20,20.25
1999-07-21,20.8125
1999-07-22,20.75
1999-07-23,19.5625
