Date,EDU
2006-09-15,6.6
2006-09-18,6.95
2006-09-19,6.6375
2006-09-20,6.8125
2006-09-21,6.7025
2006-09-22,6.4
2006-09-25,5.995
2006-09-26,5.55
2006-09-27,5.8925
2006-09-28,6.0475
2006-09-29,6.05
2006-10-02,6.07
2006-10-03,6.0
2006-10-04,6.0275
2006-10-05,6.1275
2006-10-06,6.1275
2006-10-09,6.125
2006-10-10,6.65
2006-10-11,6.775
2006-10-12,6.7
2006-10-13,6.695
2006-10-16,6.605
2006-10-17,6.475
2006-10-18,6.4575
2006-10-19,5.875
2006-10-20,6.125
2006-10-23,5.965
2006-10-24,6.1625
2006-10-25,6.22
2006-10-26,6.21
2006-10-27,6.1875
2006-10-30,6.2075
2006-10-31,6.025
2006-11-01,6.2475
2006-11-02,6.33
2006-11-03,6.41
2006-11-06,6.39
2006-11-07,6.39
2006-11-08,6.9725
2006-11-09,7.03
2006-11-10,7.4625
2006-11-13,7.25
2006-11-14,7.9625
2006-11-15,8.5475
2006-11-16,8.6825
2006-11-17,8.4675
2006-11-20,8.01
2006-11-21,8.2875
2006-11-22,8.48
2006-11-24,8.275
2006-11-27,7.875
2006-11-28,7.4925
2006-11-29,8.1
2006-11-30,7.9775
2006-12-01,8.175
2006-12-04,8.5125
2006-12-05,8.875
2006-12-06,8.8775
2006-12-07,8.8475
2006-12-08,8.9275
2006-12-11,9.1975
2006-12-12,8.8875
2006-12-13,8.8275
2006-12-14,8.905
2006-12-15,8.7375
2006-12-18,8.875
2006-12-19,8.7275
2006-12-20,8.5975
2006-12-21,8.4075
2006-12-22,8.25
2006-12-26,8.5
2006-12-27,8.5525
2006-12-28,8.555
2006-12-29,8.385
2007-01-03,8.7975
2007-01-04,8.6375
2007-01-05,8.515
2007-01-08,8.64
2007-01-09,8.5
2007-01-10,8.9325
2007-01-11,9.3125
2007-01-12,9.35
2007-01-16,8.8325
2007-01-17,8.89
2007-01-18,8.875
2007-01-19,8.2725
2007-01-22,8.745
2007-01-23,8.7125
2007-01-24,8.8825
2007-01-25,9.0
2007-01-26,8.8125
2007-01-29,9.2275
2007-01-30,9.2875
2007-01-31,8.9325
2007-02-01,8.7475
2007-02-02,8.8875
2007-02-05,9.2325
2007-02-06,9.31
2007-02-07,10.2
2007-02-08,10.5625
2007-02-09,10.3375
2007-02-12,10.325
2007-02-13,10.0075
2007-02-14,10.0725
2007-02-15,10.2475
2007-02-16,10.4525
2007-02-20,11.135
2007-02-21,10.8075
2007-02-22,10.95
2007-02-23,10.715
2007-02-26,10.88
2007-02-27,10.0025
2007-02-28,10.53
2007-03-01,10.2875
2007-03-02,9.505
2007-03-05,8.7425
2007-03-06,9.15
2007-03-07,9.845
2007-03-08,10.1475
