Date,NYT
1973-05-03,1.135417
1973-05-04,1.104167
1973-05-07,1.104167
1973-05-08,1.072917
1973-05-09,1.104167
1973-05-10,1.083333
1973-05-11,1.104167
1973-05-14,1.083333
1973-05-15,1.052083
1973-05-16,1.052083
1973-05-17,1.052083
1973-05-18,1.052083
1973-05-21,1.020833
1973-05-22,1.0
1973-05-23,0.989583
1973-05-24,1.0
1973-05-25,1.010417
1973-05-29,1.010417
1973-05-30,1.041667
1973-05-31,1.052083
1973-06-01,1.010417
1973-06-04,1.0
1973-06-05,1.041667
1973-06-06,1.072917
1973-06-07,1.041667
1973-06-08,1.052083
1973-06-11,1.104167
1973-06-12,1.083333
1973-06-13,1.072917
1973-06-14,1.041667
1973-06-15,1.041667
1973-06-18,0.989583
1973-06-19,0.916667
1973-06-20,0.96875
1973-06-21,0.947917
1973-06-22,0.96875
1973-06-25,0.947917
1973-06-26,0.947917
1973-06-27,0.947917
1973-06-28,0.916667
1973-06-29,0.947917
1973-07-02,0.875
1973-07-03,0.90625
1973-07-05,0.90625
1973-07-06,0.916667
1973-07-09,0.947917
1973-07-10,0.9375
1973-07-11,0.916667
1973-07-12,0.947917
1973-07-13,0.947917
1973-07-16,0.947917
1973-07-17,0.96875
1973-07-18,0.96875
1973-07-19,1.104167
1973-07-20,1.104167
1973-07-23,1.083333
1973-07-24,1.052083
1973-07-25,1.072917
1973-07-26,1.135417
1973-07-27,1.15625
1973-07-30,1.125
1973-07-31,1.072917
1973-08-01,1.072917
1973-08-02,1.072917
1973-08-03,1.072917
1973-08-06,1.072917
1973-08-07,1.104167
1973-08-08,1.072917
1973-08-09,1.072917
1973-08-10,1.072917
1973-08-13,1.072917
1973-08-14,1.052083
1973-08-15,1.072917
1973-08-16,1.072917
1973-08-17,1.041667
1973-08-20,1.072917
1973-08-21,1.041667
1973-08-22,0.989583
1973-08-23,1.0
1973-08-24,0.989583
1973-08-27,0.96875
1973-08-28,0.96875
1973-08-29,0.96875
1973-08-30,0.989583
1973-08-31,1.010417
1973-09-04,1.010417
1973-09-05,1.041667
1973-09-06,1.020833
1973-09-07,1.010417
1973-09-10,1.010417
1973-09-11,1.020833
1973-09-12,1.010417
1973-09-13,1.041667
1973-09-14,1.041667
1973-09-17,1.010417
1973-09-18,1.041667
1973-09-19,1.072917
1973-09-20,1.125
1973-09-21,1.166667
1973-09-24,1.166667
1973-09-25,1.166667
1973-09-26,1.135417
1973-09-27,1.15625
1973-09-28,1.15625
1973-10-01,1.15625
1973-10-02,1.166667
1973-10-03,1.166667
1973-10-04,1.1875
1973-10-05,1.239583
1973-10-08,1.291667
1973-10-09,1.291667
1973-10-10,1.260417
1973-10-11,1.291667
1973-10-12,1.322917
1973-10-15,1.302083
1973-10-16,1.302083
1973-10-17,1.322917
1973-10-18,1.322917
1973-10-19,1.291667
1973-10-22,1.270833
