Date,FSLR
2007-10-16,138.929993
2007-10-17,139.08999599999999
2007-10-18,140.570007
2007-10-19,133.240005
2007-10-22,136.899994
2007-10-23,150.16000400000001
2007-10-24,148.380005
2007-10-25,149.970001
2007-10-26,150.440002
2007-10-29,156.199997
2007-10-30,149.75
2007-10-31,158.809998
2007-11-01,155.350006
2007-11-02,146.559998
2007-11-05,148.100006
2007-11-06,169.0
2007-11-07,167.119995
2007-11-08,224.42999300000002
2007-11-09,206.850006
2007-11-12,177.699997
2007-11-13,188.070007
2007-11-14,185.389999
2007-11-15,190.949997
2007-11-16,212.63000499999998
2007-11-19,215.75999500000003
2007-11-20,207.330002
2007-11-21,212.5
2007-11-23,210.13000499999998
2007-11-26,212.0
2007-11-27,207.619995
2007-11-28,215.88000499999998
2007-11-29,238.17999300000002
2007-11-30,237.149994
2007-12-03,229.22000099999997
2007-12-04,214.539993
2007-12-05,225.92999300000002
2007-12-06,218.399994
2007-12-07,235.47000099999997
2007-12-10,250.0
2007-12-11,236.289993
2007-12-12,241.67999300000002
2007-12-13,248.350006
2007-12-14,251.690002
2007-12-17,231.97000099999997
2007-12-18,247.100006
2007-12-19,247.979996
2007-12-20,245.600006
2007-12-21,266.399994
2007-12-24,272.040009
2007-12-26,280.910004
2007-12-27,275.5
2007-12-28,266.040009
2007-12-31,267.140015
2008-01-02,267.700012
2008-01-03,265.869995
2008-01-04,245.580002
2008-01-07,236.83999599999999
2008-01-08,230.5
2008-01-09,234.25
2008-01-10,225.97000099999997
2008-01-11,221.0
2008-01-14,224.75999500000003
2008-01-15,204.78999299999998
2008-01-16,181.559998
2008-01-17,167.199997
2008-01-18,175.880005
2008-01-22,182.78999299999998
2008-01-23,165.779999
2008-01-24,171.46000700000002
2008-01-25,171.279999
2008-01-28,177.0
2008-01-29,191.899994
2008-01-30,184.350006
2008-01-31,181.770004
2008-02-01,185.940002
2008-02-04,192.899994
2008-02-05,178.0
2008-02-06,171.71000700000002
2008-02-07,165.600006
2008-02-08,173.190002
2008-02-11,189.639999
2008-02-12,175.559998
2008-02-13,228.460007
2008-02-14,224.11000099999998
2008-02-15,219.38999900000002
2008-02-19,211.940002
2008-02-20,217.0
2008-02-21,211.58999599999999
2008-02-22,211.74000499999997
2008-02-25,218.899994
2008-02-26,220.690002
2008-02-27,217.690002
2008-02-28,205.259995
2008-02-29,205.149994
2008-03-03,207.490005
2008-03-04,202.600006
2008-03-05,213.190002
2008-03-06,208.770004
2008-03-07,196.820007
2008-03-10,176.570007
2008-03-11,198.110001
2008-03-12,205.880005
2008-03-13,207.28999299999998
2008-03-14,200.83999599999999
2008-03-17,193.899994
2008-03-18,204.020004
2008-03-19,196.970001
2008-03-20,193.66000400000001
2008-03-24,209.5
