Date,AAIGF
2010-12-31,2.88
2011-01-03,2.88
2011-01-04,2.88
2011-01-05,2.96
2011-01-06,2.95
2011-01-07,2.95
2011-01-10,2.95
2011-01-11,2.74
2011-01-12,2.74
2011-01-13,2.82
2011-01-14,2.82
2011-01-18,2.82
2011-01-19,2.84
2011-01-20,2.84
2011-01-21,2.8
2011-01-24,2.74
2011-01-25,2.74
2011-01-26,2.85
2011-01-27,2.85
2011-01-28,2.85
2011-01-31,2.82
2011-02-01,2.77
2011-02-02,2.85
2011-02-03,2.85
2011-02-04,2.83
2011-02-07,2.78
2011-02-08,2.92
2011-02-09,2.85
2011-02-10,2.85
2011-02-11,2.85
2011-02-14,2.92
2011-02-15,2.92
2011-02-16,2.98
2011-02-17,2.76
2011-02-18,2.85
2011-02-22,2.7
2011-02-23,2.78
2011-02-24,2.74
2011-02-25,2.9
2011-02-28,2.83
2011-03-01,2.83
2011-03-02,2.91
2011-03-03,2.91
2011-03-04,2.88
2011-03-07,2.88
2011-03-08,3.05
2011-03-09,3.08
2011-03-10,3.0
2011-03-11,2.9
2011-03-14,2.9
2011-03-15,2.82
2011-03-16,3.03
2011-03-17,3.03
2011-03-18,3.03
2011-03-21,2.75
2011-03-22,2.75
2011-03-23,2.75
2011-03-24,2.99
2011-03-25,3.0
2011-03-28,2.95
2011-03-29,3.03
2011-03-30,2.95
2011-03-31,2.95
2011-04-01,3.05
2011-04-04,3.07
2011-04-05,3.07
2011-04-06,3.15
2011-04-07,3.35
2011-04-08,3.2
2011-04-11,3.2
2011-04-12,3.2
2011-04-13,3.2
2011-04-14,3.1
2011-04-15,3.2
2011-04-18,3.02
2011-04-19,3.02
2011-04-20,3.3
2011-04-21,3.36
2011-04-25,3.48
2011-04-26,3.3
2011-04-27,3.3
2011-04-28,3.25
2011-04-29,3.43
2011-05-02,3.43
2011-05-03,3.43
2011-05-04,3.43
2011-05-05,3.34
2011-05-06,3.38
2011-05-09,3.4
2011-05-10,3.4
2011-05-11,3.4
2011-05-12,3.4
2011-05-13,3.46
2011-05-16,3.3
2011-05-17,3.33
2011-05-18,3.02
2011-05-19,3.37
2011-05-20,3.37
2011-05-23,3.28
2011-05-24,3.3
2011-05-25,3.3
2011-05-26,3.27
2011-05-27,3.5
2011-05-31,3.45
2011-06-01,3.4
2011-06-02,3.45
2011-06-03,3.5
2011-06-06,3.5
2011-06-07,3.51
2011-06-08,3.44
2011-06-09,3.7
2011-06-10,3.7
2011-06-13,3.53
2011-06-14,3.53
2011-06-15,3.4
2011-06-16,3.3
2011-06-17,3.3
2011-06-20,3.3
2011-06-21,3.33
2011-06-22,3.35
2011-06-23,3.35
2011-06-24,3.35
2011-06-27,3.35
2011-06-28,3.36
2011-06-29,3.36
2011-06-30,3.4
2011-07-01,3.41
2011-07-05,3.2
2011-07-06,3.45
2011-07-07,3.53
2011-07-08,3.46
2011-07-11,3.46
2011-07-12,3.46
2011-07-13,3.3
2011-07-14,3.3
2011-07-15,3.3
2011-07-18,3.25
2011-07-19,3.25
2011-07-20,3.25
2011-07-21,3.25
2011-07-22,3.37
2011-07-25,3.46
2011-07-26,3.46
2011-07-27,3.46
2011-07-28,3.64
2011-07-29,3.56
2011-08-01,3.83
2011-08-02,3.6
2011-08-03,3.6
2011-08-04,3.6
2011-08-05,3.6
2011-08-08,3.0
2011-08-09,3.42
2011-08-10,3.35
2011-08-11,3.35
2011-08-12,3.2
2011-08-15,3.28
2011-08-16,3.35
2011-08-17,3.61
2011-08-18,3.35
2011-08-19,3.21
2011-08-22,3.35
2011-08-23,3.2
2011-08-24,3.2
2011-08-25,3.2
2011-08-26,3.2
2011-08-29,3.2
2011-08-30,3.35
2011-08-31,3.35
2011-09-01,3.35
2011-09-02,3.35
2011-09-06,3.24
2011-09-07,3.24
2011-09-08,3.6
2011-09-09,3.3
2011-09-12,3.0
2011-09-13,3.05
2011-09-14,3.15
2011-09-15,3.12
2011-09-16,3.12
2011-09-19,3.0
2011-09-20,3.12
2011-09-21,3.12
2011-09-22,2.8
2011-09-23,2.77
2011-09-26,2.9
2011-09-27,2.84
2011-09-28,2.84
2011-09-29,2.84
2011-09-30,2.92
2011-10-03,2.92
2011-10-04,2.5
2011-10-05,2.46
2011-10-06,2.97
2011-10-07,2.91
2011-10-10,2.83
2011-10-11,2.97
2011-10-12,2.97
2011-10-13,3.2
2011-10-14,3.2
2011-10-17,2.9
2011-10-18,2.85
2011-10-19,2.85
2011-10-20,2.85
2011-10-21,2.85
2011-10-24,2.85
2011-10-25,2.9
2011-10-26,2.9
2011-10-27,3.05
2011-10-28,3.08
2011-10-31,2.98
2011-11-01,3.02
2011-11-02,3.0
2011-11-03,2.97
2011-11-04,2.97
2011-11-07,3.05
2011-11-08,3.1
2011-11-09,3.09
2011-11-10,3.09
2011-11-11,3.09
