Date,FTO
2000-02-02,69.875298
2000-02-03,70.590103
2000-02-04,69.875298
2000-02-07,71.662399
2000-02-08,71.483704
2000-02-09,73.270699
2000-02-10,74.164299
2000-02-11,75.951401
2000-02-14,75.41529799999999
2000-02-15,74.521698
2000-02-16,74.164299
2000-02-17,75.594002
2000-02-18,76.487503
2000-02-22,76.844902
2000-02-23,75.951401
2000-02-24,75.951401
2000-02-25,74.343002
2000-02-28,76.666199
2000-02-29,77.73850300000001
2000-03-01,80.061699
2000-03-02,81.133904
2000-03-03,83.457199
2000-03-06,83.993301
2000-03-07,82.2062
2000-03-08,80.41909799999999
2000-03-09,80.41909799999999
2000-03-10,81.312698
2000-03-13,81.312698
2000-03-14,78.63200400000001
2000-03-15,77.73850300000001
2000-03-16,77.73850300000001
2000-03-17,78.63200400000001
2000-03-20,79.52559699999999
2000-03-21,79.52559699999999
2000-03-22,79.52559699999999
2000-03-23,80.41909799999999
2000-03-24,78.63200400000001
2000-03-27,78.63200400000001
2000-03-28,77.73850300000001
2000-03-29,78.63200400000001
2000-03-30,77.917198
2000-03-31,77.38110400000001
2000-04-03,80.061699
2000-04-04,79.52559699999999
2000-04-05,77.73850300000001
2000-04-06,78.63200400000001
2000-04-07,79.168098
2000-04-10,77.73850300000001
2000-04-11,78.63200400000001
2000-04-12,78.63200400000001
2000-04-13,78.63200400000001
2000-04-14,78.63200400000001
2000-04-17,76.844902
2000-04-18,76.844902
2000-04-19,73.270699
2000-04-20,75.0578
2000-04-24,75.0578
2000-04-25,75.0578
2000-04-26,75.0578
2000-04-27,75.0578
2000-04-28,75.0578
2000-05-01,75.0578
2000-05-02,77.202301
2000-05-03,79.168098
2000-05-04,79.168098
2000-05-05,78.989403
2000-05-08,78.63200400000001
2000-05-09,78.63200400000001
2000-05-10,76.845596
2000-05-11,76.845596
2000-05-12,76.845596
2000-05-15,75.95210300000001
2000-05-16,76.844902
2000-05-17,76.845596
2000-05-18,80.41909799999999
2000-05-19,81.492104
2000-05-22,82.2062
2000-05-23,82.2062
2000-05-24,80.41909799999999
2000-05-25,81.312698
2000-05-26,83.993301
2000-05-30,81.3134
2000-05-31,82.206902
2000-06-01,83.100502
2000-06-02,83.993301
2000-06-05,83.993301
2000-06-06,83.993301
2000-06-07,83.099701
2000-06-08,83.993301
2000-06-09,83.635902
2000-06-12,82.2062
2000-06-13,83.100502
2000-06-14,81.3134
2000-06-15,82.2062
2000-06-16,81.670799
2000-06-19,83.099701
2000-06-20,82.206902
2000-06-21,82.206902
2000-06-22,83.993301
2000-06-23,82.206902
2000-06-26,82.206902
2000-06-27,83.993301
2000-06-28,83.100502
2000-06-29,82.206902
2000-06-30,82.206902
2000-07-03,82.5644
2000-07-05,83.994003
2000-07-06,83.099701
2000-07-07,83.099701
2000-07-10,83.993301
2000-07-11,84.88760400000001
2000-07-12,85.780403
2000-07-13,84.351501
2000-07-14,85.780403
2000-07-17,83.100502
2000-07-18,85.780403
2000-07-19,84.530197
2000-07-20,84.530197
2000-07-21,84.886803
2000-07-24,84.886803
2000-07-25,83.993301
2000-07-26,82.206902
2000-07-27,82.206902
2000-07-28,82.2062
2000-07-31,80.777298
2000-08-01,80.061699
2000-08-02,79.883003
2000-08-03,78.632698
2000-08-04,80.41909799999999
2000-08-07,79.168098
2000-08-08,79.883003
2000-08-09,79.1689
2000-08-10,79.1689
2000-08-11,78.99009699999999
2000-08-14,78.99009699999999
2000-08-15,79.883003
2000-08-16,78.275299
2000-08-17,80.59850300000001
2000-08-18,80.41909799999999
2000-08-21,80.41909799999999
2000-08-22,80.4198
2000-08-23,80.59850300000001
2000-08-24,81.492104
2000-08-25,82.2062
2000-08-28,81.492104
2000-08-29,82.206902
2000-08-30,81.312698
2000-08-31,83.993301
2000-09-01,83.100502
2000-09-05,81.134697
2000-09-06,81.3134
2000-09-07,80.41909799999999
2000-09-08,82.2062
2000-09-11,80.9552
2000-09-12,81.849503
2000-09-13,81.670097
2000-09-14,82.2062
2000-09-15,82.563599
2000-09-18,81.670799
2000-09-19,81.670799
2000-09-20,80.9552
2000-09-21,83.635902
2000-09-22,81.3134
2000-09-25,82.2062
2000-09-26,83.099701
2000-09-27,81.849503
2000-09-28,82.206902
2000-09-29,83.993301
2000-10-02,83.993301
