Date,NXY
1972-06-01,0.1995
1972-06-02,0.20731
1972-06-05,0.1995
1972-06-06,0.1956
1972-06-07,0.19169
1972-06-08,
1972-06-09,
1972-06-12,
1972-06-13,
1972-06-14,
1972-06-15,0.1995
1972-06-16,
1972-06-19,0.2034
1972-06-20,
1972-06-21,0.1956
1972-06-22,0.19169
1972-06-23,
1972-06-26,
1972-06-27,0.18378
1972-06-28,
1972-06-29,
1972-06-30,
1972-07-03,
1972-07-05,0.18769
1972-07-06,
1972-07-07,0.1956
1972-07-10,0.19169
1972-07-11,
1972-07-12,
1972-07-13,
1972-07-14,
1972-07-17,
1972-07-18,0.1956
1972-07-19,0.27768000000000004
1972-07-20,0.26597
1972-07-21,0.26987
1972-07-24,0.26206
1972-07-25,0.25816
1972-07-26,0.25425
1972-07-27,
1972-07-28,0.26206
1972-07-31,
1972-08-01,0.25816
1972-08-02,0.24635
1972-08-03,0.23073000000000002
1972-08-04,0.22683000000000003
1972-08-07,0.21902
1972-08-08,
1972-08-09,0.22291999999999998
1972-08-10,0.23464000000000002
1972-08-11,0.23854
1972-08-14,
1972-08-15,0.23464000000000002
1972-08-16,0.23854
1972-08-17,0.23464000000000002
1972-08-18,0.23854
1972-08-21,
1972-08-22,0.24635
1972-08-23,0.24244000000000002
1972-08-24,0.23854
1972-08-25,
1972-08-28,0.24635
1972-08-29,
1972-08-30,
1972-08-31,0.26987
1972-09-01,0.26206
1972-09-05,0.25425
1972-09-06,0.25025
1972-09-07,0.24635
1972-09-08,0.24244000000000002
1972-09-11,0.24635
1972-09-12,0.23854
1972-09-13,0.25025
1972-09-14,
1972-09-15,0.25425
1972-09-18,
1972-09-19,0.25025
1972-09-20,0.24635
1972-09-21,
1972-09-22,0.24244000000000002
1972-09-25,
1972-09-26,
1972-09-27,
1972-09-28,0.24635
1972-09-29,0.24244000000000002
1972-10-02,0.23854
1972-10-03,0.23464000000000002
1972-10-04,0.23073000000000002
1972-10-05,0.21120999999999998
1972-10-06,0.21511
