Date,SAFRY
2010-01-20,5.3125
2010-01-21,5.3125
2010-01-22,5.3125
2010-01-25,5.15
2010-01-26,5.1
2010-01-27,5.1
2010-01-28,5.1
2010-01-29,5.1
2010-02-01,4.92
2010-02-02,4.92
2010-02-03,4.92
2010-02-04,4.9275
2010-02-05,4.725
2010-02-08,5.01
2010-02-09,5.01
2010-02-10,5.01
2010-02-11,5.01
2010-02-12,5.01
2010-02-16,4.9
2010-02-17,4.955
2010-02-18,4.955
2010-02-19,5.0125
2010-02-22,5.115
2010-02-23,5.115
2010-02-24,5.1625
2010-02-25,5.5875
2010-02-26,5.5875
2010-03-01,5.8625
2010-03-02,5.8625
2010-03-03,5.8625
2010-03-04,6.45
2010-03-05,6.45
2010-03-08,6.45
2010-03-09,5.9
2010-03-10,6.055
2010-03-11,6.055
2010-03-12,6.055
2010-03-15,6.36
2010-03-16,6.36
2010-03-17,6.36
2010-03-18,6.36
2010-03-19,6.36
2010-03-22,6.36
2010-03-23,6.5175
2010-03-24,6.5175
2010-03-25,6.6875
2010-03-26,6.6875
2010-03-29,6.6875
2010-03-30,6.6875
2010-03-31,6.4925
2010-04-01,6.4925
2010-04-05,6.4925
2010-04-06,6.4925
2010-04-07,6.4925
2010-04-08,6.4925
2010-04-09,6.675
2010-04-12,6.675
2010-04-13,6.675
2010-04-14,6.675
2010-04-15,6.7125
2010-04-16,6.7125
2010-04-19,6.7125
2010-04-20,6.7125
2010-04-21,6.7125
2010-04-22,6.7125
2010-04-23,6.7125
2010-04-26,6.7125
2010-04-27,6.7125
2010-04-28,6.7125
2010-04-29,6.3275
2010-04-30,6.3275
2010-05-03,6.3275
2010-05-04,6.1625
2010-05-05,6.1625
2010-05-06,6.2225
2010-05-07,6.2225
2010-05-10,6.2225
2010-05-11,6.2225
2010-05-12,6.81
2010-05-13,6.81
2010-05-14,6.81
2010-05-17,6.81
2010-05-18,6.875
2010-05-19,6.875
2010-05-20,6.875
2010-05-21,6.875
2010-05-24,6.66
2010-05-25,6.66
2010-05-26,6.66
2010-05-27,6.495
2010-05-28,6.495
2010-06-01,6.495
2010-06-02,6.495
2010-06-03,6.495
2010-06-04,6.495
2010-06-07,6.495
2010-06-08,6.495
2010-06-09,6.495
2010-06-10,7.0125
2010-06-11,7.0125
2010-06-14,7.0125
2010-06-15,7.0125
2010-06-16,7.0125
2010-06-17,7.0125
2010-06-18,7.0125
2010-06-21,7.0125
2010-06-22,7.0125
2010-06-23,7.2575
2010-06-24,7.2575
2010-06-25,7.2575
2010-06-28,7.2575
2010-06-29,7.2575
2010-06-30,7.2575
2010-07-01,6.7475
2010-07-02,6.495
2010-07-06,6.495
2010-07-07,6.495
2010-07-08,6.495
2010-07-09,7.0875
2010-07-12,6.8375
2010-07-13,6.9875
2010-07-14,6.9875
2010-07-15,6.8
2010-07-16,6.8
2010-07-19,6.8
2010-07-20,6.8
2010-07-21,6.8
2010-07-22,6.59
2010-07-23,6.775
2010-07-26,6.775
2010-07-27,6.55
2010-07-28,6.55
2010-07-29,6.55
2010-07-30,6.55
2010-08-02,6.55
2010-08-03,6.725
2010-08-04,6.725
2010-08-05,6.725
2010-08-06,6.5525
2010-08-09,6.5525
2010-08-10,6.5525
2010-08-11,6.5525
2010-08-12,6.19
2010-08-13,6.19
2010-08-16,6.19
2010-08-17,6.19
2010-08-18,6.19
2010-08-19,6.19
2010-08-20,6.2575
2010-08-23,6.2575
2010-08-24,6.2575
2010-08-25,6.2575
2010-08-26,6.2575
2010-08-27,6.2575
2010-08-30,6.2575
2010-08-31,6.1625
2010-09-01,6.1625
2010-09-02,6.1625
2010-09-03,6.1625
2010-09-07,6.1625
2010-09-08,6.1625
2010-09-09,6.1625
2010-09-10,6.1625
2010-09-13,6.1625
2010-09-14,6.1625
2010-09-15,6.1625
2010-09-16,6.1625
2010-09-17,6.1625
2010-09-20,6.65
2010-09-21,6.65
2010-09-22,6.65
2010-09-23,6.65
2010-09-24,6.65
2010-09-27,6.65
2010-09-28,6.65
2010-09-29,6.65
2010-09-30,6.65
2010-10-01,6.65
2010-10-04,6.65
2010-10-05,6.65
2010-10-06,7.265
2010-10-07,7.265
2010-10-08,7.265
2010-10-11,7.265
2010-10-12,7.045
2010-10-13,7.045
2010-10-14,7.045
2010-10-15,7.045
2010-10-18,7.045
2010-10-19,7.045
2010-10-20,7.095
2010-10-21,7.095
2010-10-22,7.425
2010-10-25,7.665
2010-10-26,7.665
2010-10-27,7.665
2010-10-28,7.665
2010-10-29,7.665
2010-11-01,8.0625
2010-11-02,8.24
2010-11-03,8.24
2010-11-04,8.24
2010-11-05,8.24
2010-11-08,8.24
2010-11-09,7.87
2010-11-10,7.87
2010-11-11,7.87
2010-11-12,7.645
2010-11-15,7.645
2010-11-16,7.645
2010-11-17,7.645
2010-11-18,7.645
2010-11-19,7.645
2010-11-22,7.645
2010-11-23,7.645
2010-11-24,7.645
2010-11-26,7.645
2010-11-29,7.645
2010-11-30,7.8625
2010-12-01,7.8625
2010-12-02,7.8625
2010-12-03,7.8625
2010-12-06,7.8625
2010-12-07,7.8625
2010-12-08,7.8625
2010-12-09,7.8625
2010-12-10,7.8625
2010-12-13,7.8625
2010-12-14,7.8625
2010-12-15,7.8625
2010-12-16,7.8625
2010-12-17,7.8625
2010-12-20,7.8625
2010-12-21,7.8625
2010-12-22,7.8625
2010-12-23,7.8625
2010-12-27,7.8625
2010-12-28,7.8625
2010-12-29,7.8625
2010-12-30,7.8625
2010-12-31,7.8625
2011-01-03,7.8625
2011-01-04,7.8625
2011-01-05,7.8625
2011-01-06,7.8625
2011-01-07,7.8625
2011-01-10,7.8625
2011-01-11,7.8625
2011-01-12,7.8625
2011-01-13,7.8625
2011-01-14,7.8625
2011-01-18,7.8625
2011-01-19,9.2725
2011-01-20,8.975
2011-01-21,8.975
2011-01-24,8.94
2011-01-25,8.94
2011-01-26,8.94
2011-01-27,8.94
2011-01-28,8.94
2011-01-31,8.94
2011-02-01,9.1325
2011-02-02,9.1325
2011-02-03,9.1325
2011-02-04,9.1325
2011-02-07,9.1325
2011-02-08,9.1325
2011-02-09,9.1325
2011-02-10,9.1325
