Date,TKOMY
1980-03-17,4.352380999999999
1980-03-18,4.495238
1980-03-19,4.495238
1980-03-20,4.495238
1980-03-21,4.495238
1980-03-24,4.495238
1980-03-25,4.495238
1980-03-26,4.304762
1980-03-27,4.304762
1980-03-28,4.180953
1980-03-31,4.342857
1980-04-01,4.180953
1980-04-02,4.180953
1980-04-03,4.180953
1980-04-07,4.180953
1980-04-08,4.180953
1980-04-09,4.180953
1980-04-10,4.171429
1980-04-11,4.161905
1980-04-14,4.352380999999999
1980-04-15,4.352380999999999
1980-04-16,4.514286
1980-04-17,4.561905
1980-04-18,4.514286
1980-04-21,4.447619
1980-04-22,4.428571
1980-04-23,4.542857
1980-04-24,4.561905
1980-04-25,4.561905
1980-04-28,4.561905
1980-04-29,4.733333
1980-04-30,4.695238
1980-05-01,4.638095
1980-05-02,4.628572
1980-05-05,4.67619
1980-05-06,4.733333
1980-05-07,4.742857
1980-05-08,4.742857
1980-05-09,4.904762
1980-05-12,4.92381
1980-05-13,4.92381
1980-05-14,4.92381
1980-05-15,4.92381
1980-05-16,4.790476
1980-05-19,4.790476
1980-05-20,4.790476
1980-05-21,4.961905000000001
1980-05-22,4.942857
1980-05-23,5.0285720000000005
1980-05-27,5.0285720000000005
1980-05-28,4.847619
1980-05-29,4.838095
1980-05-30,4.847619
1980-06-02,4.876191
1980-06-03,4.876191
1980-06-04,4.876191
1980-06-05,4.92381
1980-06-06,4.92381
1980-06-09,4.980951999999999
1980-06-10,5.019048000000001
1980-06-11,5.019048000000001
1980-06-12,5.104762
1980-06-13,5.133333
1980-06-16,5.133333
1980-06-17,5.133333
1980-06-18,5.133333
1980-06-19,5.133333
1980-06-20,5.342857
1980-06-23,5.495238
1980-06-24,5.495238
1980-06-25,5.371428
1980-06-26,5.342857
1980-06-27,5.314286
1980-06-30,5.304762
1980-07-01,5.304762
1980-07-02,5.219048
1980-07-03,5.247619
1980-07-07,5.247619
1980-07-08,5.247619
1980-07-09,5.247619
1980-07-10,5.247619
1980-07-11,5.247619
1980-07-14,5.266667
1980-07-15,5.266667
1980-07-16,5.266667
1980-07-17,5.2952379999999994
1980-07-18,5.304762
1980-07-21,5.304762
1980-07-22,5.257143
1980-07-23,5.123809
1980-07-24,5.095238
1980-07-25,5.095238
1980-07-28,4.9714279999999995
1980-07-29,4.9714279999999995
1980-07-30,4.980951999999999
1980-07-31,4.980951999999999
1980-08-01,4.980951999999999
1980-08-04,4.980951999999999
1980-08-05,5.0
