Date,GPN
2001-01-16,3.75
2001-01-17,3.75
2001-01-18,4.125
2001-01-19,4.28125
2001-01-22,4.5625
2001-01-23,4.6875
2001-01-24,4.5625
2001-01-25,4.6875
2001-01-26,4.625
2001-01-29,4.675
2001-01-30,4.65
2001-01-31,4.6875
2001-02-01,5.225
2001-02-02,5.2075
2001-02-05,4.9925
2001-02-06,4.9375
2001-02-07,5.0
2001-02-08,4.875
2001-02-09,4.9375
2001-02-12,4.825
2001-02-13,4.8125
2001-02-14,4.77
2001-02-15,4.575
2001-02-16,4.5175
2001-02-20,4.5225
2001-02-21,4.52
2001-02-22,4.5075
2001-02-23,4.6125
2001-02-26,4.75
2001-02-27,4.725
2001-02-28,4.75
2001-03-01,4.675
2001-03-02,4.69
2001-03-05,4.7525
2001-03-06,4.7
2001-03-07,4.7475
2001-03-08,4.7
2001-03-09,4.695
2001-03-12,4.675
2001-03-13,4.6125
2001-03-14,4.475
2001-03-15,4.3575
2001-03-16,4.3375
2001-03-19,4.3
2001-03-20,4.275
2001-03-21,4.1625
2001-03-22,4.4625
2001-03-23,4.575
2001-03-26,4.625
2001-03-27,4.5875
2001-03-28,4.4625
2001-03-29,4.325
2001-03-30,4.625
2001-04-02,4.45
2001-04-03,4.5
2001-04-04,4.4975
2001-04-05,4.53
2001-04-06,4.7125
2001-04-09,4.6525
2001-04-10,4.7625
2001-04-11,5.225
2001-04-12,5.5875
2001-04-16,5.375
2001-04-17,5.375
2001-04-18,5.32
2001-04-19,5.31
2001-04-20,5.25
2001-04-23,5.225
2001-04-24,5.225
2001-04-25,5.2625
2001-04-26,5.245
2001-04-27,5.25
2001-04-30,5.2875
2001-05-01,5.965
2001-05-02,6.115
2001-05-03,6.0
2001-05-04,5.995
2001-05-07,6.0975
2001-05-08,6.2925
2001-05-09,6.0625
2001-05-10,5.9225
2001-05-11,5.7525
2001-05-14,6.0175
2001-05-15,6.175
2001-05-16,6.2625
2001-05-17,6.525
2001-05-18,6.5
2001-05-21,6.575
2001-05-22,6.625
2001-05-23,6.475
2001-05-24,6.275
2001-05-25,6.35
2001-05-29,6.3625
2001-05-30,6.49
2001-05-31,6.575
2001-06-01,6.5125
2001-06-04,6.7
2001-06-05,6.775
2001-06-06,6.7775
2001-06-07,6.88
2001-06-08,6.8375
