Date,HLX
1997-07-01,5.0
1997-07-02,5.0625
1997-07-03,5.09375
1997-07-07,5.4375
1997-07-08,5.625
1997-07-09,5.46875
1997-07-10,5.5
1997-07-11,5.9375
1997-07-14,5.90625
1997-07-15,6.0
1997-07-16,6.0
1997-07-17,6.125
1997-07-18,5.875
1997-07-21,5.5625
1997-07-22,5.75
1997-07-23,5.8125
1997-07-24,5.96875
1997-07-25,6.5625
1997-07-28,6.375
1997-07-29,6.75
1997-07-30,6.75
1997-07-31,6.65625
1997-08-01,7.125
1997-08-04,7.25
1997-08-05,7.375
1997-08-06,7.28125
1997-08-07,7.5625
1997-08-08,6.6875
1997-08-11,6.875
1997-08-12,6.875
1997-08-13,7.0
1997-08-14,7.0
1997-08-15,7.125
1997-08-18,6.75
1997-08-19,7.0
1997-08-20,7.5
1997-08-21,7.15625
1997-08-22,6.9375
1997-08-25,7.09375
1997-08-26,7.125
1997-08-27,7.5
1997-08-28,8.125
1997-08-29,8.5
1997-09-02,8.625
1997-09-03,8.4375
1997-09-04,8.4375
1997-09-05,8.3125
1997-09-08,8.34375
1997-09-09,8.34375
1997-09-10,8.59375
1997-09-11,8.6875
1997-09-12,8.875
1997-09-15,8.839844
1997-09-16,8.84375
1997-09-17,8.75
1997-09-18,8.65625
1997-09-19,8.6875
1997-09-22,8.625
1997-09-23,8.75
1997-09-24,8.5
1997-09-25,8.5625
1997-09-26,8.53125
1997-09-29,8.75
1997-09-30,9.3125
1997-10-01,9.3125
1997-10-02,9.21875
1997-10-03,9.28125
1997-10-06,9.125
1997-10-07,9.0625
1997-10-08,9.3125
1997-10-09,9.125
1997-10-10,8.9375
1997-10-13,9.0
1997-10-14,8.5
1997-10-15,8.125
1997-10-16,8.1875
1997-10-17,8.0
1997-10-20,8.25
1997-10-21,8.5
1997-10-22,8.34375
1997-10-23,8.28125
1997-10-24,8.03125
1997-10-27,7.1875
1997-10-28,7.625
1997-10-29,7.8125
1997-10-30,7.75
1997-10-31,7.8125
1997-11-03,8.5
1997-11-04,8.375
1997-11-05,8.46875
1997-11-06,8.59375
1997-11-07,8.375
1997-11-10,8.4375
1997-11-11,8.40625
1997-11-12,8.375
1997-11-13,7.6875
1997-11-14,7.8125
1997-11-17,8.0
1997-11-18,7.875
1997-11-19,7.75
1997-11-20,7.90625
1997-11-21,7.75
1997-11-24,7.25
1997-11-25,7.25
1997-11-26,7.28125
1997-11-28,7.375
1997-12-01,7.375
1997-12-02,7.25
1997-12-03,7.25
1997-12-04,6.90625
1997-12-05,7.0
1997-12-08,7.0
1997-12-09,7.15625
1997-12-10,7.0
1997-12-11,6.75
1997-12-12,6.5625
1997-12-15,6.1875
1997-12-16,5.8125
1997-12-17,5.6875
1997-12-18,5.8125
1997-12-19,6.3125
1997-12-22,5.75
1997-12-23,5.8125
1997-12-24,5.71875
1997-12-26,5.9375
1997-12-29,5.78125
1997-12-30,6.25
1997-12-31,6.125
1998-01-02,6.15625
1998-01-05,6.1875
1998-01-06,6.09375
1998-01-07,5.9375
1998-01-08,5.9375
1998-01-09,6.0625
1998-01-12,5.8125
1998-01-13,5.9375
1998-01-14,6.0625
1998-01-15,6.09375
1998-01-16,6.25
1998-01-20,6.25
1998-01-21,6.3125
1998-01-22,6.0
1998-01-23,6.125
1998-01-26,6.125
1998-01-27,6.3125
1998-01-28,6.125
1998-01-29,6.3125
1998-01-30,6.125
1998-02-02,6.375
1998-02-03,6.6875
1998-02-04,6.875
1998-02-05,7.125
1998-02-06,7.125
1998-02-09,7.0625
1998-02-10,7.0625
1998-02-11,7.125
1998-02-12,7.1875
1998-02-13,7.09375
1998-02-17,7.0625
1998-02-18,7.125
1998-02-19,7.125
1998-02-20,6.625
1998-02-23,6.5
1998-02-24,6.5
1998-02-25,6.5
1998-02-26,6.625
1998-02-27,6.75
1998-03-02,6.9375
1998-03-03,7.25
1998-03-04,7.125
1998-03-05,6.90625
1998-03-06,7.0625
1998-03-09,6.9375
1998-03-10,6.9375
1998-03-11,7.0
1998-03-12,6.875
1998-03-13,6.8125
1998-03-16,6.5
1998-03-17,6.5
1998-03-18,6.90625
1998-03-19,7.0
1998-03-20,7.25
1998-03-23,7.75
1998-03-24,7.5
1998-03-25,7.375
1998-03-26,8.125
1998-03-27,8.0
