Date,SUN
2013-08-22,28.91
2013-08-23,28.690001000000002
2013-08-26,28.85
2013-08-27,29.65
2013-08-28,29.950001
2013-08-29,30.49
2013-08-30,30.889999
2013-09-03,31.690001000000002
2013-09-04,31.52
2013-09-05,30.83
2013-09-06,31.110001
2013-09-09,31.209999
2013-09-10,31.4
2013-09-11,31.299999
2013-09-12,30.610001
2013-09-13,30.9
2013-09-16,30.950001
2013-09-17,31.200001
2013-09-18,31.030001000000002
2013-09-19,31.17
2013-09-20,30.25
2013-09-23,30.0
2013-09-24,30.120001000000002
2013-09-25,30.33
2013-09-26,30.219998999999998
2013-09-27,30.59
2013-09-30,30.120001000000002
2013-10-01,31.780001000000002
2013-10-02,31.719998999999998
2013-10-03,31.26
2013-10-04,31.450001
2013-10-07,30.610001
2013-10-08,30.219998999999998
2013-10-09,31.379998999999998
2013-10-10,31.26
2013-10-11,30.950001
2013-10-14,30.700001
2013-10-15,30.889999
2013-10-16,31.0
2013-10-17,31.5
2013-10-18,31.43
2013-10-21,31.34
2013-10-22,31.48
2013-10-23,31.6
2013-10-24,31.450001
2013-10-25,31.139999
2013-10-28,31.24
2013-10-29,31.559998999999998
2013-10-30,31.440001000000002
2013-10-31,31.07
2013-11-01,31.1
2013-11-04,31.1
2013-11-05,31.0
2013-11-06,32.700001
2013-11-07,32.700001
2013-11-08,33.27
2013-11-11,32.709998999999996
2013-11-12,33.02
2013-11-13,33.389998999999996
2013-11-14,32.790001000000004
2013-11-15,32.32
2013-11-18,33.16
2013-11-19,33.5
2013-11-20,33.450001
2013-11-21,33.299999
2013-11-22,33.400002
2013-11-25,33.279999
2013-11-26,32.82
2013-11-27,33.389998999999996
2013-11-29,33.650002
2013-12-02,32.459998999999996
2013-12-03,32.150002
2013-12-04,31.92
2013-12-05,32.110001000000004
2013-12-06,32.189999
2013-12-09,32.240002000000004
2013-12-10,32.259997999999996
2013-12-11,32.299999
2013-12-12,32.68
2013-12-13,32.560001
2013-12-16,32.23
2013-12-17,32.41
2013-12-18,32.540001000000004
2013-12-19,32.220001
2013-12-20,33.389998999999996
2013-12-23,34.0
2013-12-24,33.860001000000004
2013-12-26,33.950001
2013-12-27,34.0
2013-12-30,33.200001
2013-12-31,33.099998
2014-01-02,32.830002
2014-01-03,33.02
2014-01-06,32.360001000000004
2014-01-07,33.119999
2014-01-08,33.049999
2014-01-09,33.139998999999996
2014-01-10,33.849998
2014-01-13,34.41
2014-01-14,34.060001
2014-01-15,34.740002000000004
2014-01-16,34.259997999999996
2014-01-17,33.84
2014-01-21,33.5
2014-01-22,34.169998
2014-01-23,34.619999
2014-01-24,34.369999
2014-01-27,34.41
2014-01-28,33.900002
2014-01-29,33.560001
2014-01-30,34.400002
2014-01-31,34.630001
2014-02-03,33.799999
2014-02-04,34.16
2014-02-05,34.380001
2014-02-06,34.389998999999996
2014-02-07,35.0
2014-02-10,35.099998
2014-02-11,35.049999
2014-02-12,35.119999
2014-02-13,35.099998
2014-02-14,35.23
2014-02-18,35.279999
2014-02-19,35.310001
2014-02-20,35.439999
2014-02-21,36.150002
2014-02-24,36.830002
2014-02-25,36.57
2014-02-26,36.07
2014-02-27,35.849998
2014-02-28,35.41
2014-03-03,36.040001000000004
2014-03-04,37.220001
2014-03-05,37.060001
2014-03-06,36.630001
2014-03-07,36.900002
2014-03-10,37.130001
2014-03-11,36.830002
2014-03-12,36.470001
2014-03-13,35.849998
2014-03-14,35.41
2014-03-17,35.470001
2014-03-18,34.32
2014-03-19,32.959998999999996
2014-03-20,32.73
2014-03-21,34.950001
2014-03-24,35.150002
2014-03-25,34.720001
2014-03-26,34.599998
2014-03-27,34.669998
2014-03-28,35.080002
2014-03-31,35.150002
2014-04-01,35.599998
2014-04-02,35.959998999999996
2014-04-03,36.119999
2014-04-04,36.369999
2014-04-07,36.490002000000004
2014-04-08,36.639998999999996
2014-04-09,36.380001
2014-04-10,36.040001000000004
2014-04-11,36.07
2014-04-14,36.310001
2014-04-15,36.400002
2014-04-16,36.459998999999996
2014-04-17,36.459998999999996
2014-04-21,36.599998
2014-04-22,36.889998999999996
2014-04-23,36.880001
2014-04-24,36.939999
2014-04-25,36.869999
2014-04-28,44.970001
2014-04-29,42.700001
2014-04-30,41.700001
2014-05-01,42.950001
2014-05-02,42.439999
2014-05-05,42.790001000000004
2014-05-06,42.240002000000004
2014-05-07,42.990002000000004
2014-05-08,42.380001
2014-05-09,42.5
2014-05-12,43.889998999999996
2014-05-13,44.450001
2014-05-14,44.5
2014-05-15,44.23
2014-05-16,43.860001000000004
2014-05-19,44.900002
2014-05-20,45.27
2014-05-21,45.619999
2014-05-22,46.080002
2014-05-23,46.490002000000004
2014-05-27,46.049999
2014-05-28,46.310001
2014-05-29,46.400002
2014-05-30,47.200001
2014-06-02,47.18
2014-06-03,47.32
2014-06-04,46.939999
2014-06-05,46.110001000000004
2014-06-06,46.310001
2014-06-09,45.18
2014-06-10,44.959998999999996
2014-06-11,45.849998
2014-06-12,46.0
2014-06-13,45.73
2014-06-16,45.5
2014-06-17,45.029999
2014-06-18,45.209998999999996
2014-06-19,44.970001
2014-06-20,45.560001
2014-06-23,45.75
2014-06-24,46.400002
2014-06-25,46.23
2014-06-26,46.400002
2014-06-27,46.900002
2014-06-30,46.93
2014-07-01,46.939999
2014-07-02,47.25
2014-07-03,47.689999
2014-07-07,47.900002
2014-07-08,48.0
2014-07-09,48.860001000000004
2014-07-10,49.349998
2014-07-11,49.5
2014-07-14,50.25
2014-07-15,49.98
2014-07-16,50.049999
2014-07-17,51.490002000000004
2014-07-18,51.389998999999996
2014-07-21,51.189999
2014-07-22,50.330002
2014-07-23,50.720001
2014-07-24,50.900002
2014-07-25,51.009997999999996
2014-07-28,51.139998999999996
2014-07-29,51.200001
2014-07-30,51.16
2014-07-31,51.099998
2014-08-01,50.380001
2014-08-04,51.220001
2014-08-05,50.84
2014-08-06,50.84
2014-08-07,51.380001
2014-08-08,51.75
2014-08-11,52.68
2014-08-12,54.5
2014-08-13,56.02
2014-08-14,55.880001
2014-08-15,56.009997999999996
2014-08-18,57.799999
2014-08-19,57.490002000000004
2014-08-20,58.0
2014-08-21,58.25
2014-08-22,59.27
2014-08-25,59.240002000000004
2014-08-26,58.970001
2014-08-27,57.150002
2014-08-28,57.209998999999996
2014-08-29,57.080002
2014-09-02,56.98
2014-09-03,55.970001
2014-09-04,53.52
2014-09-05,52.970001
2014-09-08,51.110001000000004
2014-09-09,51.98
2014-09-10,50.66
2014-09-11,50.889998999999996
2014-09-12,52.599998
2014-09-15,52.41
2014-09-16,52.669998
2014-09-17,52.73
2014-09-18,53.099998
2014-09-19,53.869999
2014-09-22,53.869999
2014-09-23,53.84
2014-09-24,53.220001
2014-09-25,52.240002000000004
2014-09-26,54.5
2014-09-29,54.869999
2014-09-30,55.0
2014-10-01,54.779999
2014-10-02,55.290001000000004
2014-10-03,55.0
2014-10-06,54.950001
2014-10-07,52.209998999999996
2014-10-08,50.400002
2014-10-09,48.400002
2014-10-10,45.049999
2014-10-13,44.25
2014-10-14,44.0
2014-10-15,45.470001
2014-10-16,49.580002
2014-10-17,50.209998999999996
2014-10-20,49.799999
2014-10-21,46.43
2014-10-22,45.419998
2014-10-23,45.310001
2014-10-24,46.0
2014-10-27,46.200001
2014-10-28,46.380001
2014-10-29,46.200001
2014-10-30,45.790001000000004
2014-10-31,46.07
2014-11-03,45.41
2014-11-04,44.970001
2014-11-05,45.0
2014-11-06,44.400002
2014-11-07,45.610001000000004
2014-11-10,45.5
2014-11-11,45.049999
2014-11-12,45.27
2014-11-13,45.48
2014-11-14,45.669998
2014-11-17,45.689999
2014-11-18,45.950001
