Date,HBI
2006-09-06,5.2775
2006-09-07,5.525
2006-09-08,5.515
2006-09-11,5.435
2006-09-12,5.4825
2006-09-13,5.6375
2006-09-14,5.4525
2006-09-15,5.3175
2006-09-18,5.415
2006-09-19,5.35
2006-09-20,5.55
2006-09-21,5.4375
2006-09-22,5.535
2006-09-25,5.5675
2006-09-26,5.5925
2006-09-27,5.65
2006-09-28,5.6125
2006-09-29,5.6275
2006-10-02,5.6225
2006-10-03,5.6275
2006-10-04,5.675
2006-10-05,5.7875
2006-10-06,5.73
2006-10-09,5.745
2006-10-10,5.67
2006-10-11,5.6625
2006-10-12,5.75
2006-10-13,5.8375
2006-10-16,5.75
2006-10-17,5.7
2006-10-18,5.7475
2006-10-19,5.75
2006-10-20,5.81
2006-10-23,5.8875
2006-10-24,5.9525
2006-10-25,5.95
2006-10-26,6.0675
2006-10-27,6.1125
2006-10-30,6.0625
2006-10-31,5.9
2006-11-01,5.755
2006-11-02,5.8875
2006-11-03,5.7425
2006-11-06,5.7
2006-11-07,5.5825
2006-11-08,5.5325
2006-11-09,5.535
2006-11-10,5.6325
2006-11-13,5.64
2006-11-14,5.87
2006-11-15,5.945
2006-11-16,6.01
2006-11-17,6.0
2006-11-20,6.07
2006-11-21,6.0375
2006-11-22,6.12
2006-11-24,6.1125
2006-11-27,6.01
2006-11-28,6.005
2006-11-29,6.0
2006-11-30,6.0975
2006-12-01,6.1775
2006-12-04,5.97
2006-12-05,6.02
2006-12-06,5.9825
2006-12-07,5.9625
2006-12-08,5.9275
2006-12-11,5.9925
2006-12-12,5.9525
2006-12-13,6.0125
2006-12-14,5.9775
2006-12-15,5.9275
2006-12-18,5.89
2006-12-19,5.785
2006-12-20,5.855
2006-12-21,5.7375
2006-12-22,5.8375
2006-12-26,5.9
2006-12-27,5.9625
2006-12-28,6.0025
2006-12-29,5.905
2007-01-03,6.01
2007-01-04,6.02
2007-01-05,6.0575
2007-01-08,6.2025
2007-01-09,6.1725
2007-01-10,6.175
2007-01-11,6.23
2007-01-12,6.305
2007-01-16,6.425
2007-01-17,6.3975
2007-01-18,6.4075
2007-01-19,6.3675
2007-01-22,6.3675
2007-01-23,6.385
2007-01-24,6.485
2007-01-25,6.455
2007-01-26,6.4725
2007-01-29,6.4425
2007-01-30,6.44
2007-01-31,6.395
2007-02-01,6.29
2007-02-02,6.33
2007-02-05,6.275
2007-02-06,6.25
2007-02-07,6.275
2007-02-08,6.2725
2007-02-09,6.3
2007-02-12,6.485
2007-02-13,6.58
2007-02-14,6.66
2007-02-15,6.6875
2007-02-16,6.695
2007-02-20,6.675
2007-02-21,6.78
2007-02-22,6.7575
2007-02-23,6.7675
2007-02-26,6.855
2007-02-27,6.875
