Date,OGZPY
2006-01-03,14.75
2006-01-04,15.53
2006-01-05,16.0
2006-01-06,16.040001
2006-01-09,16.6
2006-01-10,16.68
2006-01-11,17.049999
2006-01-12,19.0
2006-01-13,18.299999
2006-01-17,17.629998999999998
2006-01-18,17.0
2006-01-19,17.450001
2006-01-20,17.700001
2006-01-23,17.6
2006-01-24,18.15
2006-01-25,18.700001
2006-01-26,18.299999
2006-01-27,18.15
2006-01-30,17.4
2006-01-31,17.059998999999998
2006-02-01,17.200001
2006-02-02,16.9
2006-02-03,17.049999
2006-02-06,17.15
2006-02-07,16.9
2006-02-08,17.040001
2006-02-09,17.049999
2006-02-10,17.049999
2006-02-13,17.129998999999998
2006-02-14,16.860001
2006-02-15,16.9
2006-02-16,17.15
2006-02-17,17.389999
2006-02-21,17.6
2006-02-22,17.4
2006-02-23,17.6
2006-02-24,17.6
2006-02-27,17.5
2006-02-28,17.0
2006-03-01,16.9
2006-03-02,17.5
2006-03-03,18.1
2006-03-06,18.4
2006-03-07,17.17
2006-03-08,16.700001
2006-03-09,16.799999
2006-03-10,16.700001
2006-03-13,17.15
2006-03-14,16.799999
2006-03-15,17.18
2006-03-16,17.4
2006-03-17,18.0
2006-03-20,18.0
2006-03-21,17.74
2006-03-22,18.1
2006-03-23,18.1
2006-03-24,18.25
2006-03-27,18.299999
2006-03-28,18.0
2006-03-29,18.049999
2006-03-30,18.549999
2006-03-31,18.35
2006-04-03,18.4
2006-04-04,18.6
2006-04-05,19.0
2006-04-06,19.27
2006-04-07,20.0
2006-04-10,20.6
2006-04-11,20.0
2006-04-12,20.0
2006-04-13,19.799999
2006-04-17,20.450001
2006-04-18,20.5
2006-04-19,20.875
2006-04-20,20.6
2006-04-21,20.549999
2006-04-24,21.025
2006-04-25,21.25
2006-04-26,22.5
2006-04-27,22.875
2006-04-28,23.0
2006-05-01,23.565001000000002
2006-05-02,24.555
2006-05-03,23.75
2006-05-04,24.65
2006-05-05,25.5
2006-05-08,26.5
2006-05-09,25.575001
2006-05-10,24.825001
2006-05-11,24.075001
2006-05-12,23.549999
2006-05-15,22.375
2006-05-16,22.924999
2006-05-17,21.5
2006-05-18,21.075001
2006-05-19,20.75
2006-05-22,18.375
2006-05-23,20.075001
2006-05-24,19.049999
2006-05-25,20.799999
2006-05-26,21.75
2006-05-30,21.4
2006-05-31,21.325001
2006-06-01,21.5
2006-06-02,22.75
2006-06-05,21.9
2006-06-06,20.625
2006-06-07,20.625
2006-06-08,19.125
2006-06-09,19.0
2006-06-12,18.375
2006-06-13,16.795
2006-06-14,17.950001
2006-06-15,19.75
2006-06-16,19.049999
2006-06-19,18.875
2006-06-20,19.375
2006-06-21,19.625
2006-06-22,19.625
2006-06-23,19.450001
2006-06-26,19.299999
2006-06-27,19.875
2006-06-28,19.75
2006-06-29,20.9
2006-06-30,21.375
2006-07-03,21.5
2006-07-05,20.4
2006-07-06,21.25
2006-07-07,20.75
2006-07-10,21.125
2006-07-11,20.875
2006-07-12,20.75
2006-07-13,19.375
2006-07-14,20.125
2006-07-17,18.950001
2006-07-18,19.51
2006-07-19,20.0
2006-07-20,19.875
2006-07-21,19.625
2006-07-24,20.5
2006-07-25,20.295
2006-07-26,20.275
2006-07-27,20.9
2006-07-28,21.15
2006-07-31,20.879998999999998
2006-08-01,20.875
2006-08-02,21.25
2006-08-03,21.450001
2006-08-04,21.875
2006-08-07,22.32
2006-08-08,22.25
2006-08-09,22.75
2006-08-10,23.0
2006-08-11,23.174999
2006-08-14,23.200001
2006-08-15,23.405001000000002
2006-08-16,23.325001
2006-08-17,23.125
2006-08-18,22.25
2006-08-21,22.5
2006-08-22,23.125
2006-08-23,23.0
2006-08-24,23.375
2006-08-25,23.4
2006-08-28,22.9
2006-08-29,23.0
2006-08-30,23.549999
2006-08-31,23.375
2006-09-01,23.125
2006-09-05,23.5
2006-09-06,22.75
2006-09-07,21.75
2006-09-08,22.375
2006-09-11,21.25
2006-09-12,21.75
2006-09-13,21.875
2006-09-14,21.950001
2006-09-15,21.549999
2006-09-18,21.825001
2006-09-19,22.049999
2006-09-20,21.0
2006-09-21,20.975
2006-09-22,19.975
2006-09-25,20.0
2006-09-26,20.575001
2006-09-27,21.25
2006-09-28,21.85
2006-09-29,21.875
2006-10-02,21.65
2006-10-03,21.125
2006-10-04,21.625
2006-10-05,22.1
2006-10-06,21.75
2006-10-09,22.0
2006-10-10,21.855
2006-10-11,21.75
2006-10-12,21.775
2006-10-13,22.440001000000002
2006-10-16,22.375
2006-10-17,21.75
2006-10-18,22.125
2006-10-19,22.625
2006-10-20,22.125
2006-10-23,22.1
2006-10-24,22.025
2006-10-25,22.15
2006-10-26,21.875
2006-10-27,21.25
2006-10-30,20.700001
2006-10-31,21.299999
2006-11-01,21.625
2006-11-02,21.700001
2006-11-03,21.75
2006-11-06,22.125
2006-11-07,21.875
2006-11-08,21.950001
2006-11-09,22.1
2006-11-10,21.9
2006-11-13,21.924999
2006-11-14,22.15
2006-11-15,21.875
2006-11-16,22.0
2006-11-17,21.5
2006-11-20,21.375
2006-11-21,21.799999
2006-11-22,21.875
2006-11-24,21.875
2006-11-27,22.125
2006-11-28,22.625
2006-11-29,23.75
2006-11-30,23.575001
2006-12-01,23.25
2006-12-04,23.25
2006-12-05,23.754998999999998
2006-12-06,23.75
2006-12-07,23.5
2006-12-08,23.575001
2006-12-11,23.200001
2006-12-12,22.475
2006-12-13,22.475
2006-12-14,23.0
2006-12-15,23.35
2006-12-18,22.879998999999998
2006-12-19,22.799999
2006-12-20,23.1
2006-12-21,23.299999
2006-12-22,23.549999
2006-12-26,23.625
2006-12-27,23.200001
2006-12-28,23.24
2006-12-29,23.200001
2007-01-03,24.125
2007-01-04,23.625
2007-01-05,22.75
2007-01-08,22.85
2007-01-09,21.875
2007-01-10,21.799999
2007-01-11,22.25
2007-01-12,21.6
2007-01-16,21.549999
2007-01-17,21.15
2007-01-18,21.25
2007-01-19,21.75
2007-01-22,21.924999
