Date,CKHUY
2015-06-09,23.059998999999998
2015-06-10,23.0
2015-06-11,23.0
2015-06-12,23.110001
2015-06-15,23.040001
2015-06-16,23.145
2015-06-17,23.379998999999998
2015-06-18,23.59
2015-06-19,23.799999
2015-06-22,23.65
2015-06-23,23.9
2015-06-24,23.684998999999998
2015-06-25,23.747999
2015-06-26,23.35
2015-06-29,22.940001000000002
2015-06-30,23.190001000000002
2015-07-01,14.395
2015-07-02,14.57
2015-07-06,14.1
2015-07-07,13.98
2015-07-08,13.4
2015-07-09,13.81
2015-07-10,14.145
2015-07-13,14.545
2015-07-14,14.305
2015-07-15,14.37
2015-07-16,14.35
2015-07-17,14.78
2015-07-20,14.77
2015-07-21,14.77
2015-07-22,14.63
2015-07-23,14.66
2015-07-24,14.58
2015-07-27,14.18
2015-07-28,14.353
2015-07-29,14.5
2015-07-30,14.55
2015-07-31,14.86
2015-08-03,14.62
2015-08-04,14.69
2015-08-05,14.59
2015-08-06,14.66
2015-08-07,14.77
2015-08-10,14.99
2015-08-11,14.59
2015-08-12,14.305
2015-08-13,14.315
2015-08-14,14.67
2015-08-17,14.51
2015-08-18,14.19
2015-08-19,13.98
2015-08-20,13.435
2015-08-21,12.995
2015-08-24,12.57
2015-08-25,13.21
2015-08-26,13.25
2015-08-27,13.67
2015-08-28,13.47
2015-08-31,13.19
2015-09-01,12.74
2015-09-02,13.13
2015-09-03,13.28
2015-09-04,12.95
2015-09-08,13.58
2015-09-09,13.93
2015-09-10,13.875
2015-09-11,13.51
2015-09-14,13.455
2015-09-15,13.445
2015-09-16,13.78
2015-09-17,13.37
2015-09-18,13.18
2015-09-21,13.24
2015-09-22,13.12
2015-09-23,12.98
2015-09-24,12.91
2015-09-25,12.95
2015-09-28,12.71
2015-09-29,12.62
2015-09-30,13.01
2015-10-01,13.045
2015-10-02,13.43
2015-10-05,13.55
2015-10-06,13.325
2015-10-07,13.29
2015-10-08,13.33
2015-10-09,13.2
2015-10-12,13.435
2015-10-13,13.46
2015-10-14,13.5
2015-10-15,13.99
2015-10-16,13.925
2015-10-19,13.805
2015-10-20,13.655
2015-10-21,13.56
2015-10-22,13.98
2015-10-23,14.12
2015-10-26,13.67
2015-10-27,13.765
2015-10-28,13.81
2015-10-29,13.66
2015-10-30,13.71
2015-11-02,13.46
2015-11-03,13.5
2015-11-04,13.62
2015-11-05,13.55
2015-11-06,13.365
2015-11-09,13.17
2015-11-10,12.98
2015-11-11,13.03
2015-11-12,13.12
2015-11-13,12.935
2015-11-16,13.07
2015-11-17,13.04
2015-11-18,13.11
2015-11-19,13.25
2015-11-20,13.365
2015-11-23,13.34
2015-11-24,13.32
2015-11-25,13.3
2015-11-27,12.985
2015-11-30,13.15
2015-12-01,13.265
2015-12-02,13.21
2015-12-03,13.11
2015-12-04,13.35
2015-12-07,13.2
2015-12-08,12.95
2015-12-09,12.95
2015-12-10,12.95
2015-12-11,12.825
2015-12-14,13.06
2015-12-15,12.97
2015-12-16,13.25
2015-12-17,12.95
2015-12-18,13.215
2015-12-21,13.205
2015-12-22,13.33
2015-12-23,13.515
2015-12-24,13.485
