Date,BMBLF
2008-06-24,7.47
2008-06-25,7.47
2008-06-26,7.47
2008-06-27,7.47
2008-06-30,7.47
2008-07-01,7.47
2008-07-02,7.47
2008-07-03,7.47
2008-07-07,7.47
2008-07-08,7.47
2008-07-09,7.47
2008-07-10,7.47
2008-07-11,7.47
2008-07-14,7.47
2008-07-15,7.55
2008-07-16,7.55
2008-07-17,7.55
2008-07-18,7.55
2008-07-21,7.95
2008-07-22,7.95
2008-07-23,7.75
2008-07-24,8.0
2008-07-25,8.0
2008-07-28,8.0
2008-07-29,8.0
2008-07-30,8.0
2008-07-31,8.0
2008-08-01,8.0
2008-08-04,8.0
2008-08-05,7.55
2008-08-06,7.55
2008-08-07,7.55
2008-08-08,7.55
2008-08-11,7.55
2008-08-12,7.8
2008-08-13,7.8
2008-08-14,7.8
2008-08-15,7.25
2008-08-18,7.25
2008-08-19,7.25
2008-08-20,7.25
2008-08-21,7.25
2008-08-22,7.25
2008-08-25,7.25
2008-08-26,5.98
2008-08-27,5.98
2008-08-28,5.98
2008-08-29,5.98
2008-09-02,5.98
2008-09-03,6.35
2008-09-04,6.35
2008-09-05,6.35
2008-09-08,6.35
2008-09-09,6.35
2008-09-10,6.3
2008-09-11,6.3
2008-09-12,6.3
2008-09-15,6.3
2008-09-16,6.3
2008-09-17,6.31
2008-09-18,6.31
2008-09-19,6.31
2008-09-22,6.9
2008-09-23,6.9
2008-09-24,6.9
2008-09-25,6.9
2008-09-26,6.9
2008-09-29,6.37
2008-09-30,6.37
2008-10-01,6.37
2008-10-02,6.02
2008-10-03,6.02
2008-10-06,5.0
2008-10-07,5.25
2008-10-08,5.2
2008-10-09,5.1
2008-10-10,5.1
2008-10-13,5.1
2008-10-14,5.85
2008-10-15,5.85
2008-10-16,5.85
2008-10-17,5.05
2008-10-20,5.3
2008-10-21,5.3
2008-10-22,5.3
2008-10-23,5.3
2008-10-24,5.3
2008-10-27,4.65
2008-10-28,5.0
2008-10-29,5.0
2008-10-30,5.25
2008-10-31,5.25
2008-11-03,5.75
2008-11-04,5.75
2008-11-05,5.75
2008-11-06,5.75
2008-11-07,5.66
2008-11-10,5.66
2008-11-11,5.66
2008-11-12,5.66
2008-11-13,5.66
2008-11-14,5.66
2008-11-17,5.66
2008-11-18,5.66
2008-11-19,5.66
2008-11-20,5.66
2008-11-21,4.25
2008-11-24,4.55
2008-11-25,4.55
2008-11-26,4.15
