Date,MEDI
2006-09-14,4.01
2006-09-15,
2006-09-18,
2006-09-19,4.5
2006-09-20,4.53
2006-09-21,4.7
2006-09-22,
2006-09-25,4.57
2006-09-26,4.35
2006-09-27,4.24
2006-09-28,4.08
2006-09-29,
2006-10-02,3.69
2006-10-03,3.7
2006-10-04,3.74
2006-10-05,3.71
2006-10-06,
2006-10-09,
2006-10-10,3.74
2006-10-11,3.71
2006-10-12,3.64
2006-10-13,
2006-10-16,
2006-10-17,3.45
2006-10-18,3.62
2006-10-19,3.79
2006-10-20,
2006-10-23,
2006-10-24,
2006-10-25,
2006-10-26,
2006-10-27,
2006-10-30,
2006-10-31,3.31
2006-11-01,3.15
2006-11-02,3.3
2006-11-03,
2006-11-06,
2006-11-07,3.41
2006-11-08,3.45
2006-11-09,3.29
2006-11-10,
2006-11-13,3.26
2006-11-14,3.16
2006-11-15,
2006-11-16,3.01
2006-11-17,
2006-11-20,2.8
2006-11-21,2.79
2006-11-22,2.65
2006-11-24,
2006-11-27,
2006-11-28,2.5
2006-11-29,2.38
2006-11-30,2.49
2006-12-01,
2006-12-04,2.48
2006-12-05,2.36
2006-12-06,2.4
2006-12-07,2.44
2006-12-08,
2006-12-11,2.31
2006-12-12,
2006-12-13,2.21
2006-12-14,2.32
2006-12-15,
2006-12-18,2.55
2006-12-19,
2006-12-20,2.8
2006-12-21,2.81
2006-12-22,
2006-12-26,
2006-12-27,3.05
2006-12-28,
2006-12-29,
2007-01-03,
2007-01-04,
2007-01-05,
2007-01-08,3.02
2007-01-09,2.87
2007-01-10,
2007-01-11,2.63
2007-01-12,
2007-01-16,2.53
2007-01-17,
2007-01-18,2.6
2007-01-19,
2007-01-22,
2007-01-23,2.64
2007-01-24,2.66
2007-01-25,2.62
2007-01-26,
2007-01-29,2.7
2007-01-30,
2007-01-31,2.63
2007-02-01,2.62
2007-02-02,
2007-02-05,2.66
2007-02-06,2.58
2007-02-07,2.52
2007-02-08,2.6
2007-02-09,
2007-02-12,2.64
2007-02-13,2.61
2007-02-14,2.6
2007-02-15,2.59
2007-02-16,
2007-02-20,2.49
2007-02-21,2.5
2007-02-22,2.49
2007-02-23,
2007-02-26,
2007-02-27,2.5
2007-02-28,2.46
2007-03-01,2.48
2007-03-02,
2007-03-05,2.54
2007-03-06,2.52
2007-03-07,2.45
2007-03-08,2.48
2007-03-09,
2007-03-12,2.49
2007-03-13,2.49
2007-03-14,
2007-03-15,2.55
2007-03-16,
2007-03-19,2.8
2007-03-20,2.94
2007-03-21,3.08
2007-03-22,3.23
2007-03-23,
2007-03-26,3.1
2007-03-27,3.04
2007-03-28,2.92
2007-03-29,2.79
2007-03-30,
2007-04-02,2.7
2007-04-03,2.68
2007-04-04,2.74
2007-04-05,2.87
2007-04-09,2.97
2007-04-10,2.85
2007-04-11,
2007-04-12,2.85
2007-04-13,
2007-04-16,
2007-04-17,2.88
2007-04-18,2.83
2007-04-19,2.75
2007-04-20,
2007-04-23,2.75
2007-04-24,2.88
2007-04-25,2.86
2007-04-26,2.83
2007-04-27,
2007-04-30,2.97
2007-05-01,
2007-05-02,3.01
2007-05-03,3.16
2007-05-04,
2007-05-07,3.3
2007-05-08,3.14
2007-05-09,3.09
2007-05-10,3.14
2007-05-11,
2007-05-14,3.23
2007-05-15,3.39
2007-05-16,3.55
2007-05-17,3.47
2007-05-18,
2007-05-21,3.31
2007-05-22,3.32
2007-05-23,
2007-05-24,3.14
2007-05-25,
2007-05-29,3.19
2007-05-30,3.03
2007-05-31,2.88
2007-06-01,
2007-06-04,
2007-06-05,2.72
2007-06-06,2.59
2007-06-07,2.71
2007-06-08,
2007-06-11,2.95
2007-06-12,2.96
2007-06-13,2.82
2007-06-14,2.7
2007-06-15,
2007-06-18,2.66
2007-06-19,2.63
2007-06-20,
2007-06-21,2.63
2007-06-22,
2007-06-25,
2007-06-26,2.41
2007-06-27,2.4
2007-06-28,2.36
2007-06-29,
2007-07-02,2.47
2007-07-03,2.46
2007-07-05,2.41
2007-07-06,
2007-07-09,2.41
2007-07-10,2.44
2007-07-11,2.4
2007-07-12,2.38
2007-07-13,
2007-07-16,2.35
2007-07-17,2.31
2007-07-18,2.33
2007-07-19,2.4
2007-07-20,
2007-07-23,2.35
2007-07-24,2.32
2007-07-25,2.31
2007-07-26,2.2
2007-07-27,
2007-07-30,2.19
2007-07-31,
2007-08-01,2.18
2007-08-02,2.1
2007-08-03,
2007-08-06,2.15
2007-08-07,2.13
2007-08-08,
2007-08-09,2.17
2007-08-10,
2007-08-13,2.1
2007-08-14,
2007-08-15,2.13
2007-08-16,2.12
2007-08-17,
2007-08-20,2.11
2007-08-21,2.1
2007-08-22,2.1
2007-08-23,2.09
2007-08-24,
2007-08-27,2.08
2007-08-28,
2007-08-29,2.0
2007-08-30,2.02
2007-08-31,
2007-09-04,2.11
2007-09-05,2.21
2007-09-06,2.32
2007-09-07,
2007-09-10,2.2
2007-09-11,
2007-09-12,2.08
2007-09-13,2.01
2007-09-14,
2007-09-17,
2007-09-18,2.17
2007-09-19,
2007-09-20,2.07
2007-09-21,
2007-09-24,2.13
2007-09-25,
2007-09-26,2.09
2007-09-27,2.08
2007-09-28,
2007-10-01,
2007-10-02,2.02
2007-10-03,2.05
2007-10-04,2.01
2007-10-05,
2007-10-08,
2007-10-09,2.02
2007-10-10,2.04
2007-10-11,2.1
2007-10-12,
2007-10-15,
2007-10-16,
2007-10-17,2.05
2007-10-18,2.08
2007-10-19,
2007-10-22,2.28
2007-10-23,2.22
2007-10-24,2.19
2007-10-25,2.15
2007-10-26,
2007-10-29,2.06
2007-10-30,2.16
2007-10-31,2.18
2007-11-01,2.13
2007-11-02,
2007-11-05,2.31
2007-11-06,2.27
2007-11-07,
2007-11-08,2.27
2007-11-09,
2007-11-12,2.27
2007-11-13,2.36
2007-11-14,
2007-11-15,2.37
2007-11-16,
2007-11-19,2.27
2007-11-20,
2007-11-21,2.16
2007-11-23,
2007-11-26,2.35
2007-11-27,
2007-11-28,2.3
2007-11-29,2.3
2007-11-30,
2007-12-03,2.25
2007-12-04,
2007-12-05,2.32
2007-12-06,2.28
2007-12-07,
2007-12-10,2.3
2007-12-11,2.4
2007-12-12,2.33
2007-12-13,2.29
2007-12-14,
2007-12-17,2.27
2007-12-18,
2007-12-19,
2007-12-20,
2007-12-21,
2007-12-24,2.25
2007-12-26,2.28
2007-12-27,2.17
2007-12-28,
2007-12-31,
2008-01-02,0.8
2008-01-03,0.85
2008-01-04,0.8
2008-01-07,0.9
2008-01-08,0.95
2008-01-09,3.01
2008-01-10,0.95
2008-01-11,1.0
2008-01-14,1.15
2008-01-15,1.0
2008-01-16,1.1
2008-01-17,0.95
2008-01-18,0.95
2008-01-22,1.0
2008-01-23,3.97
2008-01-24,3.91
2008-01-25,
2008-01-28,
2008-01-29,1.1
2008-01-30,
2008-01-31,1.0
2008-02-01,
2008-02-04,4.0
2008-02-05,4.1
2008-02-06,4.01
2008-02-07,3.87
2008-02-08,
2008-02-11,
2008-02-12,3.99
2008-02-13,3.81
2008-02-14,3.8
2008-02-15,0.85
2008-02-19,3.89
2008-02-20,4.08
2008-02-21,4.12
2008-02-22,0.85
2008-02-25,4.24
2008-02-26,4.4
2008-02-27,4.2
2008-02-28,4.03
2008-02-29,0.8
2008-03-03,
2008-03-04,4.36
2008-03-05,
2008-03-06,4.19
2008-03-07,0.8
2008-03-10,
2008-03-11,4.54
2008-03-12,
2008-03-13,0.8
2008-03-14,0.95
2008-03-17,4.57
2008-03-18,0.8
2008-03-19,
2008-03-20,
2008-03-24,4.5
2008-03-25,0.75
2008-03-26,0.75
2008-03-27,
2008-03-28,
2008-03-31,4.39
2008-04-01,
2008-04-02,0.75
2008-04-03,
2008-04-04,
2008-04-07,
2008-04-08,4.35
2008-04-09,
2008-04-10,
2008-04-11,
2008-04-14,
2008-04-15,
2008-04-16,4.43
2008-04-17,
2008-04-18,
2008-04-21,4.45
2008-04-22,0.8
2008-04-23,0.8
2008-04-24,0.7
2008-04-25,0.7
2008-04-28,0.7
2008-04-29,
2008-04-30,
2008-05-01,
2008-05-02,
2008-05-05,0.9
2008-05-06,
2008-05-07,5.12
2008-05-08,5.37
2008-05-09,0.4
2008-05-12,
2008-05-13,6.19
2008-05-14,0.89
2008-05-15,0.9
2008-05-16,
2008-05-19,
2008-05-20,
2008-05-21,6.15
2008-05-22,
2008-05-23,
2008-05-27,6.14
2008-05-28,6.4
2008-05-29,
2008-05-30,
2008-06-02,6.41
2008-06-03,1.0
2008-06-04,1.1
2008-06-05,1.05
2008-06-06,
2008-06-09,
2008-06-10,6.5
2008-06-11,
2008-06-12,
2008-06-13,
2008-06-16,
2008-06-17,
2008-06-18,
2008-06-19,6.4
2008-06-20,
2008-06-23,
2008-06-24,
2008-06-25,6.17
2008-06-26,6.41
2008-06-27,
2008-06-30,6.8
2008-07-01,
2008-07-02,
2008-07-03,
2008-07-07,1.04
2008-07-08,1.03
2008-07-09,1.02
2008-07-10,1.01
2008-07-11,1.0
2008-07-14,0.5
2008-07-15,0.8
2008-07-16,1.8
2008-07-17,1.01
2008-07-18,1.06
2008-07-21,1.0
2008-07-22,0.9
2008-07-23,0.9
2008-07-24,1.0
2008-07-25,1.0
2008-07-28,0.75
2008-07-29,6.8
2008-07-30,6.74
2008-07-31,
2008-08-01,
2008-08-04,
2008-08-05,
2008-08-06,
2008-08-07,6.73
2008-08-08,
2008-08-11,
2008-08-12,
2008-08-13,6.7
2008-08-14,
2008-08-15,
2008-08-18,0.8
2008-08-19,0.8
2008-08-20,0.8
2008-08-21,0.8
2008-08-22,
2008-08-25,
2008-08-26,
2008-08-27,
2008-08-28,6.74
2008-08-29,
2008-09-02,6.5
2008-09-03,
2008-09-04,
2008-09-05,
2008-09-08,6.2
2008-09-09,6.48
2008-09-10,6.16
2008-09-11,6.44
2008-09-12,
2008-09-15,6.45
2008-09-16,
2008-09-17,6.47
2008-09-18,
2008-09-19,
2008-09-22,
2008-09-23,
2008-09-24,
2008-09-25,
2008-09-26,
2008-09-29,6.59
2008-09-30,
2008-10-01,
2008-10-02,
2008-10-03,
2008-10-06,
2008-10-07,
2008-10-08,
2008-10-09,
2008-10-10,
2008-10-13,6.39
2008-10-14,6.5
2008-10-15,
2008-10-16,
2008-10-17,
2008-10-20,
2008-10-21,
2008-10-22,
2008-10-23,
2008-10-24,
2008-10-27,
2008-10-28,
2008-10-29,6.18
2008-10-30,
2008-10-31,
2008-11-03,
2008-11-04,6.37
2008-11-05,6.06
2008-11-06,6.26
2008-11-07,
2008-11-10,6.57
2008-11-11,6.89
2008-11-12,7.23
2008-11-13,7.42
2008-11-14,
2008-11-17,7.77
2008-11-18,7.75
2008-11-19,7.37
2008-11-20,7.5
2008-11-21,
2008-11-24,7.48
2008-11-25,7.69
2008-11-26,7.89
2008-11-28,
2008-12-01,7.44
2008-12-02,7.54
2008-12-03,7.91
2008-12-04,7.89
2008-12-05,
2008-12-08,
2008-12-09,
2008-12-10,
2008-12-11,
