Date,EL
1995-11-17,8.625
1995-11-20,8.3125
1995-11-21,8.15625
1995-11-22,8.40625
1995-11-24,8.71875
1995-11-27,8.75
1995-11-28,8.625
1995-11-29,8.75
1995-11-30,9.09375
1995-12-01,9.0
1995-12-04,8.90625
1995-12-05,8.78125
1995-12-06,8.8125
1995-12-07,8.75
1995-12-08,8.96875
1995-12-11,9.09375
1995-12-12,8.75
1995-12-13,8.6875
1995-12-14,8.4375
1995-12-15,8.375
1995-12-18,8.28125
1995-12-19,8.4375
1995-12-20,8.625
1995-12-21,8.6875
1995-12-22,8.75
1995-12-26,8.53125
1995-12-27,8.84375
1995-12-28,8.8125
1995-12-29,8.71875
1996-01-02,8.75
1996-01-03,8.71875
1996-01-04,8.65625
1996-01-05,8.4375
1996-01-08,8.46875
1996-01-09,8.375
1996-01-10,8.28125
1996-01-11,8.46875
1996-01-12,8.6875
1996-01-15,8.65625
1996-01-16,8.4375
1996-01-17,8.375
1996-01-18,8.15625
1996-01-19,8.09375
1996-01-22,8.3125
1996-01-23,8.15625
1996-01-24,8.28125
1996-01-25,8.5625
1996-01-26,8.5625
1996-01-29,8.4375
1996-01-30,9.25
1996-01-31,9.21875
1996-02-01,9.03125
1996-02-02,9.25
1996-02-05,9.40625
1996-02-06,9.46875
1996-02-07,9.78125
1996-02-08,9.5625
1996-02-09,9.59375
1996-02-12,9.34375
1996-02-13,9.1875
1996-02-14,9.15625
1996-02-15,9.34375
1996-02-16,9.1875
1996-02-20,9.0625
1996-02-21,9.125
1996-02-22,9.09375
1996-02-23,9.3125
1996-02-26,9.25
1996-02-27,9.15625
1996-02-28,9.21875
1996-02-29,9.15625
1996-03-01,9.46875
1996-03-04,9.375
1996-03-05,9.40625
1996-03-06,9.3125
1996-03-07,9.21875
1996-03-08,9.0
1996-03-11,8.875
1996-03-12,8.65625
1996-03-13,8.90625
1996-03-14,8.90625
1996-03-15,8.71875
1996-03-18,8.96875
1996-03-19,8.90625
1996-03-20,8.71875
1996-03-21,8.65625
1996-03-22,8.65625
1996-03-25,8.78125
1996-03-26,9.0
1996-03-27,9.09375
1996-03-28,9.09375
1996-03-29,8.9375
1996-04-01,9.09375
1996-04-02,8.90625
1996-04-03,8.78125
1996-04-04,8.78125
1996-04-08,8.6875
1996-04-09,8.6875
1996-04-10,8.65625
1996-04-11,8.65625
1996-04-12,8.75
1996-04-15,8.84375
1996-04-16,8.875
1996-04-17,8.625
1996-04-18,8.4375
1996-04-19,8.59375
1996-04-22,8.65625
1996-04-23,8.5
1996-04-24,8.3125
1996-04-25,8.34375
1996-04-26,9.40625
1996-04-29,9.5
1996-04-30,9.15625
1996-05-01,9.125
1996-05-02,9.15625
1996-05-03,9.125
1996-05-06,9.15625
1996-05-07,9.09375
1996-05-08,9.21875
1996-05-09,9.3125
1996-05-10,9.28125
1996-05-13,9.21875
1996-05-14,9.125
1996-05-15,9.0
1996-05-16,9.46875
1996-05-17,9.46875
1996-05-20,9.40625
1996-05-21,9.15625
1996-05-22,9.09375
1996-05-23,9.0625
1996-05-24,9.125
1996-05-28,9.4375
1996-05-29,9.40625
1996-05-30,9.59375
1996-05-31,9.5
1996-06-03,9.4375
1996-06-04,9.4375
1996-06-05,9.875
1996-06-06,10.0
1996-06-07,10.0
1996-06-10,9.9375
1996-06-11,10.09375
1996-06-12,10.1875
1996-06-13,10.15625
1996-06-14,10.0
1996-06-17,9.46875
1996-06-18,9.46875
1996-06-19,9.4375
1996-06-20,9.46875
1996-06-21,9.75
1996-06-24,9.75
1996-06-25,9.96875
1996-06-26,10.25
1996-06-27,10.53125
1996-06-28,10.5625
1996-07-01,10.6875
1996-07-02,10.625
1996-07-03,10.4375
1996-07-05,10.46875
1996-07-08,10.34375
1996-07-09,10.4375
1996-07-10,10.34375
1996-07-11,9.90625
1996-07-12,9.75
1996-07-15,9.1875
1996-07-16,9.4375
1996-07-17,9.34375
1996-07-18,9.78125
1996-07-19,9.6875
1996-07-22,9.78125
1996-07-23,9.75
1996-07-24,9.40625
1996-07-25,9.53125
1996-07-26,9.5625
1996-07-29,9.5
1996-07-30,9.65625
1996-07-31,9.625
1996-08-01,9.8125
1996-08-02,9.59375
1996-08-05,9.5625
1996-08-06,9.59375
1996-08-07,9.59375
1996-08-08,9.5625
1996-08-09,9.5
1996-08-12,9.625
1996-08-13,10.0625
1996-08-14,10.1875
1996-08-15,10.625
1996-08-16,10.40625
1996-08-19,10.625
1996-08-20,10.96875
1996-08-21,10.78125
1996-08-22,10.75
1996-08-23,10.6875
1996-08-26,10.71875
1996-08-27,10.75
1996-08-28,10.9375
1996-08-29,10.84375
1996-08-30,10.75
1996-09-03,10.5625
1996-09-04,10.5
1996-09-05,10.65625
1996-09-06,11.0625
1996-09-09,11.6875
1996-09-10,11.5
1996-09-11,10.96875
1996-09-12,10.875
1996-09-13,10.8125
1996-09-16,10.65625
1996-09-17,10.71875
1996-09-18,10.59375
1996-09-19,10.5
1996-09-20,10.5625
1996-09-23,10.53125
1996-09-24,10.9375
1996-09-25,10.8125
1996-09-26,10.875
1996-09-27,11.21875
1996-09-30,11.21875
1996-10-01,11.0
1996-10-02,11.0
1996-10-03,11.03125
1996-10-04,11.21875
1996-10-07,11.0
1996-10-08,11.09375
1996-10-09,10.71875
1996-10-10,10.90625
1996-10-11,11.03125
1996-10-14,11.25
1996-10-15,11.25
1996-10-16,11.25
1996-10-17,11.21875
1996-10-18,11.28125
1996-10-21,11.21875
1996-10-22,11.1875
1996-10-23,11.0
1996-10-24,11.0625
1996-10-25,11.0625
1996-10-28,11.125
1996-10-29,10.96875
1996-10-30,10.71875
1996-10-31,10.75
1996-11-01,10.9375
1996-11-04,10.875
1996-11-05,10.96875
1996-11-06,11.28125
1996-11-07,11.59375
1996-11-08,11.65625
1996-11-11,11.65625
1996-11-12,11.59375
1996-11-13,11.6875
1996-11-14,11.71875
1996-11-15,11.59375
1996-11-18,12.0
1996-11-19,12.59375
1996-11-20,12.0
1996-11-21,12.5625
1996-11-22,12.5
1996-11-25,12.46875
1996-11-26,12.3125
1996-11-27,12.5
1996-11-29,12.5
1996-12-02,12.34375
1996-12-03,12.34375
1996-12-04,12.15625
1996-12-05,12.0
1996-12-06,11.9375
1996-12-09,12.125
1996-12-10,12.15625
1996-12-11,12.0
1996-12-12,12.15625
1996-12-13,12.0
1996-12-16,11.96875
1996-12-17,11.6875
1996-12-18,11.90625
1996-12-19,11.875
1996-12-20,11.90625
1996-12-23,11.5625
1996-12-24,11.53125
1996-12-26,11.71875
1996-12-27,11.84375
1996-12-30,12.125
1996-12-31,12.71875
1997-01-02,12.5
1997-01-03,12.46875
1997-01-06,12.25
1997-01-07,12.375
1997-01-08,12.125
1997-01-09,12.21875
1997-01-10,12.1875
1997-01-13,12.1875
1997-01-14,12.28125
1997-01-15,12.03125
1997-01-16,11.96875
1997-01-17,12.25
1997-01-20,12.28125
1997-01-21,12.59375
1997-01-22,13.0625
1997-01-23,12.71875
1997-01-24,12.8125
1997-01-27,12.59375
1997-01-28,12.28125
1997-01-29,12.375
1997-01-30,12.09375
1997-01-31,11.96875
1997-02-03,11.78125
1997-02-04,11.75
1997-02-05,11.875
1997-02-06,12.0
1997-02-07,11.90625
1997-02-10,11.84375
1997-02-11,11.78125
1997-02-12,11.71875
1997-02-13,11.71875
1997-02-14,11.75
1997-02-18,11.8125
1997-02-19,11.9375
1997-02-20,11.875
1997-02-21,11.875
1997-02-24,12.0625
