Date,BURL
2014-08-28,35.950001
2014-08-29,35.669998
2014-09-02,36.689999
2014-09-03,36.32
2014-09-04,37.299999
2014-09-05,36.59
2014-09-08,36.060001
2014-09-09,37.18
2014-09-10,37.889998999999996
2014-09-11,38.009997999999996
2014-09-12,38.099998
2014-09-15,37.959998999999996
2014-09-16,38.610001000000004
2014-09-17,39.099998
2014-09-18,40.459998999999996
2014-09-19,40.259997999999996
2014-09-22,39.77
2014-09-23,39.34
2014-09-24,39.700001
2014-09-25,39.459998999999996
2014-09-26,40.48
2014-09-29,40.25
2014-09-30,39.860001000000004
2014-10-01,39.330002
2014-10-02,39.540001000000004
2014-10-03,39.66
2014-10-06,38.66
2014-10-07,37.650002
2014-10-08,38.27
2014-10-09,37.849998
2014-10-10,38.43
2014-10-13,38.18
2014-10-14,39.029999
2014-10-15,38.57
2014-10-16,38.400002
2014-10-17,37.82
2014-10-20,38.490002000000004
2014-10-21,39.580002
2014-10-22,39.790001000000004
2014-10-23,39.299999
2014-10-24,39.619999
2014-10-27,40.560001
2014-10-28,40.34
2014-10-29,40.450001
2014-10-30,41.57
2014-10-31,41.939999
2014-11-03,42.400002
2014-11-04,42.099998
2014-11-05,42.330002
2014-11-06,42.880001
2014-11-07,42.32
2014-11-10,41.68
2014-11-11,41.549999
2014-11-12,42.73
2014-11-13,42.259997999999996
2014-11-14,42.299999
2014-11-17,42.220001
2014-11-18,41.330002
2014-11-19,41.110001000000004
2014-11-20,42.369999
2014-11-21,42.23
2014-11-24,44.240002000000004
2014-11-25,44.02
2014-11-26,43.91
2014-11-28,44.669998
2014-12-01,43.91
2014-12-02,43.880001
2014-12-03,44.419998
2014-12-04,44.41
2014-12-05,43.619999
2014-12-08,42.849998
2014-12-09,43.599998
2014-12-10,43.82
2014-12-11,44.41
2014-12-12,45.48
2014-12-15,46.59
2014-12-16,46.18
2014-12-17,47.34
2014-12-18,47.540001000000004
2014-12-19,46.880001
2014-12-22,47.549999
2014-12-23,49.0
2014-12-24,47.75
2014-12-26,47.740002000000004
2014-12-29,47.740002000000004
2014-12-30,47.68
2014-12-31,47.259997999999996
2015-01-02,47.98
2015-01-05,46.290001000000004
2015-01-06,46.57
2015-01-07,48.720001
2015-01-08,48.740002000000004
2015-01-09,48.0
2015-01-12,49.290001000000004
2015-01-13,48.439999
2015-01-14,48.919998
2015-01-15,48.860001000000004
2015-01-16,50.689999
2015-01-20,49.889998999999996
2015-01-21,50.16
2015-01-22,50.639998999999996
2015-01-23,51.25
2015-01-26,51.599998
2015-01-27,51.59
2015-01-28,50.900002
2015-01-29,50.689999
2015-01-30,49.889998999999996
2015-02-02,49.799999
2015-02-03,51.060001
2015-02-04,51.830002
2015-02-05,51.709998999999996
2015-02-06,52.290001000000004
2015-02-09,51.98
2015-02-10,52.110001000000004
2015-02-11,52.080002
2015-02-12,52.470001
2015-02-13,51.91
2015-02-17,52.029999
2015-02-18,52.82
2015-02-19,53.290001000000004
2015-02-20,53.560001
2015-02-23,53.650002
2015-02-24,53.599998
2015-02-25,54.09
2015-02-26,54.490002000000004
2015-02-27,55.57
2015-03-02,56.119999
2015-03-03,56.009997999999996
2015-03-04,56.759997999999996
2015-03-05,56.650002
2015-03-06,56.139998999999996
2015-03-09,57.119999
2015-03-10,57.18
2015-03-11,57.169998
2015-03-12,57.59
2015-03-13,58.59
2015-03-16,57.380001
2015-03-17,58.59
2015-03-18,59.919998
2015-03-19,59.779999
2015-03-20,60.720001
2015-03-23,60.299999
2015-03-24,61.02
2015-03-25,59.259997999999996
2015-03-26,58.459998999999996
2015-03-27,58.98
2015-03-30,59.34
2015-03-31,59.419998
2015-04-01,58.040001000000004
2015-04-02,58.16
2015-04-06,58.169998
2015-04-07,57.709998999999996
2015-04-08,58.009997999999996
2015-04-09,57.450001
2015-04-10,57.43
2015-04-13,57.41
2015-04-14,56.560001
2015-04-15,56.439999
2015-04-16,55.360001000000004
2015-04-17,55.02
2015-04-20,55.689999
2015-04-21,55.73
2015-04-22,55.82
2015-04-23,55.189999
2015-04-24,54.349998
2015-04-27,52.75
2015-04-28,52.18
2015-04-29,51.389998999999996
2015-04-30,51.57
2015-05-01,52.02
2015-05-04,52.810001
2015-05-05,51.610001000000004
2015-05-06,51.700001
2015-05-07,51.900002
2015-05-08,53.389998999999996
2015-05-11,53.009997999999996
2015-05-12,52.470001
2015-05-13,51.23
2015-05-14,50.52
2015-05-15,52.73
2015-05-18,53.240002000000004
2015-05-19,54.630001
2015-05-20,53.91
2015-05-21,55.09
2015-05-22,54.48
2015-05-26,53.75
2015-05-27,54.09
2015-05-28,53.66
2015-05-29,52.77
2015-06-01,53.279999
2015-06-02,54.099998
2015-06-03,54.689999
2015-06-04,54.439999
2015-06-05,55.07
2015-06-08,53.889998999999996
2015-06-09,49.349998
2015-06-10,48.98
2015-06-11,48.959998999999996
2015-06-12,48.580002
2015-06-15,49.700001
2015-06-16,49.84
2015-06-17,50.82
2015-06-18,51.240002000000004
2015-06-19,51.57
2015-06-22,51.810001
2015-06-23,51.98
2015-06-24,51.959998999999996
2015-06-25,52.860001000000004
2015-06-26,52.900002
2015-06-29,50.889998999999996
2015-06-30,51.200001
2015-07-01,52.150002
2015-07-02,51.349998
2015-07-06,52.77
2015-07-07,52.830002
2015-07-08,52.060001
2015-07-09,52.799999
2015-07-10,53.950001
2015-07-13,55.25
2015-07-14,54.889998999999996
2015-07-15,55.459998999999996
2015-07-16,56.349998
2015-07-17,55.810001
2015-07-20,55.75
2015-07-21,55.200001
2015-07-22,56.75
2015-07-23,55.09
2015-07-24,54.490002000000004
2015-07-27,54.43
2015-07-28,54.389998999999996
2015-07-29,55.5
2015-07-30,55.130001
2015-07-31,55.040001000000004
2015-08-03,54.810001
2015-08-04,54.459998999999996
2015-08-05,54.439999
2015-08-06,53.290001000000004
2015-08-07,52.860001000000004
2015-08-10,53.43
2015-08-11,53.259997999999996
2015-08-12,52.970001
2015-08-13,53.369999
2015-08-14,52.950001
2015-08-17,53.919998
2015-08-18,54.740002000000004
2015-08-19,55.060001
2015-08-20,53.650002
2015-08-21,50.66
2015-08-24,47.939999
2015-08-25,46.540001000000004
2015-08-26,47.799999
2015-08-27,53.349998
2015-08-28,53.5
2015-08-31,53.09
2015-09-01,53.169998
2015-09-02,54.0
2015-09-03,53.66
2015-09-04,53.139998999999996
2015-09-08,53.889998999999996
2015-09-09,52.84
2015-09-10,52.830002
2015-09-11,53.25
2015-09-14,53.32
2015-09-15,53.939999
2015-09-16,54.84
2015-09-17,55.57
2015-09-18,54.400002
2015-09-21,53.880001
2015-09-22,53.759997999999996
2015-09-23,53.740002000000004
2015-09-24,53.080002
2015-09-25,51.470001
2015-09-28,48.990002000000004
2015-09-29,49.07
2015-09-30,51.040001000000004
2015-10-01,50.790001000000004
2015-10-02,50.5
2015-10-05,50.740002000000004
2015-10-06,48.380001
2015-10-07,49.220001
2015-10-08,50.040001000000004
2015-10-09,49.610001000000004
2015-10-12,51.290001000000004
2015-10-13,50.130001
2015-10-14,49.130001
2015-10-15,51.040001000000004
2015-10-16,51.720001
2015-10-19,50.669998
2015-10-20,50.700001
2015-10-21,48.349998
2015-10-22,47.700001
2015-10-23,46.32
2015-10-26,47.029999
2015-10-27,45.66
2015-10-28,47.529999
2015-10-29,46.990002000000004
2015-10-30,48.080002
2015-11-02,49.009997999999996
2015-11-03,50.0
2015-11-04,49.009997999999996
2015-11-05,48.529999
2015-11-06,46.529999
2015-11-09,45.959998999999996
2015-11-10,46.549999
2015-11-11,43.299999
2015-11-12,44.389998999999996
2015-11-13,40.830002
2015-11-16,41.279999
2015-11-17,41.91
2015-11-18,42.27
2015-11-19,40.700001
2015-11-20,44.299999
2015-11-23,44.209998999999996
2015-11-24,47.41
2015-11-25,48.889998999999996
2015-11-27,49.43
2015-11-30,48.110001000000004
2015-12-01,48.099998
2015-12-02,47.560001
2015-12-03,46.689999
2015-12-04,46.84
2015-12-07,45.689999
2015-12-08,45.779999
2015-12-09,44.990002000000004
2015-12-10,44.470001
2015-12-11,43.189999
2015-12-14,43.080002
2015-12-15,42.82
2015-12-16,43.130001
2015-12-17,41.779999
2015-12-18,41.119999
2015-12-21,41.630001
2015-12-22,43.48
2015-12-23,43.68
2015-12-24,43.25
2015-12-28,43.389998999999996
2015-12-29,43.919998
2015-12-30,43.02
2015-12-31,42.900002
2016-01-04,43.209998999999996
2016-01-05,43.82
2016-01-06,42.740002000000004
2016-01-07,43.77
2016-01-08,41.59
2016-01-11,42.759997999999996
2016-01-12,48.919998
2016-01-13,47.02
2016-01-14,47.360001000000004
2016-01-15,48.310001
2016-01-19,50.080002
2016-01-20,49.950001
2016-01-21,51.169998
2016-01-22,52.439999
2016-01-25,51.310001
2016-01-26,51.790001000000004
2016-01-27,51.369999
2016-01-28,51.759997999999996
2016-01-29,53.73
2016-02-01,54.139998999999996
2016-02-02,53.82
2016-02-03,53.470001
2016-02-04,52.759997999999996
2016-02-05,50.700001
2016-02-08,49.709998999999996
2016-02-09,50.099998
2016-02-10,50.59
2016-02-11,49.77
2016-02-12,51.610001000000004
2016-02-16,54.34
2016-02-17,54.59
2016-02-18,53.400002
2016-02-19,54.360001000000004
2016-02-22,54.75
2016-02-23,54.950001
2016-02-24,56.43
2016-02-25,56.82
2016-02-26,57.169998
2016-02-29,56.060001
2016-03-01,56.799999
2016-03-02,56.759997999999996
2016-03-03,55.18
2016-03-04,54.099998
2016-03-07,53.029999
2016-03-08,53.130001
2016-03-09,53.110001000000004
2016-03-10,54.380001
2016-03-11,54.939999
2016-03-14,54.75
2016-03-15,54.27
2016-03-16,54.869999
2016-03-17,55.07
2016-03-18,55.240002000000004
2016-03-21,54.110001000000004
2016-03-22,53.810001
2016-03-23,54.0
2016-03-24,53.75
2016-03-28,54.799999
2016-03-29,55.630001
2016-03-30,55.470001
2016-03-31,56.240002000000004
2016-04-01,56.48
2016-04-04,57.139998999999996
2016-04-05,55.470001
2016-04-06,55.77
2016-04-07,55.529999
2016-04-08,54.580002
2016-04-11,55.040001000000004
2016-04-12,55.130001
2016-04-13,56.509997999999996
2016-04-14,57.349998
2016-04-15,58.139998999999996
2016-04-18,58.509997999999996
2016-04-19,58.060001
2016-04-20,58.279999
2016-04-21,57.599998
