Date,DSSI
2019-03-28,10.96
2019-03-29,10.4
2019-04-01,10.37
2019-04-02,9.65
2019-04-03,9.72
2019-04-04,10.24
2019-04-05,10.51
2019-04-08,11.4
2019-04-09,11.68
2019-04-10,12.27
2019-04-11,13.15
2019-04-12,13.44
2019-04-15,13.46
2019-04-16,13.41
2019-04-17,13.25
2019-04-18,13.05
2019-04-22,13.06
2019-04-23,13.26
2019-04-24,13.1
2019-04-25,12.92
2019-04-26,13.15
2019-04-29,13.15
2019-04-30,13.05
2019-05-01,13.15
2019-05-02,13.73
2019-05-03,14.21
2019-05-06,14.23
2019-05-07,13.59
2019-05-08,13.81
2019-05-09,13.6
2019-05-10,13.7
2019-05-13,13.17
2019-05-14,13.47
2019-05-15,13.67
2019-05-16,13.31
2019-05-17,12.65
2019-05-20,12.94
2019-05-21,12.91
2019-05-22,12.99
2019-05-23,12.46
2019-05-24,12.35
2019-05-28,12.21
2019-05-29,12.15
2019-05-30,12.4
2019-05-31,12.15
2019-06-03,11.99
2019-06-04,12.09
2019-06-05,11.97
2019-06-06,12.0
2019-06-07,11.83
2019-06-10,11.7
2019-06-11,11.58
2019-06-12,10.89
2019-06-13,11.34
2019-06-14,11.37
2019-06-17,11.65
2019-06-18,11.57
2019-06-19,11.33
2019-06-20,11.65
2019-06-21,11.36
2019-06-24,11.62
2019-06-25,11.35
2019-06-26,11.66
2019-06-27,11.75
2019-06-28,12.77
2019-07-01,13.41
2019-07-02,13.49
2019-07-03,12.95
2019-07-05,12.64
2019-07-08,12.58
2019-07-09,12.63
2019-07-10,12.98
2019-07-11,12.95
2019-07-12,13.11
2019-07-15,12.78
2019-07-16,12.85
2019-07-17,12.7
2019-07-18,12.32
2019-07-19,12.05
2019-07-22,12.05
2019-07-23,11.81
2019-07-24,12.4
2019-07-25,12.03
2019-07-26,12.06
2019-07-29,11.94
2019-07-30,11.94
2019-07-31,11.95
2019-08-01,11.71
2019-08-02,11.49
2019-08-05,10.9
2019-08-06,10.94
2019-08-07,10.8
2019-08-08,10.94
2019-08-09,10.48
2019-08-12,10.22
2019-08-13,10.42
2019-08-14,10.0
2019-08-15,9.95
2019-08-16,10.32
2019-08-19,10.98
2019-08-20,10.79
2019-08-21,11.01
2019-08-22,10.57
2019-08-23,10.6
2019-08-26,10.72
2019-08-27,10.47
2019-08-28,10.65
2019-08-29,10.79
2019-08-30,10.9
2019-09-03,10.75
2019-09-04,10.88
2019-09-05,10.95
2019-09-06,10.95
2019-09-09,11.15
2019-09-10,11.34
2019-09-11,11.58
2019-09-12,11.79
2019-09-13,11.96
2019-09-16,11.39
2019-09-17,11.13
2019-09-18,11.35
2019-09-19,11.18
2019-09-20,11.0
2019-09-23,10.82
2019-09-24,10.27
2019-09-25,10.45
2019-09-26,10.94
2019-09-27,10.83
2019-09-30,11.02
2019-10-01,11.52
2019-10-02,11.38
2019-10-03,11.28
2019-10-04,12.27
2019-10-07,13.86
2019-10-08,15.07
2019-10-09,15.01
2019-10-10,14.59
2019-10-11,15.33
2019-10-14,16.0
2019-10-15,15.43
2019-10-16,15.36
2019-10-17,15.63
2019-10-18,15.29
2019-10-21,14.93
2019-10-22,15.05
2019-10-23,15.56
2019-10-24,15.56
2019-10-25,15.68
2019-10-28,15.59
2019-10-29,15.16
2019-10-30,15.55
2019-10-31,14.6
2019-11-01,15.44
2019-11-04,15.37
2019-11-05,14.6
2019-11-06,14.46
2019-11-07,13.79
2019-11-08,14.66
2019-11-11,15.0
2019-11-12,15.54
2019-11-13,14.56
2019-11-14,14.97
2019-11-15,15.51
2019-11-18,14.85
2019-11-19,14.94
2019-11-20,15.28
2019-11-21,14.28
2019-11-22,14.12
2019-11-25,14.44
2019-11-26,14.44
2019-11-27,14.47
2019-11-29,14.43
2019-12-02,14.14
2019-12-03,13.89
2019-12-04,14.24
2019-12-05,14.47
2019-12-06,14.87
2019-12-09,15.0
2019-12-10,15.29
2019-12-11,15.22
2019-12-12,15.23
2019-12-13,14.99
2019-12-16,15.34
2019-12-17,15.26
2019-12-18,15.37
2019-12-19,16.01
2019-12-20,15.67
2019-12-23,16.889999
2019-12-24,16.790001
2019-12-26,17.059998999999998
2019-12-27,16.43
2019-12-30,16.809998999999998
2019-12-31,16.74
2020-01-02,16.860001
2020-01-03,16.66
2020-01-06,16.620001000000002
2020-01-07,16.74
2020-01-08,15.95
2020-01-09,16.35
2020-01-10,15.2
2020-01-13,15.17
2020-01-14,14.6
2020-01-15,13.97
2020-01-16,13.68
2020-01-17,13.73
2020-01-21,13.41
2020-01-22,13.15
2020-01-23,12.67
2020-01-24,12.08
2020-01-27,11.85
2020-01-28,11.62
2020-01-29,11.88
2020-01-30,11.59
2020-01-31,11.08
2020-02-03,11.08
2020-02-04,11.08
2020-02-05,11.54
2020-02-06,10.91
2020-02-07,10.27
2020-02-10,10.45
2020-02-11,11.02
2020-02-12,11.28
2020-02-13,10.91
2020-02-14,10.53
2020-02-18,10.47
2020-02-19,10.67
2020-02-20,10.42
2020-02-21,10.16
2020-02-24,9.53
2020-02-25,9.37
2020-02-26,9.4
2020-02-27,9.8
2020-02-28,10.3
2020-03-02,10.79
2020-03-03,10.18
