Date,THS
2006-06-01,25.139999
2006-06-02,24.82
2006-06-05,24.620001000000002
2006-06-06,24.690001000000002
2006-06-07,25.02
2006-06-08,24.700001
2006-06-09,24.299999
2006-06-12,23.58
2006-06-13,23.18
2006-06-14,23.110001
2006-06-15,23.290001
2006-06-16,23.309998999999998
2006-06-19,23.719998999999998
2006-06-20,24.08
2006-06-21,23.709999
2006-06-22,23.51
2006-06-23,24.02
2006-06-26,24.139999
2006-06-27,24.6
2006-06-28,24.700001
2006-06-29,25.17
2006-06-30,23.889999
2006-07-03,24.76
2006-07-05,24.09
2006-07-06,24.01
2006-07-07,23.700001
2006-07-10,23.959999
2006-07-11,23.620001000000002
2006-07-12,23.41
2006-07-13,23.200001
2006-07-14,22.610001
2006-07-17,23.08
2006-07-18,23.4
2006-07-19,23.58
2006-07-20,23.65
2006-07-21,23.09
2006-07-24,23.98
2006-07-25,24.58
2006-07-26,23.99
2006-07-27,23.9
2006-07-28,24.450001
2006-07-31,23.959999
2006-08-01,23.379998999999998
2006-08-02,23.93
2006-08-03,24.01
2006-08-04,23.780001000000002
2006-08-07,23.75
2006-08-08,24.110001
2006-08-09,24.51
2006-08-10,24.219998999999998
2006-08-11,24.290001
2006-08-14,25.1
2006-08-15,25.4
2006-08-16,25.469998999999998
2006-08-17,25.459999
2006-08-18,25.67
2006-08-21,25.4
2006-08-22,25.58
2006-08-23,25.190001000000002
2006-08-24,24.860001
2006-08-25,25.09
2006-08-28,25.02
2006-08-29,25.700001
2006-08-30,26.030001000000002
2006-08-31,25.5
2006-09-01,25.540001
2006-09-05,25.51
2006-09-06,24.629998999999998
2006-09-07,24.290001
2006-09-08,24.280001000000002
2006-09-11,24.780001000000002
2006-09-12,24.74
2006-09-13,24.92
2006-09-14,24.549999
2006-09-15,24.370001000000002
2006-09-18,23.809998999999998
2006-09-19,23.75
2006-09-20,23.91
2006-09-21,23.030001000000002
2006-09-22,22.51
2006-09-25,24.299999
2006-09-26,24.110001
2006-09-27,24.389999
2006-09-28,24.16
2006-09-29,23.65
2006-10-02,23.49
2006-10-03,23.5
2006-10-04,23.93
2006-10-05,24.58
2006-10-06,24.139999
2006-10-09,24.0
2006-10-10,23.719998999999998
2006-10-11,23.59
2006-10-12,23.98
2006-10-13,24.059998999999998
2006-10-16,24.51
2006-10-17,24.620001000000002
2006-10-18,24.559998999999998
2006-10-19,24.559998999999998
2006-10-20,24.33
2006-10-23,24.469998999999998
2006-10-24,24.360001
2006-10-25,24.709999
2006-10-26,25.6
2006-10-27,25.559998999999998
2006-10-30,25.84
2006-10-31,25.360001
2006-11-01,24.690001000000002
2006-11-02,24.540001
2006-11-03,25.15
2006-11-06,25.42
2006-11-07,24.799999
2006-11-08,24.59
2006-11-09,28.09
2006-11-10,28.459999
2006-11-13,28.629998999999998
2006-11-14,28.450001
2006-11-15,30.280001000000002
2006-11-16,30.200001
