Date,RT
2018-01-24,67594.601563
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-12,
2018-03-13,
2018-03-14,
2018-03-15,63804.30078099999
2018-03-16,63351.30078099999
2018-03-19,
2018-03-20,62816.101563
2018-03-21,63410.398438
2018-03-22,63195.80078099999
2018-03-23,62072.898438
2018-03-26,62530.0
2018-03-27,62446.69921900001
2018-03-28,61554.30078099999
2018-03-29,
2018-04-02,61156.30078099999
2018-04-03,62312.898438
2018-04-04,63352.5
2018-04-05,64012.398438
2018-04-06,63978.101563
2018-04-09,64155.5
2018-04-10,64519.30078099999
2018-04-11,64787.19921900001
2018-04-12,65121.5
2018-04-13,65107.398438
2018-04-16,64661.601563
2018-04-17,65328.101563
2018-04-18,65537.796875
2018-04-19,65083.80078099999
2018-04-20,64664.898438
2018-04-23,64679.101563
2018-04-24,64172.0
2018-04-25,64187.30078099999
2018-04-26,64507.101563
2018-04-27,64489.69921900001
2018-04-30,64607.101563
2018-05-01,
2018-05-02,63939.601563
2018-05-03,62991.5
2018-05-04,62855.101563
2018-05-07,62188.398438
2018-05-08,62516.0
2018-05-09,61985.0
2018-05-10,62329.19921900001
2018-05-11,62566.69921900001
2018-05-14,62286.101563
2018-05-15,61937.5
2018-05-16,62152.80078099999
2018-05-17,61306.80078099999
2018-05-18,61144.601563
2018-05-21,60664.0
2018-05-22,61106.398438
2018-05-23,61344.5
2018-05-24,60884.0
2018-05-25,60438.80078099999
2018-05-29,59898.19921900001
2018-05-30,59990.101563
2018-05-31,59918.601563
2018-06-01,60388.898438
2018-06-04,60712.101563
2018-06-05,60560.101563
2018-06-06,60628.69921900001
2018-06-07,61209.69921900001
2018-06-08,61832.80078099999
2018-06-11,62325.19921900001
2018-06-12,62809.19921900001
2018-06-13,62943.601563
2018-06-14,63562.398438
2018-06-15,63214.398438
2018-06-18,62840.0
2018-06-19,62607.69921900001
2018-06-20,62972.80078099999
