Date,W
2014-10-02,37.720001
2014-10-03,32.18
2014-10-06,32.799999
2014-10-07,32.82
2014-10-08,31.049999
2014-10-09,26.709999
2014-10-10,25.870001000000002
2014-10-13,26.41
2014-10-14,26.18
2014-10-15,24.67
2014-10-16,23.889999
2014-10-17,26.870001000000002
2014-10-20,30.02
2014-10-21,30.889999
2014-10-22,27.9
2014-10-23,26.01
2014-10-24,25.16
2014-10-27,26.049999
2014-10-28,25.690001000000002
2014-10-29,25.059998999999998
2014-10-30,24.4
2014-10-31,25.1
2014-11-03,25.719998999999998
2014-11-04,26.030001000000002
2014-11-05,25.440001000000002
2014-11-06,25.700001
2014-11-07,26.01
2014-11-10,28.1
2014-11-11,23.66
2014-11-12,21.309998999999998
2014-11-13,22.01
2014-11-14,21.57
2014-11-17,21.57
2014-11-18,22.08
2014-11-19,22.290001
2014-11-20,23.0
2014-11-21,22.280001000000002
2014-11-24,23.0
2014-11-25,23.27
2014-11-26,23.9
2014-11-28,24.26
2014-12-01,23.01
2014-12-02,22.049999
2014-12-03,21.15
2014-12-04,20.9
2014-12-05,20.73
2014-12-08,21.1
2014-12-09,21.0
2014-12-10,20.129998999999998
2014-12-11,19.379998999999998
2014-12-12,18.440001000000002
2014-12-15,19.16
2014-12-16,18.4
2014-12-17,20.709999
2014-12-18,20.809998999999998
2014-12-19,20.059998999999998
2014-12-22,20.379998999999998
2014-12-23,20.790001
2014-12-24,20.440001000000002
2014-12-26,20.309998999999998
2014-12-29,19.440001000000002
2014-12-30,19.540001
2014-12-31,19.85
2015-01-02,20.780001000000002
2015-01-05,22.02
2015-01-06,22.6
2015-01-07,22.34
2015-01-08,21.4
2015-01-09,20.9
2015-01-12,21.82
2015-01-13,22.209999
2015-01-14,22.219998999999998
2015-01-15,23.280001000000002
2015-01-16,22.5
2015-01-20,21.35
2015-01-21,21.209999
2015-01-22,20.52
2015-01-23,20.450001
2015-01-26,20.110001
2015-01-27,20.0
2015-01-28,19.34
2015-01-29,19.120001000000002
2015-01-30,19.559998999999998
2015-02-02,20.09
2015-02-03,21.32
2015-02-04,21.040001
2015-02-05,21.870001000000002
2015-02-06,21.4
2015-02-09,21.17
2015-02-10,21.459999
2015-02-11,22.0
2015-02-12,22.969998999999998
2015-02-13,21.959999
2015-02-17,22.18
2015-02-18,22.280001000000002
2015-02-19,23.450001
2015-02-20,24.530001000000002
2015-02-23,24.43
2015-02-24,24.120001000000002
2015-02-25,23.67
2015-02-26,23.5
2015-02-27,23.35
2015-03-02,23.559998999999998
2015-03-03,25.25
2015-03-04,28.9
2015-03-05,27.780001000000002
2015-03-06,28.809998999999998
2015-03-09,29.040001
2015-03-10,28.26
2015-03-11,28.57
2015-03-12,29.870001000000002
2015-03-13,32.450001
2015-03-16,32.48
2015-03-17,30.85
2015-03-18,31.26
2015-03-19,33.07
2015-03-20,31.940001000000002
2015-03-23,32.220001
2015-03-24,31.4
2015-03-25,30.870001000000002
2015-03-26,31.25
2015-03-27,32.330002
2015-03-30,33.459998999999996
2015-03-31,32.119999
2015-04-01,31.360001
2015-04-02,30.809998999999998
2015-04-06,31.559998999999998
2015-04-07,31.74
2015-04-08,32.919998
2015-04-09,32.779999
2015-04-10,33.720001
2015-04-13,34.150002
2015-04-14,34.060001
2015-04-15,33.790001000000004
2015-04-16,34.529999
2015-04-17,32.07
2015-04-20,32.150002
2015-04-21,32.599998
2015-04-22,32.32
2015-04-23,33.07
2015-04-24,32.740002000000004
2015-04-27,33.84
2015-04-28,32.959998999999996
2015-04-29,33.099998
2015-04-30,32.119999
2015-05-01,30.030001000000002
2015-05-04,29.559998999999998
2015-05-05,29.33
2015-05-06,27.76
2015-05-07,28.549999
2015-05-08,30.780001000000002
2015-05-11,30.01
2015-05-12,29.99
2015-05-13,28.799999
2015-05-14,28.51
2015-05-15,29.049999
2015-05-18,28.32
2015-05-19,28.65
2015-05-20,28.34
2015-05-21,29.950001
2015-05-22,30.889999
2015-05-26,29.65
2015-05-27,29.52
2015-05-28,29.18
2015-05-29,29.889999
2015-06-01,28.809998999999998
2015-06-02,29.26
2015-06-03,30.74
2015-06-04,30.639999
2015-06-05,33.060001
2015-06-08,33.549999
2015-06-09,33.709998999999996
2015-06-10,34.07
2015-06-11,34.09
2015-06-12,34.18
2015-06-15,33.16
2015-06-16,34.279999
2015-06-17,34.810001
2015-06-18,37.529999
2015-06-19,37.970001
2015-06-22,38.790001000000004
2015-06-23,37.939999
2015-06-24,37.360001000000004
2015-06-25,37.240002000000004
2015-06-26,38.18
2015-06-29,36.790001000000004
2015-06-30,37.639998999999996
2015-07-01,37.98
2015-07-02,37.700001
2015-07-06,36.900002
2015-07-07,37.009997999999996
2015-07-08,35.450001
2015-07-09,36.32
2015-07-10,37.349998
2015-07-13,38.150002
2015-07-14,38.130001
2015-07-15,37.139998999999996
2015-07-16,37.23
2015-07-17,38.98
2015-07-20,39.639998999999996
2015-07-21,38.869999
2015-07-22,38.02
2015-07-23,38.810001
2015-07-24,39.279999
2015-07-27,37.16
2015-07-28,37.860001000000004
2015-07-29,37.740002000000004
2015-07-30,37.09
2015-07-31,37.310001
2015-08-03,36.759997999999996
2015-08-04,38.779999
2015-08-05,39.57
2015-08-06,37.150002
2015-08-07,36.52
2015-08-10,38.130001
2015-08-11,38.169998
2015-08-12,48.950001
2015-08-13,53.580002
2015-08-14,49.529999
2015-08-17,50.389998999999996
2015-08-18,45.110001000000004
