Date,MER
2018-03-15,330.0
2018-03-16,335.0
2018-03-19,329.0
2018-03-20,326.0
2018-03-21,325.399994
2018-03-22,330.0
2018-03-23,325.0
2018-03-26,320.0
2018-03-27,328.0
2018-03-28,318.0
2018-03-29,318.0
2018-04-02,326.0
2018-04-03,324.0
2018-04-04,324.200012
2018-04-05,323.399994
2018-04-06,322.600006
2018-04-09,322.600006
2018-04-10,323.600006
2018-04-11,328.0
2018-04-12,325.0
2018-04-13,321.799988
2018-04-16,325.0
2018-04-17,324.0
2018-04-18,327.600006
2018-04-19,319.799988
2018-04-20,321.600006
2018-04-23,323.0
2018-04-24,319.399994
2018-04-25,307.0
2018-04-26,295.799988
2018-04-27,314.200012
2018-04-30,322.0
2018-05-01,322.0
2018-05-02,329.799988
2018-05-03,323.399994
2018-05-04,327.0
2018-05-07,329.0
2018-05-08,326.0
2018-05-09,328.0
2018-05-10,328.0
2018-05-11,328.0
2018-05-14,328.0
2018-05-15,322.399994
2018-05-16,324.399994
2018-05-17,319.399994
2018-05-18,322.0
2018-05-21,321.0
2018-05-22,328.399994
2018-05-23,328.0
2018-05-24,330.0
2018-05-25,335.0
2018-05-29,335.799988
2018-05-30,327.799988
2018-05-31,322.799988
2018-06-01,334.799988
2018-06-04,334.0
2018-06-05,337.600006
2018-06-06,337.399994
2018-06-07,338.399994
2018-06-08,338.0
2018-06-11,339.0
2018-06-12,339.0
2018-06-13,334.200012
2018-06-14,345.0
2018-06-15,
2018-06-18,343.0
2018-06-19,342.0
2018-06-20,341.0
2018-06-21,337.0
2018-06-22,334.799988
2018-06-25,336.600006
2018-06-26,340.399994
2018-06-27,344.799988
2018-06-28,344.200012
2018-06-29,355.600006
2018-07-02,353.0
2018-07-03,355.0
2018-07-05,350.0
2018-07-06,358.0
2018-07-09,354.0
2018-07-10,354.0
2018-07-11,357.799988
2018-07-12,355.600006
2018-07-13,356.0
2018-07-16,358.600006
2018-07-17,357.0
2018-07-18,356.0
2018-07-19,358.0
2018-07-20,357.200012
2018-07-23,358.0
2018-07-24,370.0
2018-07-25,373.0
2018-07-26,378.799988
2018-07-27,378.0
2018-07-30,380.0
2018-07-31,379.600006
2018-08-01,395.0
2018-08-02,380.0
2018-08-03,370.0
2018-08-06,371.200012
2018-08-07,370.0
2018-08-08,375.0
2018-08-09,370.0
2018-08-10,368.200012
2018-08-13,355.399994
2018-08-14,354.399994
2018-08-15,358.0
2018-08-16,351.200012
2018-08-17,363.0
2018-08-20,350.200012
2018-08-21,350.200012
2018-08-22,363.0
2018-08-23,370.0
2018-08-24,366.0
2018-08-27,366.0
2018-08-28,380.0
2018-08-29,371.200012
2018-08-30,374.0
2018-08-31,373.399994
2018-09-04,372.0
2018-09-05,371.0
2018-09-06,379.0
2018-09-07,380.0
2018-09-10,379.0
2018-09-11,380.0
2018-09-12,385.0
2018-09-13,382.0
2018-09-14,368.0
2018-09-17,369.0
2018-09-18,365.600006
2018-09-19,361.0
2018-09-20,351.0
2018-09-21,365.0
2018-09-24,360.0
2018-09-25,358.0
2018-09-26,348.0
2018-09-27,346.0
2018-09-28,340.0
2018-10-01,331.799988
2018-10-02,342.0
2018-10-03,358.799988
2018-10-04,355.0
2018-10-05,356.0
2018-10-08,341.600006
2018-10-09,343.0
2018-10-10,357.200012
2018-10-11,357.0
2018-10-12,351.799988
2018-10-15,348.0
2018-10-16,359.0
2018-10-17,359.200012
2018-10-18,352.600006
2018-10-19,346.799988
2018-10-22,351.799988
2018-10-23,351.0
2018-10-24,353.0
2018-10-25,352.0
2018-10-26,360.399994
2018-10-29,360.0
2018-10-30,354.0
2018-10-31,367.799988
2018-11-01,367.799988
2018-11-02,367.799988
2018-11-05,367.600006
2018-11-06,365.200012
2018-11-07,363.0
2018-11-08,377.200012
2018-11-09,380.799988
2018-11-12,380.0
2018-11-13,378.600006
2018-11-14,382.0
2018-11-15,379.600006
2018-11-16,376.600006
2018-11-19,384.0
2018-11-20,383.799988
2018-11-21,388.799988
2018-11-23,390.0
2018-11-26,388.0
2018-11-27,388.0
2018-11-28,387.600006
2018-11-29,384.200012
2018-11-30,384.200012
2018-12-03,388.0
2018-12-04,388.0
2018-12-06,380.0
2018-12-07,376.0
2018-12-10,366.200012
2018-12-11,377.0
2018-12-12,382.399994
2018-12-13,375.0
2018-12-14,389.799988
2018-12-17,386.0
2018-12-18,389.0
2018-12-19,389.399994
2018-12-20,390.0
2018-12-21,390.0
2018-12-24,390.0
2018-12-26,389.600006
2018-12-27,394.799988
2018-12-28,380.0
2018-12-31,380.0
2019-01-02,384.600006
2019-01-03,390.0
2019-01-04,394.0
2019-01-07,380.799988
2019-01-08,382.0
2019-01-09,390.0
2019-01-10,393.399994
2019-01-11,387.0
2019-01-14,398.0
2019-01-15,396.0
2019-01-16,387.0
2019-01-17,378.0
2019-01-18,369.200012
2019-01-22,371.399994
2019-01-23,375.0
2019-01-24,380.0
2019-01-25,372.0
2019-01-28,375.0
2019-01-29,373.600006
2019-01-30,371.0
2019-01-31,365.799988
2019-02-01,370.600006
2019-02-04,364.0
2019-02-05,364.0
2019-02-06,367.200012
2019-02-07,371.0
2019-02-08,367.200012
2019-02-11,360.0
2019-02-12,360.399994
2019-02-13,360.0
2019-02-14,360.200012
