Date,CC
2015-11-05,7.52
2015-11-06,6.73
2015-11-09,6.43
2015-11-10,6.15
2015-11-11,5.9
2015-11-12,5.85
2015-11-13,5.69
2015-11-16,5.86
2015-11-17,5.62
2015-11-18,5.84
2015-11-19,6.04
2015-11-20,5.99
2015-11-23,5.94
2015-11-24,6.15
2015-11-25,6.31
2015-11-27,6.34
2015-11-30,6.25
2015-12-01,6.05
2015-12-02,6.12
2015-12-03,5.97
2015-12-04,6.21
2015-12-07,6.01
2015-12-08,5.78
2015-12-09,6.04
2015-12-10,6.13
2015-12-11,5.69
2015-12-14,5.26
2015-12-15,5.36
2015-12-16,5.65
2015-12-17,4.72
2015-12-18,5.96
2015-12-21,5.57
2015-12-22,5.73
2015-12-23,5.76
2015-12-24,5.74
2015-12-28,5.4
2015-12-29,5.48
2015-12-30,5.25
2015-12-31,5.36
2016-01-04,5.48
2016-01-05,5.42
2016-01-06,5.12
2016-01-07,4.75
2016-01-08,4.8
2016-01-11,4.38
2016-01-12,3.91
2016-01-13,3.3
2016-01-14,3.51
2016-01-15,3.98
2016-01-19,3.59
2016-01-20,3.65
2016-01-21,3.62
2016-01-22,3.8
2016-01-25,3.49
2016-01-26,3.33
2016-01-27,3.12
2016-01-28,3.14
2016-01-29,3.94
2016-02-01,3.91
2016-02-02,3.66
2016-02-03,4.0
2016-02-04,4.4
2016-02-05,4.17
2016-02-08,4.14
2016-02-09,3.98
2016-02-10,3.6
2016-02-11,3.87
2016-02-12,3.88
2016-02-16,3.69
2016-02-17,4.16
2016-02-18,4.13
2016-02-19,4.13
2016-02-22,4.19
2016-02-23,4.05
2016-02-24,4.79
2016-02-25,4.91
2016-02-26,4.9
2016-02-29,5.13
2016-03-01,5.4
2016-03-02,5.71
2016-03-03,5.96
2016-03-04,5.79
2016-03-07,6.58
2016-03-08,6.08
2016-03-09,6.31
2016-03-10,6.34
2016-03-11,6.52
2016-03-14,6.87
2016-03-15,6.83
2016-03-16,6.69
2016-03-17,7.22
2016-03-18,7.47
2016-03-21,7.2
2016-03-22,7.2
2016-03-23,6.78
2016-03-24,7.15
2016-03-28,7.0
2016-03-29,7.18
2016-03-30,7.23
2016-03-31,7.0
2016-04-01,7.45
2016-04-04,7.2
2016-04-05,7.13
2016-04-06,7.31
2016-04-07,7.04
2016-04-08,7.21
2016-04-11,7.21
2016-04-12,7.45
2016-04-13,7.66
2016-04-14,7.58
2016-04-15,8.13
2016-04-18,8.18
2016-04-19,9.06
2016-04-20,9.23
2016-04-21,9.61
2016-04-22,9.07
2016-04-25,9.0
2016-04-26,9.43
2016-04-27,9.19
2016-04-28,9.46
2016-04-29,9.12
2016-05-02,9.26
2016-05-03,10.0
2016-05-04,9.93
2016-05-05,9.87
2016-05-06,10.26
2016-05-09,9.4
2016-05-10,9.94
2016-05-11,10.06
2016-05-12,9.85
2016-05-13,9.81
2016-05-16,10.04
2016-05-17,10.44
2016-05-18,10.41
2016-05-19,10.25
2016-05-20,9.97
2016-05-23,9.56
2016-05-24,9.23
2016-05-25,9.58
2016-05-26,9.36
2016-05-27,9.15
2016-05-31,8.71
2016-06-01,8.8
2016-06-02,8.86
2016-06-03,8.45
2016-06-06,8.48
2016-06-07,8.46
2016-06-08,8.35
2016-06-09,8.45
2016-06-10,8.8
2016-06-13,8.38
2016-06-14,8.6
2016-06-15,8.89
2016-06-16,8.88
2016-06-17,8.92
2016-06-20,9.2
2016-06-21,9.22
2016-06-22,9.07
2016-06-23,9.75
2016-06-24,9.27
2016-06-27,8.44
2016-06-28,8.45
2016-06-29,8.47
2016-06-30,8.24
2016-07-01,8.48
2016-07-05,7.65
2016-07-06,5.93
2016-07-07,6.56
2016-07-08,7.68
2016-07-11,7.93
2016-07-12,8.18
2016-07-13,8.26
2016-07-14,8.78
2016-07-15,8.91
2016-07-18,9.35
2016-07-19,9.1
2016-07-20,9.13
2016-07-21,9.16
2016-07-22,8.84
2016-07-25,8.79
2016-07-26,9.3
2016-07-27,9.5
2016-07-28,9.39
2016-07-29,9.3
2016-08-01,9.29
2016-08-02,8.84
2016-08-03,8.93
2016-08-04,8.94
2016-08-05,9.1
2016-08-08,9.31
2016-08-09,10.3
2016-08-10,10.94
2016-08-11,11.74
2016-08-12,11.45
2016-08-15,12.25
2016-08-16,12.12
2016-08-17,12.24
2016-08-18,12.4
2016-08-19,12.38
2016-08-22,12.45
2016-08-23,12.51
2016-08-24,12.39
2016-08-25,12.83
2016-08-26,12.66
2016-08-29,13.27
2016-08-30,13.38
2016-08-31,13.19
2016-09-01,13.47
2016-09-02,13.63
2016-09-06,13.52
2016-09-07,13.61
2016-09-08,13.55
2016-09-09,12.81
2016-09-12,13.26
2016-09-13,12.71
2016-09-14,13.59
2016-09-15,13.7
2016-09-16,14.56
2016-09-19,14.45
2016-09-20,14.11
2016-09-21,14.74
2016-09-22,14.99
2016-09-23,15.13
2016-09-26,14.6
2016-09-27,14.97
2016-09-28,15.23
2016-09-29,15.16
2016-09-30,16.0
2016-10-03,15.92
2016-10-04,15.62
2016-10-05,16.17
2016-10-06,16.200001
2016-10-07,15.75
2016-10-10,15.51
2016-10-11,15.06
2016-10-12,15.02
2016-10-13,14.87
2016-10-14,14.93
2016-10-17,15.26
2016-10-18,15.86
2016-10-19,16.219998999999998
2016-10-20,16.67
2016-10-21,16.790001
2016-10-24,16.77
2016-10-25,16.719998999999998
2016-10-26,16.950001
2016-10-27,16.9
2016-10-28,17.51
2016-10-31,16.43
2016-11-01,16.84
2016-11-02,16.25
2016-11-03,16.709999
2016-11-04,17.1
2016-11-07,19.280001000000002
2016-11-08,20.09
2016-11-09,20.48
2016-11-10,20.85
2016-11-11,20.709999
2016-11-14,21.110001
2016-11-15,22.02
2016-11-16,22.0
2016-11-17,22.66
2016-11-18,22.68
2016-11-21,23.24
2016-11-22,23.51
2016-11-23,23.799999
2016-11-25,23.6
2016-11-28,22.75
2016-11-29,23.620001000000002
2016-11-30,24.719998999999998
2016-12-01,24.610001
2016-12-02,25.030001000000002
2016-12-05,25.870001000000002
2016-12-06,26.049999
2016-12-07,26.07
2016-12-08,26.959999
2016-12-09,26.219998999999998
2016-12-12,23.82
2016-12-13,24.6
2016-12-14,24.870001000000002
2016-12-15,25.35
2016-12-16,24.139999
2016-12-19,24.75
2016-12-20,25.059998999999998
2016-12-21,23.43
2016-12-22,22.76
2016-12-23,23.030001000000002
2016-12-27,22.75
2016-12-28,22.4
2016-12-29,22.35
2016-12-30,22.09
2017-01-03,21.219998999999998
2017-01-04,22.209999
2017-01-05,21.879998999999998
2017-01-06,21.540001
2017-01-09,22.280001000000002
2017-01-10,23.35
2017-01-11,24.59
2017-01-12,24.360001
2017-01-13,24.889999
2017-01-17,24.48
2017-01-18,25.02
2017-01-19,24.26
2017-01-20,24.99
2017-01-23,24.620001000000002
2017-01-24,25.49
2017-01-25,25.57
2017-01-26,25.59
2017-01-27,25.389999
2017-01-30,25.08
2017-01-31,26.42
2017-02-01,26.799999
2017-02-02,26.870001000000002
2017-02-03,27.620001000000002
2017-02-06,27.83
2017-02-07,27.34
2017-02-08,27.209999
2017-02-09,27.59
2017-02-10,28.129998999999998
2017-02-13,32.139998999999996
2017-02-14,32.07
2017-02-15,32.68
2017-02-16,31.9
2017-02-17,33.060001
2017-02-21,35.599998
2017-02-22,35.080002
2017-02-23,34.07
2017-02-24,34.080002
2017-02-27,33.799999
2017-02-28,33.66
2017-03-01,34.720001
2017-03-02,33.490002000000004
2017-03-03,34.049999
2017-03-06,33.639998999999996
2017-03-07,33.619999
2017-03-08,33.139998999999996
2017-03-09,32.970001
2017-03-10,32.970001
2017-03-13,33.799999
2017-03-14,33.610001000000004
2017-03-15,35.18
2017-03-16,34.639998999999996
2017-03-17,34.75
2017-03-20,34.68
2017-03-21,32.759997999999996
2017-03-22,33.799999
2017-03-23,34.509997999999996
2017-03-24,34.150002
2017-03-27,34.389998999999996
2017-03-28,36.279999
2017-03-29,37.450001
2017-03-30,38.16
2017-03-31,38.5
2017-04-03,38.18
2017-04-04,38.189999
2017-04-05,37.509997999999996
2017-04-06,37.720001
2017-04-07,37.740002000000004
2017-04-10,37.450001
2017-04-11,37.549999
2017-04-12,35.98
2017-04-13,35.119999
2017-04-17,35.580002
2017-04-18,35.77
2017-04-19,35.549999
2017-04-20,37.09
2017-04-21,37.529999
2017-04-24,39.220001
2017-04-25,39.900002
2017-04-26,40.259997999999996
2017-04-27,40.169998
2017-04-28,40.290001000000004
2017-05-01,40.720001
2017-05-02,39.869999
2017-05-03,39.029999
2017-05-04,39.900002
2017-05-05,41.240002000000004
2017-05-08,40.259997999999996
2017-05-09,40.720001
2017-05-10,42.290001000000004
2017-05-11,41.880001
2017-05-12,43.82
2017-05-15,45.27
2017-05-16,45.380001
2017-05-17,43.029999
2017-05-18,42.75
2017-05-19,43.84
2017-05-22,43.709998999999996
2017-05-23,43.16
2017-05-24,41.91
2017-05-25,42.310001
2017-05-26,42.52
2017-05-30,41.389998999999996
2017-05-31,39.990002000000004
2017-06-01,41.509997999999996
2017-06-02,41.16
2017-06-05,41.610001000000004
2017-06-06,39.220001
2017-06-07,39.549999
2017-06-08,40.240002000000004
2017-06-09,40.099998
2017-06-12,39.759997999999996
2017-06-13,40.950001
2017-06-14,38.709998999999996
2017-06-15,37.029999
2017-06-16,36.700001
2017-06-19,38.0
2017-06-20,37.950001
2017-06-21,36.810001
2017-06-22,36.810001
2017-06-23,36.0
2017-06-26,36.0
2017-06-27,35.09
2017-06-28,36.630001
2017-06-29,35.52
2017-06-30,37.919998
2017-07-03,38.099998
2017-07-05,39.299999
2017-07-06,38.75
2017-07-07,40.09
2017-07-10,40.849998
2017-07-11,41.75
2017-07-12,42.939999
2017-07-13,44.009997999999996
2017-07-14,44.759997999999996
2017-07-17,45.02
2017-07-18,44.900002
2017-07-19,45.150002
2017-07-20,44.810001
2017-07-21,44.799999
2017-07-24,46.330002
2017-07-25,48.02
2017-07-26,47.52
2017-07-27,47.02
2017-07-28,48.09
2017-07-31,47.610001000000004
2017-08-01,47.939999
2017-08-02,47.970001
2017-08-03,47.150002
2017-08-04,49.310001
2017-08-07,49.77
2017-08-08,47.200001
2017-08-09,46.27
2017-08-10,44.41
2017-08-11,46.34
2017-08-14,47.09
2017-08-15,46.900002
2017-08-16,46.32
2017-08-17,44.91
2017-08-18,46.080002
2017-08-21,46.360001000000004
2017-08-22,47.740002000000004
2017-08-23,47.529999
2017-08-24,47.490002000000004
2017-08-25,47.619999
2017-08-28,47.720001
2017-08-29,47.619999
2017-08-30,47.900002
2017-08-31,49.07
2017-09-01,49.990002000000004
2017-09-05,48.200001
2017-09-06,47.959998999999996
2017-09-07,48.939999
2017-09-08,49.709998999999996
2017-09-11,50.5
2017-09-12,49.990002000000004
2017-09-13,49.169998
2017-09-14,49.66
2017-09-15,50.360001000000004
2017-09-18,51.349998
2017-09-19,51.919998
2017-09-20,51.799999
2017-09-21,51.950001
2017-09-22,51.790001000000004
2017-09-25,50.310001
2017-09-26,50.419998
2017-09-27,50.490002000000004
2017-09-28,50.41
2017-09-29,50.610001000000004
2017-10-02,52.75
2017-10-03,53.439999
2017-10-04,53.02
2017-10-05,54.43
2017-10-06,54.669998
2017-10-09,54.82
2017-10-10,54.990002000000004
2017-10-11,55.119999
2017-10-12,55.349998
2017-10-13,56.040001000000004
2017-10-16,57.009997999999996
2017-10-17,56.849998
2017-10-18,56.119999
2017-10-19,56.169998
2017-10-20,55.889998999999996
2017-10-23,55.950001
2017-10-24,56.950001
2017-10-25,56.82
2017-10-26,56.610001000000004
2017-10-27,57.23
2017-10-30,56.990002000000004
2017-10-31,56.610001000000004
2017-11-01,56.970001
2017-11-02,55.830002
2017-11-03,52.16
2017-11-06,52.099998
2017-11-07,51.0
2017-11-08,51.009997999999996
2017-11-09,51.110001000000004
2017-11-10,50.07
2017-11-13,51.91
2017-11-14,50.599998
2017-11-15,49.650002
2017-11-16,51.549999
2017-11-17,52.5
2017-11-20,51.93
2017-11-21,52.970001
2017-11-22,52.860001000000004
2017-11-24,53.310001
2017-11-27,52.709998999999996
2017-11-28,53.139998999999996
2017-11-29,51.709998999999996
2017-11-30,51.400002
2017-12-01,51.84
2017-12-04,49.439999
2017-12-05,49.299999
2017-12-06,46.349998
2017-12-07,47.93
2017-12-08,47.639998999999996
2017-12-11,48.139998999999996
2017-12-12,48.07
2017-12-13,47.509997999999996
2017-12-14,47.490002000000004
2017-12-15,48.040001000000004
2017-12-18,50.16
2017-12-19,49.75
2017-12-20,49.419998
2017-12-21,49.02
2017-12-22,49.02
2017-12-26,49.720001
2017-12-27,49.880001
2017-12-28,50.759997999999996
2017-12-29,50.060001
2018-01-02,51.740002000000004
2018-01-03,51.41
2018-01-04,51.119999
2018-01-05,51.330002
2018-01-08,50.889998999999996
2018-01-09,50.299999
2018-01-10,51.200001
2018-01-11,52.990002000000004
2018-01-12,52.470001
2018-01-16,51.0
2018-01-17,52.240002000000004
2018-01-18,51.599998
2018-01-19,54.02
2018-01-22,54.490002000000004
2018-01-23,53.77
2018-01-24,52.990002000000004
2018-01-25,52.790001000000004
2018-01-26,53.43
2018-01-29,53.59
2018-01-30,52.099998
2018-01-31,51.619999
2018-02-01,51.619999
2018-02-02,49.220001
2018-02-05,46.880001
2018-02-06,47.889998999999996
2018-02-07,48.27
2018-02-08,44.77
2018-02-09,46.459998999999996
2018-02-12,47.740002000000004
2018-02-13,47.639998999999996
2018-02-14,49.009997999999996
2018-02-15,48.91
2018-02-16,48.84
2018-02-20,50.080002
2018-02-21,50.009997999999996
2018-02-22,50.139998999999996
2018-02-23,51.080002
2018-02-26,51.049999
2018-02-27,49.169998
2018-02-28,47.509997999999996
2018-03-01,48.529999
2018-03-02,49.18
2018-03-05,48.66
2018-03-06,49.389998999999996
2018-03-07,49.369999
2018-03-08,48.59
2018-03-09,50.060001
2018-03-12,50.950001
2018-03-13,49.98
2018-03-14,49.68
2018-03-15,49.27
2018-03-16,49.799999
2018-03-19,49.43
2018-03-20,48.48
2018-03-21,49.939999
2018-03-22,48.650002
2018-03-23,47.09
2018-03-26,47.459998999999996
2018-03-27,46.619999
2018-03-28,46.200001
2018-03-29,48.709998999999996
2018-04-02,46.990002000000004
2018-04-03,47.220001
2018-04-04,47.959998999999996
2018-04-05,50.080002
2018-04-06,48.68
2018-04-09,48.73
2018-04-10,50.119999
2018-04-11,49.66
2018-04-12,50.619999
2018-04-13,50.650002
2018-04-16,51.279999
2018-04-17,52.279999
2018-04-18,52.619999
2018-04-19,51.919998
2018-04-20,51.919998
2018-04-23,52.32
2018-04-24,51.009997999999996
2018-04-25,50.919998
2018-04-26,51.220001
2018-04-27,50.220001
2018-04-30,48.41
2018-05-01,48.25
2018-05-02,48.470001
2018-05-03,48.509997999999996
2018-05-04,50.669998
2018-05-07,50.419998
2018-05-08,50.580002
2018-05-09,50.669998
2018-05-10,50.849998
2018-05-11,50.759997999999996
2018-05-14,50.990002000000004
2018-05-15,51.32
2018-05-16,52.279999
2018-05-17,52.610001000000004
2018-05-18,52.169998
2018-05-21,52.52
2018-05-22,51.790001000000004
2018-05-23,51.529999
2018-05-24,51.32
2018-05-25,50.66
2018-05-29,49.779999
2018-05-30,49.939999
2018-05-31,48.990002000000004
2018-06-01,49.310001
2018-06-04,50.169998
2018-06-05,49.900002
2018-06-06,51.470001
2018-06-07,50.689999
2018-06-08,51.279999
2018-06-11,51.009997999999996
2018-06-12,50.080002
2018-06-13,49.779999
2018-06-14,49.779999
2018-06-15,49.459998999999996
2018-06-18,48.650002
2018-06-19,47.200001
2018-06-20,47.119999
2018-06-21,46.610001000000004
2018-06-22,47.0
2018-06-25,46.869999
2018-06-26,45.049999
2018-06-27,44.150002
2018-06-28,43.990002000000004
2018-06-29,44.360001000000004
2018-07-02,43.919998
2018-07-03,43.549999
2018-07-05,44.150002
2018-07-06,44.52
2018-07-09,45.560001
2018-07-10,45.959998999999996
2018-07-11,44.02
2018-07-12,44.759997999999996
2018-07-13,44.880001
2018-07-16,43.18
2018-07-17,44.220001
2018-07-18,45.790001000000004
2018-07-19,45.689999
2018-07-20,45.23
2018-07-23,45.07
2018-07-24,44.82
2018-07-25,45.779999
2018-07-26,46.02
2018-07-27,45.720001
2018-07-30,45.220001
2018-07-31,45.810001
2018-08-01,44.849998
2018-08-02,43.970001
2018-08-03,47.040001000000004
2018-08-06,46.369999
2018-08-07,47.860001000000004
2018-08-08,47.900002
2018-08-09,47.040001000000004
2018-08-10,45.009997999999996
2018-08-13,44.27
2018-08-14,44.34
2018-08-15,42.959998999999996
2018-08-16,43.389998999999996
2018-08-17,43.07
2018-08-20,43.279999
2018-08-21,43.73
2018-08-22,43.68
2018-08-23,43.82
2018-08-24,44.400002
2018-08-27,45.919998
2018-08-28,45.439999
2018-08-29,44.799999
2018-08-30,43.360001000000004
2018-08-31,43.599998
2018-09-04,43.84
2018-09-05,44.610001000000004
2018-09-06,43.650002
2018-09-07,44.0
2018-09-10,44.549999
2018-09-11,41.360001000000004
2018-09-12,39.619999
2018-09-13,39.830002
2018-09-14,40.349998
2018-09-17,40.32
2018-09-18,40.299999
2018-09-19,40.540001000000004
2018-09-20,41.549999
2018-09-21,41.040001000000004
2018-09-24,39.84
2018-09-25,39.349998
2018-09-26,39.27
2018-09-27,39.110001000000004
2018-09-28,39.439999
2018-10-01,39.509997999999996
2018-10-02,40.470001
2018-10-03,41.639998999999996
2018-10-04,40.91
2018-10-05,38.93
2018-10-08,39.25
2018-10-09,35.52
2018-10-10,35.68
2018-10-11,35.290001000000004
2018-10-12,36.400002
2018-10-15,36.619999
2018-10-16,37.209998999999996
2018-10-17,36.549999
2018-10-18,35.619999
2018-10-19,35.869999
2018-10-22,35.169998
2018-10-23,34.09
2018-10-24,31.83
2018-10-25,33.279999
2018-10-26,33.23
2018-10-29,32.41
2018-10-30,32.41
2018-10-31,33.009997999999996
2018-11-01,34.950001
2018-11-02,34.369999
2018-11-05,33.259997999999996
2018-11-06,33.98
2018-11-07,34.880001
2018-11-08,32.900002
2018-11-09,32.09
2018-11-12,31.379998999999998
2018-11-13,31.1
2018-11-14,31.299999
2018-11-15,31.110001
2018-11-16,29.5
2018-11-19,29.26
2018-11-20,28.58
2018-11-21,29.48
2018-11-23,28.950001
2018-11-26,28.940001000000002
2018-11-27,28.26
2018-11-28,28.34
2018-11-29,28.5
2018-11-30,28.48
2018-12-03,28.85
2018-12-04,27.15
2018-12-06,26.879998999999998
2018-12-07,26.120001000000002
2018-12-10,25.41
2018-12-11,25.34
2018-12-12,26.65
2018-12-13,27.139999
2018-12-14,27.92
2018-12-17,27.02
2018-12-18,27.16
2018-12-19,26.889999
2018-12-20,26.58
2018-12-21,26.24
2018-12-24,25.65
2018-12-26,27.459999
2018-12-27,27.799999
2018-12-28,27.76
2018-12-31,28.219998999999998
2019-01-02,29.32
2019-01-03,28.799999
2019-01-04,31.07
2019-01-07,31.879998999999998
2019-01-08,33.189999
2019-01-09,32.880001
2019-01-10,33.59
2019-01-11,33.84
2019-01-14,33.099998
2019-01-15,32.669998
2019-01-16,33.650002
2019-01-17,34.119999
2019-01-18,34.950001
2019-01-22,33.82
2019-01-23,33.490002000000004
2019-01-24,33.919998
2019-01-25,35.73
2019-01-28,34.790001000000004
2019-01-29,34.799999
2019-01-30,36.25
2019-01-31,35.75
2019-02-01,36.959998999999996
2019-02-04,37.279999
2019-02-05,37.580002
2019-02-06,37.73
2019-02-07,36.490002000000004
2019-02-08,36.360001000000004
2019-02-11,36.889998999999996
2019-02-12,38.52
2019-02-13,38.75
2019-02-14,38.689999
2019-02-15,37.75
2019-02-19,37.599998
2019-02-20,38.18
2019-02-21,37.619999
2019-02-22,39.220001
2019-02-25,38.84
2019-02-26,38.25
2019-02-27,38.889998999999996
2019-02-28,38.029999
2019-03-01,38.02
2019-03-04,37.91
2019-03-05,37.68
2019-03-06,37.540001000000004
2019-03-07,38.18
2019-03-08,38.029999
2019-03-11,38.360001000000004
2019-03-12,38.59
2019-03-13,38.970001
2019-03-14,38.610001000000004
2019-03-15,37.889998999999996
2019-03-18,39.02
2019-03-19,39.389998999999996
2019-03-20,39.990002000000004
2019-03-21,40.580002
2019-03-22,38.299999
2019-03-25,36.560001
2019-03-26,35.419998
2019-03-27,35.529999
2019-03-28,36.68
2019-03-29,37.16
2019-04-01,37.57
2019-04-02,37.32
2019-04-03,38.009997999999996
2019-04-04,37.970001
2019-04-05,38.029999
2019-04-08,38.450001
2019-04-09,37.5
2019-04-10,38.580002
2019-04-11,38.860001000000004
2019-04-12,39.66
2019-04-15,40.450001
2019-04-16,40.189999
2019-04-17,39.759997999999996
2019-04-18,39.290001000000004
2019-04-22,39.34
2019-04-23,39.77
2019-04-24,38.990002000000004
2019-04-25,38.09
2019-04-26,38.549999
2019-04-29,37.400002
2019-04-30,36.009997999999996
2019-05-01,34.810001
2019-05-02,34.169998
2019-05-03,34.18
2019-05-06,31.610001
2019-05-07,29.09
2019-05-08,29.209999
2019-05-09,27.18
2019-05-10,26.969998999999998
2019-05-13,25.32
2019-05-14,24.4
2019-05-15,23.74
2019-05-16,23.93
2019-05-17,23.09
2019-05-20,22.41
2019-05-21,23.75
2019-05-22,23.48
2019-05-23,22.91
2019-05-24,22.52
2019-05-28,22.799999
2019-05-29,22.67
2019-05-30,22.219998999999998
2019-05-31,21.09
2019-06-03,21.959999
2019-06-04,23.07
2019-06-05,22.42
2019-06-06,22.67
2019-06-07,22.58
2019-06-10,22.969998999999998
2019-06-11,23.85
2019-06-12,23.58
2019-06-13,24.27
2019-06-14,23.84
2019-06-17,23.530001000000002
2019-06-18,24.35
2019-06-19,24.209999
2019-06-20,24.35
2019-06-21,24.860001
2019-06-24,24.290001
2019-06-25,24.5
2019-06-26,25.07
2019-06-27,24.9
2019-06-28,24.0
2019-07-01,22.530001000000002
2019-07-02,21.17
2019-07-03,21.530001000000002
2019-07-05,21.25
2019-07-08,19.75
2019-07-09,19.85
2019-07-10,19.639999
2019-07-11,19.16
2019-07-12,19.74
2019-07-15,19.35
2019-07-16,20.41
2019-07-17,19.440001000000002
2019-07-18,19.15
2019-07-19,18.809998999999998
2019-07-22,18.620001000000002
2019-07-23,19.110001
2019-07-24,19.280001000000002
2019-07-25,19.040001
2019-07-26,19.49
2019-07-29,19.32
2019-07-30,19.32
2019-07-31,19.07
2019-08-01,18.16
2019-08-02,14.69
2019-08-05,13.78
2019-08-06,14.01
2019-08-07,14.16
2019-08-08,14.52
2019-08-09,13.36
2019-08-12,12.51
2019-08-13,12.6
2019-08-14,12.04
2019-08-15,11.93
2019-08-16,12.66
2019-08-19,12.95
2019-08-20,13.06
2019-08-21,14.11
2019-08-22,13.25
2019-08-23,13.0
2019-08-26,12.75
2019-08-27,12.36
2019-08-28,12.99
2019-08-29,13.85
2019-08-30,14.17
2019-09-03,13.35
2019-09-04,13.48
2019-09-05,14.46
2019-09-06,14.66
2019-09-09,15.84
2019-09-10,16.41
2019-09-11,16.51
2019-09-12,16.35
2019-09-13,16.35
2019-09-16,17.08
2019-09-17,16.620001000000002
2019-09-18,16.200001
2019-09-19,16.4
2019-09-20,16.190001000000002
2019-09-23,16.24
2019-09-24,14.41
2019-09-25,14.74
2019-09-26,14.4
2019-09-27,14.51
2019-09-30,14.94
2019-10-01,13.98
2019-10-02,13.53
2019-10-03,13.65
2019-10-04,13.27
2019-10-07,13.35
2019-10-08,13.12
2019-10-09,13.4
2019-10-10,13.86
2019-10-11,14.84
2019-10-14,14.66
2019-10-15,14.75
2019-10-16,15.28
2019-10-17,15.13
2019-10-18,15.15
2019-10-21,15.72
2019-10-22,16.07
2019-10-23,16.790001
2019-10-24,16.32
2019-10-25,16.75
2019-10-28,16.99
2019-10-29,16.629998999999998
2019-10-30,16.58
2019-10-31,16.41
2019-11-01,17.360001
2019-11-04,17.870001000000002
2019-11-05,19.780001000000002
2019-11-06,18.790001
2019-11-07,19.65
2019-11-08,19.690001000000002
2019-11-11,19.440001000000002
2019-11-12,19.709999
2019-11-13,18.83
2019-11-14,18.540001
2019-11-15,18.43
2019-11-18,16.98
2019-11-19,17.219998999999998
2019-11-20,17.049999
2019-11-21,16.24
2019-11-22,16.059998999999998
2019-11-25,16.6
2019-11-26,15.76
2019-11-27,16.139999
2019-11-29,15.79
2019-12-02,15.71
2019-12-03,15.39
2019-12-04,15.43
2019-12-05,15.06
2019-12-06,16.68
2019-12-09,16.65
2019-12-10,16.190001000000002
2019-12-11,16.58
2019-12-12,17.76
2019-12-13,16.969998999999998
2019-12-16,17.43
2019-12-17,17.65
2019-12-18,17.629998999999998
2019-12-19,18.92
2019-12-20,17.99
2019-12-23,18.6
2019-12-24,18.4
2019-12-26,18.41
2019-12-27,17.620001000000002
2019-12-30,17.6
2019-12-31,18.09
2020-01-02,18.110001
2020-01-03,16.9
2020-01-06,17.200001
2020-01-07,17.08
2020-01-08,17.190001000000002
2020-01-09,16.74
2020-01-10,16.43
2020-01-13,16.889999
2020-01-14,18.200001
2020-01-15,17.75
2020-01-16,18.049999
2020-01-17,17.459999
2020-01-21,16.66
2020-01-22,16.24
2020-01-23,16.18
2020-01-24,15.59
2020-01-27,14.56
2020-01-28,14.47
2020-01-29,14.54
2020-01-30,14.47
2020-01-31,13.87
2020-02-03,14.34
2020-02-04,14.29
2020-02-05,14.83
2020-02-06,14.66
2020-02-07,14.04
2020-02-10,14.1
2020-02-11,14.94
2020-02-12,15.59
2020-02-13,15.68
2020-02-14,19.370001000000002
2020-02-18,18.559998999999998
2020-02-19,19.059998999999998
2020-02-20,19.700001
2020-02-21,19.440001000000002
2020-02-24,18.629998999999998
