Date,PTV
2010-12-31,940000.0
2011-01-03,
2011-01-04,1060000.0
2011-01-05,1060000.0
2011-01-06,
2011-01-07,
2011-01-10,
2011-01-11,
2011-01-12,1200000.0
2011-01-13,
2011-01-14,1100000.0
2011-01-18,970000.0
2011-01-19,1200000.0
2011-01-20,1250000.0
2011-01-21,1250000.0
2011-01-24,1330000.0
2011-01-25,1300000.0
2011-01-26,1300000.0
2011-01-27,1300000.0
2011-01-28,1300000.0
2011-01-31,1300000.0
2011-02-01,1180000.0
2011-02-02,1180000.0
2011-02-03,1180000.0
2011-02-04,1180000.0
2011-02-07,1180000.0
2011-02-08,1180000.0
2011-02-09,1160000.0
2011-02-10,1180000.0
2011-02-11,1180000.0
2011-02-14,1180000.0
2011-02-15,1180000.0
2011-02-16,1180000.0
2011-02-17,1180000.0
2011-02-18,1180000.0
2011-02-22,1180000.0
2011-02-23,1180000.0
2011-02-24,1180000.0
2011-02-25,1180000.0
2011-02-28,1180000.0
2011-03-01,1180000.0
2011-03-02,1180000.0
2011-03-03,1180000.0
2011-03-04,1180000.0
2011-03-07,1180000.0
2011-03-08,1180000.0
2011-03-09,1180000.0
2011-03-10,1180000.0
2011-03-11,1180000.0
2011-03-14,1180000.0
2011-03-15,1180000.0
2011-03-16,1180000.0
2011-03-17,1180000.0
2011-03-18,1180000.0
2011-03-21,1180000.0
2011-03-22,1180000.0
2011-03-23,1180000.0
2011-03-24,1180000.0
2011-03-25,1180000.0
2011-03-28,1180000.0
2011-03-29,1180000.0
2011-03-30,1180000.0
2011-03-31,1180000.0
2011-04-01,1180000.0
2011-04-04,1180000.0
2011-04-05,1180000.0
2011-04-06,1180000.0
2011-04-07,1180000.0
2011-04-08,1180000.0
2011-04-11,1180000.0
2011-04-12,1180000.0
2011-04-13,1180000.0
2011-04-14,1180000.0
2011-04-15,1180000.0
2011-04-18,1180000.0
2011-04-19,1180000.0
2011-04-20,1180000.0
2011-04-21,1180000.0
2011-04-25,
2011-04-26,1180000.0
2011-04-27,1180000.0
2011-04-28,1180000.0
2011-04-29,
2011-05-02,
2011-05-03,1180000.0
2011-05-04,1180000.0
2011-05-05,1180000.0
2011-05-06,1180000.0
2011-05-09,1180000.0
2011-05-10,1180000.0
2011-05-11,1180000.0
2011-05-12,1180000.0
2011-05-13,1180000.0
2011-05-16,1180000.0
2011-05-17,1180000.0
2011-05-18,1180000.0
2011-05-19,1180000.0
2011-05-20,1180000.0
2011-05-23,1180000.0
2011-05-24,1180000.0
2011-05-25,1180000.0
2011-05-26,1180000.0
2011-05-27,1180000.0
2011-05-31,1180000.0
2011-06-01,1180000.0
2011-06-02,1180000.0
2011-06-03,1180000.0
2011-06-06,1180000.0
2011-06-07,1180000.0
2011-06-08,1180000.0
2011-06-09,1180000.0
2011-06-10,1180000.0
2011-06-13,1180000.0
2011-06-14,1180000.0
2011-06-15,1180000.0
2011-06-16,1180000.0
2011-06-17,1180000.0
2011-06-20,1180000.0
2011-06-21,1180000.0
2011-06-22,1180000.0
2011-06-23,1180000.0
2011-06-24,1180000.0
2011-06-27,1180000.0
2011-06-28,1180000.0
2011-06-29,1180000.0
2011-06-30,1180000.0
2011-07-01,1180000.0
2011-07-05,1180000.0
2011-07-06,1180000.0
2011-07-07,1180000.0
2011-07-08,1180000.0
2011-07-11,1180000.0
2011-07-12,1180000.0
2011-07-13,1180000.0
2011-07-14,1180000.0
2011-07-15,1180000.0
2011-07-18,1180000.0
2011-07-19,1180000.0
2011-07-20,1180000.0
2011-07-21,1180000.0
2011-07-22,1180000.0
2011-07-25,1180000.0
2011-07-26,1180000.0
2011-07-27,1180000.0
2011-07-28,1180000.0
