,AAPL,ADBE,ALRM,AMT,AMTD,ANSS,ARO,BAC,BAM,BDX,BRK,BYI,CFX,CSGP,CSX,DG,DHIL,DHR,DISCA,DLTR,DTV,EQIX,ESGR,FDS,FOCS,FTV,GSHD,HIG,JEF,KKR,KMX,LAMR,LKQ,LPLA,LYV,MA,MBRG,MCO,MKL,MNRO,MSCI,MWE,NDN,NLY,NS,OLLI,ORLY,OXPS,PENN,PRMW,ROP,ROST,RVR,SBAC,SHLDQ,TECH,TJX,TRH,TROW,UI,V,VRSK,WMS
2020 Q1,,3.52,0.67,14.9,,1.06,,,3.09,,,,,2.5,,,,2.23,,3.25,,,,,,,,,,3.23,4.28,,,,2.42,13.58,,11.58,4.48,,,,,,,0.23,5.39,,,,5.17,,,6.46,,,,,,,8.21,3.32,
2019 Q4,,,0.63,15.14,,0.39,,,3.31,,0.72,,,1.37,,,,2.33,,4.39,,,,,,,,,,3.41,5.42,,,,,14.59,,12.37,5.38,,,,,,,,7.58,,,0.33,5.09,,,5.45,,,,,,,8.42,3.48,
2019 Q3,,,0.63,15.67,,,,,2.79,,0.72,,,,,,,2.36,,5.72,,,,,,,0.05,,,3.38,5.45,,,,,14.26,,11.47,5.98,,,,,,,0.06,7.41,,,0.37,5.51,,,5.86,,,,,,,8.29,3.97,
2019 Q2,,,0.33,14.9,1.7,,,,,,0.76,,,,,,,2.4,,5.54,,,0.24,,,,,,,3.27,5.35,,,,,14.29,,11.25,5.67,,,,,,,,7.07,,,0.38,5.82,,,5.62,,,,,,2.82,8.6,3.78,
2019 Q1,,,0.41,14.95,1.77,,,,,,,,,,,,,2.31,,5.64,,,0.84,,1.12,,,,,3.16,4.48,,,,,13.24,,10.86,5.39,,,,,,,,7.73,,,0.47,5.66,,,5.19,,,,,,4.23,8.06,3.57,
2018 Q4,,,0.39,14.15,2.08,,,,,,,,,,,,,2.16,,5.81,,,1.9,,0.99,,,,,3.14,4.59,,,,,12.72,,10.07,6.74,,,,,,,,8.22,,,0.5,5.29,,,5.05,,,,,,3.37,8.16,3.51,
2018 Q3,,,0.4,11.99,1.83,,,,,,,,,,,,,2.1,,4.84,,,2.85,,1.52,,,,,3.18,4.58,,,,,13.85,,11.09,7.12,,,,,,,,7.65,,,0.6,5.39,,,4.62,,,,,,3.09,8.56,3.58,
2018 Q2,,,0.31,12.88,2.05,,,,,,,,,,,,0.16,2.06,,5.4,,,3.45,,,,,,,3.14,4.84,,,,,13.23,,12.24,7.03,,,,,,,,6.53,,,0.63,5.44,,,5.14,,,,,,2.87,8.18,3.46,
2018 Q1,,,,13.46,2.32,,,,,,,,,,,,0.39,2.13,,6.02,,,3.88,,,,,,,1.28,4.2,,1.57,,,12.24,,12.03,7.88,,,,,,,,6.15,,,0.29,5.73,,,5.53,,,,,,2.42,7.67,3.51,
2017 Q4,,,0.25,13.48,2.11,,,,,,,,,,,,0.42,2.14,,7.23,,,4.04,,,,,,,,4.6,,1.78,,,11.22,,11.68,8.15,,,,,,,,6.34,,,0.33,5.61,,,5.6,,,,,,2.65,7.76,3.45,
2017 Q3,,,,13.64,2.13,,,,,,,,,,,,0.45,2.09,,6.17,,,4.72,,,,,,,,5.74,,1.67,,,11.05,,11.63,8.06,1.32,,,,,,,5.99,,,0.3,5.56,,,5.22,,,,,,2.21,7.56,3.16,
2017 Q2,,,,14.8,2.1,,,,,,,,,,,,0.48,2.29,,5.56,,,4.75,,,,,,,,5.35,,1.92,,,10.66,,11.39,8.27,1.11,,,,,,,4.29,,,0.35,5.96,,,5.46,,,,,,2.29,7.53,3.61,
2017 Q1,,,,13.54,1.92,,,,,,,,3.07,,,1.74,,2.35,,5.47,,,4.6,,,,,,,,5.08,,1.73,,,9.97,,10.58,8.34,1.38,,,,,,,3.7,,,,5.36,,,4.93,,,,,,2.24,7.22,3.49,
2016 Q4,,,,13.14,2.4,,,,,,,,3.13,,,2.06,,2.39,,5.99,,,5.31,,,,,,,,6.16,,2.02,,,9.01,,8.15,8.62,1.62,,,,,,,4.26,,,,5.3,,,4.72,,,,,,2.87,5.24,3.89,
2016 Q3,,,,13.9,2.03,,,,,,,,3.73,,,,,2.29,,6.43,,,4.64,,,0.74,,,,,5.15,,2.45,,,9.32,,8.51,9.31,1.79,,,,,,,4.51,,,,5.54,,,4.07,,,,,,2.79,5.82,4.09,
2016 Q2,,,,14.1,1.74,,,,,,,,3.46,,,,,2.36,,7.79,,,4.67,,,0.7,,,,,5.58,,2.36,,,8.67,,8.28,9.45,1.83,,,,,,,4.65,,,,5.14,,,4.15,,,,,,2.32,5.45,4.26,
2016 Q1,,,,13.8,2.0,,,,,,,,4.65,,,,0.55,3.04,,7.38,,,5.04,,,,,,,,4.71,,2.32,,,9.51,,8.28,9.82,2.3,,,,,,,4.84,,,,5.12,,,3.99,,,,,,1.9,3.74,4.41,
2015 Q4,,,,13.78,2.32,,,,,,,,3.86,,,,0.62,3.14,,7.28,,,3.98,,,,,,,,4.15,,2.12,,,10.33,,8.27,10.26,2.25,,,,,,,4.73,,,,5.77,,,4.26,,,,,,1.91,3.99,4.47,
2015 Q3,,,,13.05,2.42,,,,,,,,4.95,,,,,3.01,,6.51,,,3.7,,,,,,,,3.87,,1.72,,3.54,9.98,,8.33,9.72,2.4,,,,,,,4.87,,,,4.97,,,3.33,,,,,,2.14,3.74,3.72,
2015 Q2,,,,12.03,2.84,,,,,,,,6.57,,,,,3.14,,6.86,,,2.16,,,,,,,,2.75,,,1.5,4.21,9.9,,9.41,10.12,2.29,,,,,,,4.59,,,,5.38,,,3.37,,,,,,2.09,3.75,3.54,
2015 Q1,,,,9.82,2.94,,,,,,,,7.39,,,,,3.15,3.58,6.94,,,2.01,,,,,,,,2.97,,,1.52,4.02,9.99,,9.8,9.79,2.31,,,,,,,4.58,,,,5.26,,,3.56,,,,,,1.89,3.87,1.91,
2014 Q4,,,,10.51,2.99,,,,,,,,7.92,,,,,3.4,5.13,6.52,,,2.07,,,,,,,,2.99,,,2.02,4.39,9.73,,8.92,9.21,2.3,,,,,,,4.16,,,,4.74,,,3.52,,,,,,1.45,3.96,1.36,
2014 Q3,1.83,,,10.73,3.01,,,,,,,,8.39,,,,,4.12,6.09,5.57,,,1.93,,,,,,,,1.58,,,2.25,4.35,9.01,,9.38,9.23,1.74,,,,,,,3.51,,,,4.54,,,3.79,,,,,,,3.47,1.39,
2014 Q2,1.73,,,10.57,2.89,,,,,,,,11.23,,,,,3.45,6.08,5.54,,,2.2,,,,,,,,,,,2.49,4.58,9.18,,8.91,9.44,,,1.48,,,,,3.61,,,,2.91,,,3.58,,,,,,,3.51,1.4,
