,AAPL,ABT,ACN,ADBE,ADP,AME,APH,BCR,BDX,CDW,CHRW,CL,CTSH,DHR,ECL,EFX,EMR,GE,GIS,GOOGL,INTU,JNJ,KO,LNAGF,MA,MDT,MMM,MSFT,NKE,OMC,ORCL,PAYX,PEP,PFE,PG,PX,RTX,SPGI,SYK,SYY,TJX,TROW,UNH,UPS,VAR,VFC,WAT,WFC
2020 Q1,4.28,,4.32,,,,,,7.04,,,,2.75,,,,,,3.48,5.72,2.87,6.65,,,2.3,,5.31,7.36,4.02,2.15,,,7.21,3.74,,,4.39,,3.35,,,,4.39,3.24,,2.35,,
2019 Q4,4.74,,4.27,,,,,,6.92,,,,2.94,,,,,,2.82,4.57,2.61,5.91,,,,,5.45,6.93,3.51,2.77,3.35,,6.59,3.63,,,6.08,,2.64,,,,4.51,3.23,,3.42,,
2019 Q3,3.88,,3.97,,,,,,6.9,,,,2.86,,2.83,,2.55,,2.62,4.01,,5.42,,,,,4.98,6.85,2.75,2.88,4.81,,7.1,3.37,,,5.95,,3.45,,,,4.43,2.76,,,,
2019 Q2,3.66,,4.06,,,,,,6.79,,,,3.2,,4.39,,2.6,,,2.85,,4.86,,,2.44,,4.53,7.04,,3.1,5.31,,6.7,3.35,3.22,,6.05,,4.84,,,,5.3,2.44,,,,
2019 Q1,3.36,,3.95,,,,2.52,,6.57,,,,3.07,,4.99,,,,,3.16,2.42,4.09,,4.88,2.72,,4.89,6.05,,,4.89,,6.34,2.75,3.32,,5.02,,5.06,,,,4.93,,,,,
2018 Q4,3.14,,3.56,,,,,,6.67,,,,,,4.97,,,,,3.35,2.93,4.51,,5.16,2.6,,4.5,5.86,,2.61,4.62,,6.44,3.18,3.5,,4.67,,4.8,,,,5.59,,,,2.75,
2018 Q3,3.64,,3.8,,,,,,6.56,,,,2.7,,5.17,,,,,3.42,2.99,4.26,,,2.71,,4.4,5.83,,,4.67,,5.75,2.84,3.01,4.94,5.42,,4.8,,3.09,,5.28,,,,,
2018 Q2,3.22,,3.93,,,,,,6.48,,,,2.98,,4.98,,,,,3.45,2.89,4.03,,,,,3.92,5.42,3.04,3.11,4.3,,5.51,,3.04,5.23,5.22,,4.92,,3.54,,5.24,,,,,
2018 Q1,2.94,,4.06,,,,,,6.42,,,,3.06,,5.16,,,,,3.2,,4.3,,,3.12,,3.85,5.54,3.36,3.32,4.5,,5.57,,3.12,4.82,5.3,,5.21,,3.06,,4.85,,,,,
2017 Q4,2.89,,3.95,,,,,,6.18,,,,2.63,,4.39,,,,,3.17,,4.57,,,3.07,,4.02,5.99,3.09,3.73,4.53,,5.97,,3.52,5.04,5.24,,4.88,,3.26,,4.87,,,,,
2017 Q3,2.78,,4.17,,,,,,6.44,,,,,,4.44,,,,,3.09,,4.49,,,3.02,,5.5,5.51,2.7,4.0,4.9,,5.58,,3.68,4.8,5.03,,4.73,,3.32,,4.57,,,,2.84,
