,AA,AAPL,ACN,ADT,AGO,AHONY,AIG,ALKS,ALL,AMZN,ANTM,APA,APD,APO,ARMK,ATVI,BA,BABA,BAC,BBY,BHC,BHI,BKNG,BNKJF,BX,C,CB,CCI,CCK,CFG,CHL,CHT,CINF,CMCSA,CME,COF,COP,CSC,CTSH,CVA,CVX,CYH,DELL,DISH,DLPH,DNA,DOX,DPS,DTV,DVN,EPD,ESNT,ESRX,ETR,FB,FCX,FISV,FITB,FMCC,FTE,GE,GILD,GLW,GNW,GOLF,GOOG,GOOGL,GPS,GS,GSK,HAL,HFC,HIG,HPQ,HSBC,HTZ,HUN,IFF,IMS,ING,INTC,IPXHF,ITC,JBLU,JNJ,JPM,KDDIF,KHC,LLY,LOPE,LTM,LVLT,LVS,MDLZ,MDT,MET,MHK,MJN,MON,MOT,MRO,MSFT,MTU,NCLH,NLSN,NMIH,NOMD,NORD,OAK,OGZPY,ORLY,PAHC,PCU,PMT,PRGO,PSTG,RAD,RHHVF,RIG,RPCGY,RSG,SBUX,SCHW,SD,SFTBF,SGEN,SHLDQ,SPLS,STJ,SWCEY,T,TEVA,TGT,TM,TMO,TOKSF,TOT,TPH,TRH,TUP,UBS,USB,USFD,VAL,VAR,VIVEF,VRSN,WB,WBA,WFR,WFT,WH,WMT,WYE,X,XOM,YHOO,YUM,ZAYO,ZTS
2019 Q4,,3.0,,,3.65,,,,,,,,,,,2.65,,2.71,,,,,,,,3.07,,,4.74,,3.24,,,3.54,,3.17,,,,,,,,,,,,,,,3.35,,,,2.32,,,,,,,2.73,,,,5.01,,,,,,,,,,,2.43,,,,,,,,,5.06,,,,,,,,,3.58,,,,,,,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,,,,,,,,5.15,,,,,,,,,2.34,,,,,,,,
2019 Q3,,2.47,,,3.56,,,,,,,,,,,2.54,,2.3,,,,,,,,2.86,,,4.65,,2.49,,,3.83,,3.02,,,,,,,,,,,,,,,3.66,,,,,,,,,,,4.03,,,,4.92,,,,,,,,,,,2.52,,,,,,,,,5.16,,,,,,,,,3.69,,,,,,,,,,,,3.04,,,,,,,2.38,,2.33,,,,,,,,,,,,,,,,,,,5.38,,,,,,,,5.45,,,,,,,,,,,,,,,,,
2019 Q2,,,,,3.5,,,,,,,,,,,3.09,,2.25,,,,,,,,3.16,,,4.16,,2.64,,,3.47,,2.91,,,,,,,,,,,,,,,3.57,,,,2.26,,,,,,,4.15,,,,4.22,,,,,,,,,,,,,,,,,,,,4.92,,,,,,,,,3.2,,,,,,,,,,,,3.06,,3.17,,,,,2.56,,,,,,,,2.39,,,,,,,,,,,,,5.24,,,,,,,,4.58,,,,,,,,,,,,,,,,,
2019 Q1,,,,,4.28,,,,,,,,,,,3.01,,2.44,,,,,,,,2.83,,,3.2,,2.99,,,3.31,,2.64,,,2.46,,,,,,,,,,,,3.63,,,,,,,,,,,4.03,,,,4.62,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,3.02,,,,,,,,,,,,3.44,,3.21,,,,,2.45,,,,,,,,3.08,,,,,,,,,,,,,5.53,,,,,,,,4.98,,,,,,,,,,,,,,,,,
2018 Q4,,,,,4.14,,,,,,,,,,,2.76,,2.06,,,,,,,,2.66,,,,,3.36,,,3.16,,,,,,,,,,,,,,,,,3.44,,,,,,,,,,,4.36,,,,4.58,,,,,,,,2.32,,,,,,,,,,,,4.87,,,,,,,,,3.38,,2.18,,,,,,,,,,3.16,,2.88,,,,,2.47,,,,,,3.48,,2.99,,,,,,,,,,,,,5.08,,,,,,,,5.07,,,,,,,,,,,,,,,,,
2018 Q3,,2.53,,,4.1,,,,,,,,,,,,,2.05,,,,,,,,3.03,,,,,2.84,,,2.72,,,,,,,,,,,,,,,,2.75,3.32,,,,,,,,,,,4.44,,,,4.36,,,,,,,,2.3,,,,,,,,,,,,4.65,,,,,,,,,3.02,,,,,,,,,,,,3.16,,2.48,,,,,2.22,,,,,,3.59,,2.18,,,,,,,,,,,,,4.57,,,,,,,,4.08,,,,,,,,,,,,,,,,,
2018 Q2,,2.09,,,3.49,,,1.98,,,,,,,,,,,,,,,,,,2.85,,,,,2.58,,,2.54,,,,,,,,,,,,,,,,3.05,3.23,,,,3.1,,,,,,,4.11,,,,4.11,,,,,,,,2.14,,,,,,,,,,,,4.33,,,,,,,,,3.11,,,,,,,,,,,,3.31,,2.45,,,,,2.49,,,,,,3.45,,,,,,,,,,,,,,,4.4,,,,,,,,5.05,,,,,,,,,,,,,,,,,
2018 Q1,,2.61,,,3.59,,,2.6,,,,,,,,,,,,,,,,,,2.91,,,,,2.7,,,,,,,,,,,,,,,,,,,,2.89,,,,2.58,,,,,,,4.43,,,,3.85,,,,,,,,,,,,,,,,,,,,4.63,,,,,,,,,2.96,,,,,,,,,,,,2.77,,2.42,,2.84,,,2.4,,,,,,3.2,,,,,,,,,,,,,,,5.02,,,2.51,,,,,4.43,,,,,,,,,,2.67,,,,,,,
2017 Q4,,3.08,,,2.75,,,2.43,,,,,,2.19,2.31,,,,,,,,,,,3.73,,,,,2.96,,,,,,,,,,,,,,,,,,,2.33,3.11,,,,4.12,,,,,,,4.42,,,,3.87,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,3.22,,,,,,,,,,,,2.95,,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,4.83,,,2.71,,,,,4.28,,,,,,,,,,4.68,,,,,,,
2017 Q3,,2.88,,,2.4,,,,,,,,,,2.78,,,,,,,,,,,3.74,,,,,3.04,,,,,,,,,,,,,,,,,,,,3.13,,,,4.09,,,,,,2.78,5.13,,,,3.64,,,,,,,,,,,,3.17,,,,,,,,4.49,,,,,,,,,3.18,,,,,,,,,,,,2.37,,,,2.51,,,2.35,,,,,,,,,,,,,,,,,,,,,4.94,,,2.36,,,,,3.17,,,,,,,,,,3.8,,,,,,,
