,AAL,AAPL,ABT,ACT,ADBE,AET,AGN,AIG,ALLY,AMGN,AMTD,AMZN,ANTM,APC,AVGO,AXP,AXTA,BABA,BAC,BAX,BBBY,BEAV,BID,BKI,BLK,BSX,BUD,BURL,BXLT,C,CB,CCE,CCK,CELG,CF,CHTR,CI,CNC,COG,CPB,CRM,CTXS,DAL,DD,DG,DHR,DIS,DOV,DOW,DVN,EA,EBAY,ELN,EMC,EQT,FB,FDX,FIS,FIVE,FMC,FOXA,FPAC,GD,GOOGL,HTZ,HUM,IAA,IAC,ICE,IP,IQV,JPM,KHC,LBTYA,LBTYK,LEN,LNG,LOW,MAS,MHK,MON,MPC,MRK,MS,MSFT,NFLX,NWSA,NXPI,PH,PSX,PVTB,PYPL,QCOM,RAX,ROP,ROST,RTX,SEE,SHPG,SHW,SJM,SPGI,ST,STJ,STZ,SUNE,TAP,TDG,TIBX,TIF,TMO,TMUS,TWC,TWX,V,VMC,VZ,WCC,WMB,WP,WYNN,YHOO,YPF,YUM,ZAYO
2019 Q4,,,,,3.6,,7.92,,,,1.72,1.49,,,,,,,,16.83,,,,,,2.6,,3.67,,,,,,,,,,1.74,,8.19,4.12,,,,,6.55,,,,,,,,,,,,4.0,1.76,,2.13,,,,,,3.52,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,8.97,,,,,2.51,,,,,,,,,,,,,3.24,,,,,,,,,,
2019 Q3,,,,,2.71,,7.2,,,,,,,,,,,,,17.52,,,4.51,1.27,,2.42,,3.56,,,,,,,,,,1.23,,9.48,4.41,,,,,6.37,,,,,,,,,,,,3.94,1.27,,3.0,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,3.32,,,,,9.74,,,,,2.33,,,,,,,,,,,,,3.07,,,,,,,,,,
2019 Q2,,,,,3.19,,,,,,,,,,,,,,,22.07,,,4.54,,,2.77,,1.4,,,,,,,,,,1.54,,8.68,2.31,,,,,6.21,,,,,,,,,,,,,,,4.51,,,,,,,,,,3.02,,,,,,,,,,,2.62,,,,2.15,,,,,,4.69,,,,1.92,9.15,,,,,2.03,,,,,,,,,,,,,3.05,,,,,3.16,,,,,
2019 Q1,,,,,2.69,,,,,,,,,,,1.84,,,,25.51,,,2.82,,,2.15,,,,,,,,1.85,,,,,,8.97,2.08,,,5.22,,5.49,,,,,,,,,,,,,,,4.01,,,,,,,,,,2.63,,,,,,,,,,,2.35,,,,,,,,,,4.07,,,,,9.36,,,,,1.79,,,2.06,,,,,,,,,,2.62,,,,,2.8,,,,,
2018 Q4,,,,,3.13,,,,,,,,,,,4.25,,,,28.33,,,4.07,,,,,,,,,,,,,,1.68,,,10.65,2.47,,,7.94,,4.93,,0.67,,,,,,,,,,,,,,3.0500000000000003,,,,,,,,,2.91,,,,,,,,,,,,3.26,,,,,,,,,5.2,,,,,,,4.6,,,2.09,,,4.33,,,,,,,,,,3.04,,,,,3.09,,,,,
2018 Q3,,,,,1.7,,,,,,,,,,,3.72,,4.66,,19.4,,,2.29,,,,,,,,,,,,,,,,,4.61,,,,5.46,,2.47,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,2.23,,3.28,3.27,,,,,,5.56,,,,,8.21,,2.03,,,,,,3.62,,,,,,,,,,1.78,,,,,2.16,,,,,
2018 Q2,,,,,,,,,,,,,,,,,,5.2,,18.64,,,2.54,,2.27,,,,,,,,,,,,,,,,,,,6.61,,2.25,,2.05,,,1.63,,,,,4.09,,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,5.49,,8.24,,,,5.84,,,,,6.66,,,,,1.86,,,3.07,,,,,,,,,,1.58,2.49,,,,1.66,1.79,,,,
2018 Q1,,,,,,,,,,,,,,,,,,5.81,,18.54,,,2.71,,4.65,,,,,,,,,,,,,,,,,,,7.1,,2.52,,3.05,,,,,,,,5.06,,,,,,,,4.72,,,,,2.87,,,,,,,2.93,,,,1.54,,,,,,4.68,,,,,,,,,,,7.07,,,1.82,,2.27,,,4.15,,,,,,,,,,,2.66,,,,2.67,2.22,,,,
2017 Q4,,,,,,2.47,,,,,,,,,,,,7.67,,17.25,,,2.55,,5.9,,,,,,,,,,,,,,,,,,,7.91,,2.28,,,,,,,,,,4.45,,,,1.54,,,,5.39,,,,,2.88,,,,,,,2.48,,,,2.05,,,,,,2.85,,1.87,,,,,,,,,,,,1.82,,2.26,,,4.24,,,,,,,,,,,2.47,,,,2.18,,,,,
2017 Q3,,,,,,,,,,,,,2.0,,,,,9.58,2.61,21.63,,,2.58,,5.83,,,,,,,,,,,,,,,,,,,8.75,,2.38,,,,,,,,,,4.88,,,,1.65,,,,2.58,,,,,,,,,,,,,,,,1.87,,,,,,,,2.57,,,,,,,,,,,,1.81,,1.64,,,4.19,,,,,,,2.0,,2.37,,2.36,,,,1.63,,,,,
