,ABKFQ,ABT,ADP,AFL,AIG,AMAT,AMGN,ANTM,AXP,BAC,BAX,BDX,BP,BRK,BWP,C,CAH,CB,CBI,CHK,CL,CSCO,CTAS,DD,DHR,DIS,DOW,DTV,EDS,EMC,ETN,FFH,GCI,GD,GE,GM,GRA,GS,HAE,HPE,HPQ,IBM,INTC,ITW,JNJ,JPM,KBR,KMX,L,LAB,LLY,MDLZ,MDT,MKL,MMC,MMM,OC,ORLY,PG,RDS,RSG,SPGI,SWK,SYY,T,TGNA,TRB,TUP,UNH,USEC,USG,VIAB,VMW,WBA,WFC,WU
2019 Q4,,,,,4.4,,,,5.62,5.71,,3.01,4.34,4.08,,,,3.98,,,,4.45,,,,,,,,,4.34,,,3.08,,3.94,,,,,,3.82,4.16,,4.37,3.8,,,5.27,,,,,,4.81,,,,,3.65,,,,,,3.97,,,,,,,,,3.75,
2019 Q3,,,,,4.81,,,,6.56,5.89,,,4.39,3.77,,,,4.16,,,,4.61,,,,,,,,,3.83,,,3.21,,4.06,,,,,,4.17,3.61,,3.9,3.23,,,5.2,,,,,,4.35,,,,,3.67,,,,,,3.72,,,,,,,,,3.54,3.05
2019 Q2,,,,,4.38,,,,6.51,5.57,,,4.59,3.67,,,,3.61,,,,4.86,,,,,,,,,3.65,,,3.04,,3.97,,,,,3.12,3.76,3.19,,4.0,,,,5.25,,,,,,4.12,,,,,3.86,,,,,,3.45,,,,,,3.0,,,3.16,
2019 Q1,,,,,3.79,,,,6.18,5.68,,,5.16,3.71,,,,3.68,,,,5.14,,,,,,,,,3.79,,,3.03,,4.1,,,,,3.12,4.13,3.83,,4.3,,,,4.93,,,,,,4.16,,,,,3.98,,,,,,3.44,,,,,,3.02,,,3.46,
2018 Q4,,,,,3.89,,,,6.04,5.69,,2.86,5.01,4.23,,,,3.8,,,,6.38,,,,,,,,,3.61,,,,,4.14,,,,,3.69,3.73,3.75,,4.45,,,,5.25,,,,,,3.96,,,,,4.15,,,,,,2.97,,,,,,,,,3.7,
2018 Q3,,,,,3.89,,,,5.91,5.95,,2.9,5.33,3.88,,,,3.44,,,,6.27,,,,,,,,,4.0,,,,,3.65,,,,,4.06,3.67,3.31,,4.17,,,,5.07,,,,,,3.59,,,,,4.25,,,,,,2.86,,,,,,,,,3.69,
2018 Q2,,,,,3.32,,,,5.61,5.88,,,5.45,3.49,,,,3.38,,,,5.73,,,,,,,,,3.56,,,,2.9,4.41,,,,,3.7,3.5,3.59,,3.78,,,,5.03,,,,,,3.68,,,,,3.76,,,,,,,,,,,,,,,4.02,2.77
2018 Q1,,,,,3.25,,,,5.09,5.96,,,4.62,3.56,,,,3.47,,,,5.44,,,,,,,,,3.62,,2.83,2.76,,3.88,,,,,3.4,3.67,3.59,,3.81,,,,4.94,,,,,,3.53,,,,,3.31,,,,,,,,,,,,,,,3.62,
2017 Q4,,,,,,,,,5.03,5.99,,,4.44,3.28,,,,3.44,,,,4.51,,,,,,,,,3.33,,3.05,,3.29,4.06,,,,,3.03,3.4,,,3.85,,2.95,,4.61,,,,,,3.23,,,,,3.21,,,,,,,,3.04,,,,,,,3.89,
2017 Q3,,,,,2.79,,,,4.63,5.19,,,4.1,3.06,3.28,,,3.38,,,,4.0,,,,,,,,,3.26,,,,3.25,4.03,,,,,2.9,3.25,,,3.62,,,,3.84,,,,,,3.36,,,,,2.94,,,,,,,,3.02,,,,,,,3.57,
