,AABA,ALEX,BABA,BB,BBBY,BIIB,CAH,CELG,CLF,CNQ,CPLG,CVE,CVET,DIS,FB,FDX,FPH,GME,GOOG,GOOGL,GSKY,JD,MAXR,MCK,MHK,NVTRQ,PETQ,QRVO,SPWH,TLRD,WDC
2019 Q4,,,,7.02,,,,,,,,7.4,8.92,,,,,17.36,13.0,,,,12.38,,,,,10.59,6.74,16.6,
2019 Q3,,,,,13.39,,,,,6.7,,,,,,,,27.78,16.36,,,,,,,0.44,,,14.12,21.22,
2019 Q2,,,9.06,,,,10.07,,12.54,,,,,8.95,,10.53,,,10.4,,7.88,,,,,,,,6.45,11.41,12.71
2019 Q1,7.93,,,,,,,,7.63,,7.48,,,7.92,7.64,,9.09,6.73,,8.99,3.59,9.21,,,,,3.4,,6.11,6.94,7.34
2018 Q4,3.26,8.88,,,,2.91,,2.79,7.74,,10.71,,,8.47,8.23,,8.87,6.54,,8.08,,,,4.27,2.13,,,,5.15,8.41,3.57
