,AABA,ABG,AET,AGN,AIG,AIZ,AKBA,BEN,BKS,BMC,BMY.R,BNED,CARS,CCO,CELG,CLNS,CNL,COV,CST,CWH,CWH-OLD,DELL-OL,DTV,EGL,ENT,ESRX,FB,GCVRZ,GOOGL,GPI,GTIV,INXN,JCP,KERX,KMI,LAD,LAMR,MANT,MGI,MSFT,MTW,NAVI,NRF,NSAM,NXY,OI,OPB,ORLY,OXSQ,OZM,PACD,PCG,QCP,RYAM,RYN,SCU,SHPG,SLGN,SLM,SPH,SYT,TEVA,TMDX,TWC,TWX,UHAL,VEON,WAIR,WBT,WEN,WFC,WLTW,WU
2019 Q4,,6.61,,7.35,,,1.11,7.84,,,2.17,,,,,,,,,2.8,,,,,,,6.5,,5.04,,,,,,5.61,10.17,,,,,,,,,,1.81,,7.07,,,0.94,8.44,,,,1.41,,,,2.03,,7.32,2.07,,,6.55,,,,,,6.86,
2019 Q3,6.9,5.45,,,,,0.62,7.9,,,,,,0.24,18.77,,,,,1.36,,,,,,,5.11,,4.24,,,,,,4.92,8.52,,,,,,,,,,,,5.96,,,0.81,7.0,,,,1.21,,,,1.98,,4.63,2.25,,,6.13,,,,,,6.0,
2019 Q2,,4.36,,,,,0.74,9.24,,,,,,0.43,16.96,,,,,1.72,,,,,,,5.37,,3.65,,,,,,4.84,7.42,,,,,,,,,,,,5.36,,1.39,2.54,15.56,,,,,,,,1.97,,4.52,2.39,,,5.77,,,,,,5.77,
2019 Q1,,3.71,,,,,1.3,9.1,,,,0.5,,0.5,17.89,,,,,1.54,,,,,,,4.8,,4.1,,,,,,4.79,5.99,,,,,,,,,,,,8.16,,1.02,2.94,12.5,,,,,,,,1.88,,7.95,,,,5.86,,,,,,5.47,
2018 Q4,,5.24,,,,,1.29,12.3,,,,0.97,,0.72,,,,,,1.83,,,,,0.56,,5.42,,5.36,,,,,,5.57,7.25,,,,,,,,,,,,12.24,,0.85,4.09,,,,,,,,,2.38,,11.8,,,,7.81,,,,,,6.96,7.36
2018 Q3,6.79,2.88,4.42,,,,,7.99,,,,0.89,,0.53,,,,,,1.31,,,,,,8.02,,,3.96,,,,,0.82,4.11,4.32,,,,,,,,,,,,8.11,,0.87,,,,,,,10.77,,,1.86,,11.12,,,,5.43,,,,,,4.41,10.66
2018 Q2,7.78,2.07,8.04,,,,,7.08,,,,0.92,,,,,,,,,,,,,,5.7,,,3.9,0.8,,,,1.04,4.31,2.74,,,,,,,,,,,,6.72,,1.19,,4.63,4.2,,,,,,,1.85,,13.36,,,,5.71,,,,,,4.99,12.07
2018 Q1,9.09,2.3,7.31,,,,,8.64,,,,1.32,,0.52,,,,,,,,,,,0.32,,,,,1.03,,,,1.25,4.0,,,,,,,,,,,,,6.85,,1.86,,5.39,4.26,,,,,,,1.37,,10.58,,,9.92,5.32,,,,,,5.65,13.03
2017 Q4,9.21,2.34,,,,,,11.59,,,,1.81,,0.52,,1.88,,,,,,,,,0.54,,,,,0.6,,,,1.52,,,,,,,,,,,,,,7.15,,1.87,,4.91,2.36,,,,,,,1.23,,12.6,,,9.18,5.02,,,,,5.85,6.0,13.83
2017 Q3,10.12,2.38,,,,,,13.8,,,,2.23,,0.61,,2.79,,,,,,,,,0.93,,,,,0.71,,,,1.58,,,,,,,,,,,,,,7.18,,2.8,,,3.02,,,,,,,0.69,,14.85,,,,5.77,,,,,7.19,7.12,16.19
