,AABA,AAPL,ACM,ADNT,ADP,AER,AET,AGN,AGNC,AGR,AHL,AHMIQ,AMAT,AMP,ANTM,APC,ATUS,AYE,BAGL,BBY,BDX,BHF,BIOF,BJS,BK,BOL,BP,BSC,BSX,BWXT,CAH,CBI,CBS,CC,CCR,CEIX,CF,CFG,CFN,CI,CIT,CNDT,CNW,CNX,COMM,CONN,COV,CPN,CPRI,CSC,CVEO,CVH,CVS,DAN,DBI,DDS,DELL-OL,DFS,DLPH,DOW,DOX,DPS,DST,DXC,EIG,EMC,EPL,FDC,FICC,FLML-OLD,FOXA,FSC,FWLT,FWONA,GFG,GM,GNW,GRBK,GTS,HAR,HCA,HES,HEW,HGV,HII,HLX,HMA,HNT,HPE,HSP,HTS,HUM,IAC,ICO,IPCR,KAR,KBR,KEYS,KGC,LBTYA,LBTYK,LM,LRCX,LTM-OLD,LYB,M,MDC,MDCO,MDR,MERC,MIM,MON,MRVL,MSFT,MU,MYL,NBSE,NCR,NEW,NOV,NVR,OAK,OI,OIS,ON,PCX,PFE,PLCE,PRGO,PTEN,RAD,RAH,RE,RJET,RSYS,S,SAI,SATS,SCT,SDRL,SFLY,SGMS,SHW,SPR,STX,SUNE,SYT,TDC,TGP,TGT,TKTM,TPX,TRH,TRV,TSCO,TSG,TTWO,TWTR,TWX,TX,UHAL,UIL,UNH,URS,USBE,VAL,VMED,VOYA,VR,WBA,WFR,WLT,WNG,WPX,WU,WYE,XELT,XRX,YELP,YHOO
2019 Q4,,,,3.97,,14.6,,,,,,,,,,,4.38,,,,,10.4,,,,,,,,,,,,9.14,3.83,0.66,,,,,,,,3.86,,,,,,,,,,,,,,,,,,,,2.27,,,,,,,,,,,,16.71,,20.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,2.18,,,,2.24,,,,,,,0.98,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,
2019 Q3,,,,4.15,,13.72,,,,,,,,,,,6.58,,,,,10.41,,,,,,,,,,,,6.97,5.33,0.76,,,,,,,,3.07,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,16.6,,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,1.69,,,,2.19,,,,,,,0.83,,,2.62,,,,,,,,,,,,,,,,1.24,,,,,,,,,0.68,,,
2019 Q2,,,,3.93,,13.36,,,,,,,,,,,5.73,,,,,8.91,,,,,,,,,,,,6.59,6.75,1.33,,,,,,,,3.17,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,16.66,,14.79,,,,,,2.04,,,,,,,,,,,,1.63,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,2.19,,,,,,,0.88,,,2.56,,,,,,,,,,,,,,,,1.29,,,,,,,,,1.3,,,
2019 Q1,,,,1.82,,13.76,,,,,,,,,,,6.28,,,,,8.49,,,,,,,,,,,,,6.89,0.83,,,,,,,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.03,,14.99,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,0.62,,,,,,,,,0.53,,,2.7,,,,,,,,,,,,,,4.22,,2.61,,,,,,,,,1.9,,,
2018 Q4,,,,2.16,,11.02,,,,,,,,,,,4.92,,,,,7.26,,,,,,,,,,,,0.41,6.52,0.32,,,,,,,,2.88,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,28.91,,12.64,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,0.74,1.52,,,,,,,,,,,3.99,,,,,,,,,,,,,,5.15,,3.06,,,,,,,,,2.36,,,
2018 Q3,4.24,,,1.89,,9.2,,,,,,,,,,,2.22,,,,,21.63,,,,,,,,,,,,,4.16,,,,,,,,,2.11,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16,,10.29,,,,,,,,,,,,,,,3.98,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,1.1,,,0.16,,,,,,,,,1.75,,,0.17,,,,,,,,,,,7.13,,4.3,,,,,,,,,2.52,,,
2018 Q2,4.12,0.84,,0.92,,7.01,,,,,,,,,,,,,,,,14.8,,,,,,,,,,,,,2.63,,,,,,,0.89,,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.59,,7.54,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,1.17,,,,,,,0.46,7.9,,,,,,,,,,,,,4.31,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,2.23,,,,,,,,4.63,,4.35,,,,,,,,,1.27,,,
2018 Q1,3.27,2.64,,1.77,,8.33,,,,,,,,,,,,,,,,14.22,,,,,,,,,,,,,1.92,,,,,,,1.8,,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,6.59,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,4.37,7.9,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,1.82,1.58,,,,,,,2.2,,4.95,,,,,,,,,1.16,,,
2017 Q4,2.81,6.74,,2.44,,9.34,,,,,,,,,,,,,,,,11.72,,,,,,,,,,,,0.95,1.56,1.6,,,,,,1.27,,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.26,,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,7.83,,,,,,,,,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,3.22,,,,,,1.22,1.11,,,,,,,1.04,,5.13,,,,,,,,,,,,
2017 Q3,4.73,5.63,,2.42,,10.52,,,,,,,,,,,,,,,,6.88,,,,,,,,,,,,1.25,1.35,,,,,,,1.56,,6.4,,,,,,,,,,,1.09,1.4,,,,,,,,,,,,,,,,,,,,23.25,,3.98,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,5.62,,,,,,,,,,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,1.35,,,,,,,,,,,,3.94,,,,,,,,,,,,
