,AVX,AXP,BRK.A,BRK.B,CKH,CMI,COST,DG,DIS,EQNR,GG,HXL,KGC,MCY,MRK,NEM,NKE,NXPI,OLN,SBUX,SNY,SWKS,TRV,USG,XOM
2019 Q4,2.27,1.38,15.32,22.85,2.45,2.84,3.05,4.45,1.69,,,2.43,2.78,2.82,2.08,6.77,,3.57,2.01,5.41,,3.86,1.47,,4.28
2019 Q3,1.84,1.4,15.0,22.38,2.39,2.76,3.24,4.9,1.63,,,2.91,2.87,3.45,2.05,6.31,,3.32,2.33,5.79,,2.77,1.7,,4.58
2019 Q2,2.01,1.49,15.84,22.9,2.85,2.98,3.06,4.36,1.78,1.35,,2.95,2.5,4.0,2.12,6.57,,3.05,,5.66,,2.77,1.77,,4.99
2019 Q1,1.56,,15.73,22.37,2.63,2.84,2.9,4.04,1.46,1.46,2.58,2.75,2.29,4.71,2.18,3.84,,2.86,,7.89,,2.99,1.69,,5.45
2018 Q4,,,16.71,23.74,2.43,2.51,2.55,3.89,1.51,1.47,2.31,2.39,2.26,5.02,2.1,3.88,1.85,2.48,,7.15,,,1.54,3.57,4.91
2018 Q3,,,15.87,22.73,4.29,2.53,2.68,3.63,,1.79,2.24,2.56,1.72,4.47,1.75,3.06,1.94,1.5,,5.79,3.18,,1.5,3.7,5.59
