,AAN,ACIW,AGCO,AGP,ALGT,AM-OLD,AMBA,APOL,ARRS,ARW,ATGE,ATW,AVT,BHI,BIG,BJS,BW,BWXT,CAKE,CC-OLD,CFFN,CHB,CHRS,CISN,CNC,COG,CRI,CUB,CXG,DAN,DPTHL,FHB,FI,FII,FL,FLE,GNTX,GPK,HMHC,HMN,HP,IDCC,ISBC,MATX,MCY,MKSI,MTN,NBL,NFX,NOV,OSK,PDE,PTEN,R,RCII,RDC,ROSE,ROST,RS,RSH,SAIC,SAVE,SIG,SM,TEN,THO,THS,TRN,TWI,VAL,VECO,VG,VMI,VNOM,VSTO,WDC,XEC,ZLC
2015 Q2,4.43,,4.28,,,,,5.56,8.27,5.34,5.4,4.04,6.48,,,,,3.35,,,,,,,,,,1.86,,3.29,,,,,2.17,,,,,,5.62,6.26,,,,,,,,,2.53,,,,,6.02,6.31,,,,,,,1.86,,,,,,,,,,,,6.08,6.31,
2015 Q1,3.02,,3.13,,,,,3.96,8.22,6.04,4.8,3.75,7.36,,,,,2.86,,,,,,,,,,,,2.09,,,,,2.26,,,,,,5.56,6.07,,,,,,,,,3.26,,,,,6.12,5.47,,,,,,,3.34,,,,1.9,,,,,,,,6.54,7.5,
2014 Q4,2.95,,2.69,,,,,6.46,7.77,6.36,6.18,5.3,6.79,,,,,2.44,,,,,,,1.89,,,1.63,,,,,,,2.2,,,,,,,6.89,,,,,,,,,2.94,,,,,7.08,5.49,,,,,,,3.53,,,,,,4.76,,,,,,7.2,3.39,
2014 Q3,2.08,,,,,,,6.12,6.3,6.75,5.24,5.86,6.91,,,,,,,,,,,,2.1,,,,,,,,,,2.76,,,,,,1.67,5.89,,,,,,,,,2.5,,,,,6.45,7.02,,,,,,,3.78,,,,2.16,2.0,5.58,,,,,,6.7,3.35,
2014 Q2,,,,,,,,6.38,5.77,6.61,4.65,5.49,6.62,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,,2.0,6.04,,,,,,,2.78,,2.82,,1.99,,,6.56,7.76,,,,,,,2.46,,,,1.91,2.07,5.13,,,,,,5.71,2.45,
2014 Q1,,,,,,,,6.57,4.62,8.0,5.25,5.37,7.71,2.56,,,,,,,,,,,,,,,,,,,,,2.95,,,,,,2.05,4.18,,,,,,,2.43,,3.53,,2.34,,,7.47,6.7,,,,,,,2.31,,,,2.22,,5.1,,,,,,5.95,2.37,
2013 Q4,,,,,,,,5.65,4.09,9.55,4.5,4.46,9.08,2.75,,,,,,,,,,,,,,,,,,,,1.86,3.12,,,,,,1.93,3.63,,,,,,,2.17,,4.07,,2.36,,,8.48,5.91,,,,,,,2.94,,,,,,4.85,,,,,,6.31,2.24,
2013 Q3,,,,,,,,4.64,2.8,9.2,4.17,1.91,9.25,2.63,,,,,,,,,,,,,,,,,,,,1.89,2.9,,,,,,,4.3,,,,,,,3.24,,4.4,,2.15,,,9.49,9.67,,1.92,,,,,3.3,,,,,,5.67,,,,,,6.28,2.24,
2013 Q2,,,,,,,,3.69,,10.52,3.92,1.8,9.76,2.46,,,,,,,,,,,,,,,,,,,,1.89,2.99,,,,,,,5.12,,,,,,,3.23,,5.11,,1.94,,,9.58,7.63,,2.13,,,,1.75,2.55,,,,1.69,,6.1,,,,,,7.81,,
2013 Q1,,,,,,,,2.57,,10.07,3.77,1.7,9.87,2.33,,,,,,,,,,,,,,,,,,,,,2.73,,,,,,,5.15,,,,,,,2.85,,6.29,,2.24,,,10.76,8.02,,2.18,,,,1.72,2.37,,,,1.87,,5.91,,,,,,8.64,1.64,
2012 Q4,,,,,,,,,,9.73,2.82,1.53,8.6,2.11,,,,,,,,,,,,,,,,,,,,1.35,2.64,,,,,,,4.56,,,,,,,3.51,,4.53,,1.9,,,9.81,8.42,,2.06,,,,2.63,2.15,,,,6.11,,8.6,1.5,,,,,10.32,,
